model,match_id,date,market_key,group,line,selection,odds,stake,abs_stake,pnl,abs_pnl,payoff,p_model,p_market,edge,won
m00_baseline,12477123,2024-08-03,1X2,1X2,0.0,home,3.1455349338302168,0.017225519941353337,17.225519941353337,-0.017225519941353337,-17.225519941353337,-1.0,0.503814498098084,0.3171679729944784,0.18664652510360558,false
m00_baseline,12477123,2024-08-03,1X2,1X2,0.0,draw,3.497938357265112,0.003047718435857569,3.047718435857569,0.0074607525274112,7.4607525274112,2.44797959011981,0.24837982595321853,0.2852145569901582,-0.036834731036939655,true
m00_baseline,12477123,2024-08-03,OU2.5,OverUnder,2.5,under_25,2.0760378560810446,0.003069514092584371,3.0695140925843707,0.0032368550961271387,3.2368550961271385,1.0545170989594237,0.5037746428059667,0.4816867847909619,0.022087858015004846,true
m00_baseline,12477123,2024-08-03,OU3.5,OverUnder,3.5,under_35,1.43,0.002435883600168093,2.435883600168093,0.0010264813491108343,1.0264813491108342,0.42139999999999994,0.7231383182697626,0.6976744186046512,0.025463899665111422,true
m00_baseline,12477126,2024-08-03,1X2,1X2,0.0,home,4.155100640852063,0.021534140384697815,21.534140384697814,0.0665835325253992,66.58353252539919,3.0919986280350216,0.503782239046241,0.2383213448924134,0.26546089415382756,true
m00_baseline,12477126,2024-08-03,1X2,1X2,0.0,draw,3.5101483261017004,0.005651825075446852,5.651825075446852,-0.005651825075446852,-5.651825075446852,-1.0,0.24838089790315002,0.2821103500178704,-0.033729452114720365,false
m00_baseline,12477126,2024-08-03,OU0.5,OverUnder,0.5,over_05,1.0956521739130436,0.0036637456423530322,3.663745642353032,0.0003434363306483977,0.3434363306483977,0.09373913043478271,0.9299563152114587,0.9126984126984127,0.01725790251304604,true
m00_baseline,12477126,2024-08-03,OU2.5,OverUnder,2.5,under_25,1.935,0.0008525438290155009,0.8525438290155009,-0.0008525438290155009,-0.8525438290155009,-1.0,0.503781694980454,0.5164345076438748,-0.012652812663420776,false
m00_baseline,12477128,2024-08-03,1X2,1X2,0.0,home,2.835031767441645,0.015198383736228328,15.198383736228328,0.027331726630352476,27.331726630352474,1.7983311320928124,0.5037648260228764,0.3527166847445295,0.15104814127834693,true
m00_baseline,12477128,2024-08-03,1X2,1X2,0.0,draw,3.7041536289331827,0.0025203104426606104,2.52031044266061,-0.0025203104426606104,-2.52031044266061,-1.0,0.24838172307682943,0.2699572173105131,-0.021575494233683656,false
m00_baseline,12477128,2024-08-03,OU2.5,OverUnder,2.5,under_25,2.1852561367163257,0.005974444573156344,5.974444573156344,-0.005974444573156344,-5.974444573156344,-1.0,0.5037867497649184,0.4576122602738229,0.04617448949109554,false
m00_baseline,12477129,2024-08-03,1X2,1X2,0.0,home,7.137657359979854,0.025709147583991038,25.709147583991037,-0.025709147583991038,-25.709147583991037,-1.0,0.5037573515747,0.14010198999000736,0.3636553615846927,false
m00_baseline,12477129,2024-08-03,1X2,1X2,0.0,draw,5.07565439799843,0.008676047016641718,8.676047016641718,-0.008676047016641718,-8.676047016641718,-1.0,0.24838217172169025,0.19701893028696893,0.05136324143472132,false
m00_baseline,12477129,2024-08-03,OU2.5,OverUnder,2.5,under_25,2.552179576825943,0.006126488123489732,6.1264881234897315,-0.006126488123489732,-6.1264881234897315,-1.0,0.5037893839699688,0.39182195840767015,0.1119674255622986,false
m00_baseline,12477131,2024-08-03,1X2,1X2,0.0,home,2.3138620680819786,0.009524987594421585,9.524987594421585,-0.009524987594421585,-9.524987594421585,-1.0,0.5037448724619514,0.43217787861872264,0.07156699384322879,false
m00_baseline,12477131,2024-08-03,1X2,1X2,0.0,draw,4.126695948048459,0.0013355354829353455,1.3355354829353454,-0.0013355354829353455,-1.3355354829353454,-1.0,0.24838314499030653,0.24232461334421948,0.006058531646087051,false
m00_baseline,12477131,2024-08-03,OU1.5,OverUnder,1.5,under_15,6.4,0.00372035394160826,3.72035394160826,-0.00372035394160826,-3.72035394160826,-1.0,0.25625675628981937,0.15622940013183914,0.10002735615798022,false
m00_baseline,12477131,2024-08-03,OU2.5,OverUnder,2.5,under_25,2.7686777657794246,0.008017920087646261,8.017920087646262,-0.008017920087646261,-8.017920087646262,-1.0,0.5037948666132176,0.3611832378472851,0.14261162876593247,false
