model,generation,side,match_id,residual
G1 m00_baseline,1,home,12477128,0.6524396114771813
G1 m00_baseline,1,home,12477134,-0.0809745509324417
G1 m00_baseline,1,home,12477131,-0.3070193697554342
G1 m00_baseline,1,home,12477135,-1.6468550810088327
G1 m00_baseline,1,home,12477132,-0.6202631289375057
G1 m00_baseline,1,home,12476800,-0.07101069799413637
G1 m00_baseline,1,home,12476794,0.30482562487671705
G1 m00_baseline,1,home,12476797,0.6799547339376973
G1 m00_baseline,1,home,12476799,-1.2870703163479928
G1 m00_baseline,1,home,12476798,0.953896335787862
G1 m00_baseline,1,home,12477129,-0.6745222741427765
G1 m00_baseline,1,home,12477126,1.4353871718696116
G1 m00_baseline,1,home,12477130,0.4917288078592777
G1 m00_baseline,1,home,12477123,-1.9610919920343675
G1 m00_baseline,1,home,12477133,-1.126099991369381
G1 m00_baseline,1,home,12476632,0.6588970020975032
G1 m00_baseline,1,home,12476633,-1.2929343561263973
G1 m00_baseline,1,home,12476630,0.5910084613403059
G1 m00_baseline,1,home,12476635,0.3218496198626953
G1 m00_baseline,1,home,12476636,-0.2844080441542412
G1 m00_baseline,1,home,12476793,-0.5950932439689278
G1 m00_baseline,1,home,12476795,-0.5915489570952805
G1 m00_baseline,1,home,12476796,-0.8634475750288177
G1 m00_baseline,1,home,12476792,0.1954544129547145
G1 m00_baseline,1,home,12476790,-0.8021464950442788
G1 m00_baseline,1,home,12476788,-1.8521704206371017
G1 m00_baseline,1,home,12476786,1.0134703108998409
G1 m00_baseline,1,home,12476787,-1.4612606370938168
G1 m00_baseline,1,home,12476791,0.644544437467281
G1 m00_baseline,1,home,12476789,-0.6144509363349112
G1 m00_baseline,1,home,12476629,0.41860905611050103
G1 m00_baseline,1,home,12476634,-1.6597635080931072
G1 m00_baseline,1,home,12476623,-0.29289567584776477
G1 m00_baseline,1,home,12476631,0.35608524560613836
G1 m00_baseline,1,home,12476624,-1.3072489957569104
G1 m00_baseline,1,home,12476627,-1.3384925361350029
G1 m00_baseline,1,home,12476625,0.5146075974605632
G1 m00_baseline,1,home,12476621,-0.11546173011764092
G1 m00_baseline,1,home,12476622,-1.2749735073716562
G1 m00_baseline,1,home,12476782,-1.3304819025205936
G1 m00_baseline,1,home,12476785,-0.8196267921742951
G1 m00_baseline,1,home,12476784,0.3313470732684458
G1 m00_baseline,1,home,12476781,-0.6694441097780996
G1 m00_baseline,1,home,12476779,2.007705776055604
G1 m00_baseline,1,home,12476619,2.28377339049313
G1 m00_baseline,1,home,12476620,-1.197616805572742
G1 m00_baseline,1,home,12476618,-0.34464923364479355
G1 m00_baseline,1,home,12476626,0.518410150821106
G1 m00_baseline,1,home,12476617,-0.5600530321752588
G1 m00_baseline,1,home,12476780,0.2111753502625633
G1 m00_baseline,1,home,12476778,-0.16893334589037742
G1 m00_baseline,1,home,12476776,0.9270637280115378
G1 m00_baseline,1,home,12476777,0.14081804955699023
G1 m00_baseline,1,home,12476783,-0.44544178731372863
G1 m00_baseline,1,home,12476772,-0.1297064584087654
G1 m00_baseline,1,home,12476774,-2.203858778619422
G1 m00_baseline,1,home,12476771,-0.8672701420866433
G1 m00_baseline,1,home,12476773,0.5345257292390863
G1 m00_baseline,1,home,12476775,-0.2199433440153158
G1 m00_baseline,1,home,12476611,0.7589140840945542
G1 m00_baseline,1,home,12476616,-0.2823950960665934
G1 m00_baseline,1,home,12476614,0.3026924560078619
G1 m00_baseline,1,home,12476612,-0.5378464339894947
G1 m00_baseline,1,home,12476615,0.36457478497773743
G1 m00_baseline,1,home,12811090,-0.35295718850523944
G1 m00_baseline,1,home,12476607,0.5792452814886571
G1 m00_baseline,1,home,12476613,-0.9566947009642008
G1 m00_baseline,1,home,12476606,-0.8722298622080316
G1 m00_baseline,1,home,12476603,0.37395644861977595
G1 m00_baseline,1,home,12476770,-1.8010804388385018
G1 m00_baseline,1,home,12476767,0.5189559897938244
G1 m00_baseline,1,home,12476766,0.5046907285462072
G1 m00_baseline,1,home,12476769,0.7909677657736419
G1 m00_baseline,1,home,12476768,0.4100617960848748
G1 m00_baseline,1,home,12476761,-0.7218324395858398
