scope,market_key,group,line,selection,n_bets,n_matches,win_rate_pct,push_rate_pct,mean_odds,median_odds,mean_p_model,mean_p_market,mean_edge,calib_bias,market_bias,flat_roi_pct,kelly_roi_pct,total_pnl_units,pnl_share_pct,turnover_units,capital_share_pct,capital_efficiency,mean_stake_frac,max_stake_frac,standalone_dd_units,standalone_dd_pct_turnover,max_win_streak,max_loss_streak,payoff_autocorr
m00_baseline,1X2,1X2,0.0,ALL,1074,593,31.936685288640597,0.0,3.884859424686683,3.6773669750629514,0.35901342841696504,0.2939236734741741,0.06508975494279105,-0.03964657553055906,0.025443179412231898,7.907666275306524,6.962191928177162,1634.6577930207015,100.95882931760862,23479.068228569893,71.00483534685338,1.4218585089935378,0.009287951335473662,0.03971119280718455,-1162.4821468128107,-4.9511425900550625,3,14,-0.16806690431406884
m00_baseline,1X2,1X2,0.0,away,179,179,23.463687150837988,0.0,5.989133976702904,4.8863656100165285,0.24382006877780218,0.19176957118713672,0.05205049759066544,-0.009183197269422294,0.04286730032124317,21.550253132332017,25.28961000975909,507.905007920192,31.368947814708722,2008.3544496107093,6.073617386536923,5.1647882667490155,0.004734495637886181,0.016413954251599333,-563.4809804776336,-28.056849257204387,3,12,0.09446016322696325
m00_baseline,1X2,1X2,0.0,draw,434,434,25.806451612903224,0.0,4.010765500515035,3.816419267657791,0.24770319550914968,0.25484872017721955,-0.007145524668069821,0.01036132061988257,0.0032157959518127055,1.5860850928132613,6.174365186408937,271.66079661225154,16.778163671051953,4399.817445366424,13.305822455267203,1.2609640424301765,0.004212396343891374,0.01389877583738211,-630.9405457678877,-14.340152826848522,4,14,-0.006754860862755056
m00_baseline,1X2,1X2,0.0,home,461,461,40.99783080260303,0.0,2.949266405770395,2.594362346924865,0.5085324142247787,0.370375113908573,0.13815730031620557,-0.09855410619874833,0.039603194117457385,8.56177296900395,5.0090632136613396,855.0919884882571,52.8117178318479,17070.89633359276,51.625395505049255,1.0229794331877342,0.01583428416891156,0.03971119280718455,-1278.2166665435616,-7.487695089731394,5,9,-0.003048749801234999
m00_baseline,OU0.5,OverUnder,0.5,ALL,110,110,26.36363636363636,0.0,13.440524619266952,15.485981308411215,0.2968296355727581,0.2849069299755031,0.011922705597255053,-0.033193271936394486,-0.021270566339139485,-43.48375181652958,-9.851719679886882,-57.85232503701596,-3.5730432595594293,587.2307263789323,1.7758890868766353,-2.011974332160326,0.002150361321112084,0.0224937070348835,-98.15049527288384,-16.714128001801562,6,15,-0.041718032446035405
m00_baseline,OU0.5,OverUnder,0.5,over_05,29,29,93.10344827586206,0.0,1.0907153768372861,1.0916637295297056,0.9298212949537422,0.9158173215102432,0.014003973443499174,0.0012131878048784461,0.015217161248377464,1.3659689990195498,-5.211061970001113,-23.251916818943762,-1.4360720093549562,446.20303793736684,1.349396531905657,-1.0642327702790915,0.006240250726112501,0.0224937070348835,-47.571398012823394,-10.661379230569235,20,1,-0.10012754313826236
m00_baseline,OU0.5,OverUnder,0.5,under_05,81,81,2.4691358024691357,0.0,17.86206126161831,16.88785046728972,0.07020299209067742,0.059025431771707285,0.011177560318970117,-0.04551163406598606,-0.03433407374701593,-59.541059269010134,-24.534478725721133,-34.60040821807218,-2.1369712502044726,141.02768844156557,0.4264925549709786,-5.010571052875439,0.0006860799291983545,0.0019662507100188854,-54.26986917225558,-38.48171218855519,1,31,-0.025487523947135417
m00_baseline,OU1.5,OverUnder,1.5,ALL,172,172,28.488372093023255,0.0,4.2798562178690025,4.6,0.34982714758732,0.30412376357191795,0.04570338401540202,-0.06494342665708741,-0.019240042641685384,-9.45937802430919,-17.155100905843636,-206.06471820564798,-12.726855004472283,1201.1862788603887,3.6325987522621728,-3.5035124637827755,0.002795123555572932,0.01003167640120186,-276.2841876871498,-23.000944362207598,5,11,-0.10777342471283012
m00_baseline,OU1.5,OverUnder,1.5,over_15,33,33,66.66666666666666,0.0,1.4018513402776125,1.4,0.7436182202595806,0.7121588638313384,0.03145935642824201,-0.07695155359291395,-0.04549219716467179,-6.994059536445891,-5.275855416654586,-17.35450826393642,-1.0718395282428368,328.9420746662708,0.9947787375101278,-1.0774652571742611,0.00414655021897927,0.01003167640120186,-66.85421486020537,-20.324008392064933,6,3,-0.09238767797734829
m00_baseline,OU1.5,OverUnder,1.5,under_15,139,139,19.424460431654676,0.0,4.963123562908685,4.8431372549019605,0.25633718069390565,0.2072521210642858,0.049085059629619864,-0.06209257637735888,-0.013007516747739034,-10.044669463873857,-21.635020219602854,-188.71020994171158,-11.655015476229448,872.2442041941187,2.637820014752047,-4.418427114453829,0.002474281254188693,0.008545475667083155,-250.45838586510433,-28.71425051158776,2,12,-0.1641037676479195
