model,generation,config,markets,n_markets,n_bets,total_return_pct,flat_roi_pct,roi_1x2_pct,sharpe_ann,max_drawdown_pct,calmar,win_rate_pct,turnover,mean_exposure,n_capped,n_slates,oos_return_pct,oos_sharpe_ann,oos_mdd_pct,oos_n_bets,oos_turnover,full_window_return_pct
m05_joint_production_wealth,3,full_6,1X2+OU0.5+OU1.5+OU2.5+OU3.5+BTTS,6,1903,124.06569634640591,9.676919287592197,12.42623423798354,1.428705975856844,-20.459475396602002,6.0639725086505045,36.153441933788756,9.331525257452949,0.0933152525745295,4,100,19.68863473723761,0.6407627433066236,-20.459475396601988,1046,5.529261052915193,124.06569634640591
m05_joint_production_wealth,3,classic_3,1X2+OU2.5+BTTS,3,1461,132.14923198632582,11.698972356131938,12.280859404306236,1.4876725785375111,-19.123281763726492,6.910384609664106,34.56536618754278,8.028081028666897,0.08109172756229188,0,99,29.176881351126926,0.8893546670023468,-19.12328176372648,775,4.653064115267643,132.14923198632582
m05_joint_production_wealth,3,curated,1X2+OU1.5,2,1220,102.92016471426959,11.879856003295608,12.22299133326407,1.2636990643088715,-17.880610610320822,5.7559647686116095,30.327868852459016,6.746429702028219,0.06746429702028217,0,100,8.142047876374626,0.27694795970416036,-17.621373592136713,641,3.9069944766562847,102.92016471426959
m05_joint_production_wealth,3,x1x2_ou25,1X2+OU2.5,2,1342,132.6257814347224,12.363730961202226,12.270355582362761,1.5012090536432379,-18.782868107039054,7.060997323673889,33.8301043219076,7.603664900115425,0.07680469596076184,0,99,30.101343578760996,0.9190359673134453,-18.782868107039043,678,4.306451322221752,132.6257814347224
m05_joint_production_wealth,3,x1x2_only,1X2,1,1029,89.3461139108723,12.225348038689127,12.22534803868913,1.1326776897715385,-19.424130506597695,4.599748435613351,29.057337220602523,5.99603248478521,0.06056598469480008,0,99,10.318660422646953,0.33505616735818505,-18.265462608339856,519,3.402100344229908,89.3461139108723
m12_joint_hybrid_synergy,4,full_6,1X2+OU0.5+OU1.5+OU2.5+OU3.5+BTTS,6,1894,123.93706700765436,9.371612903689886,12.27914251943649,1.3332465962136513,-20.97324348306163,5.909294244724149,36.06124604012672,9.774219616219249,0.09774219616219253,4,100,14.657987948369078,0.47368682607478063,-20.973243483061644,1036,5.756577267910471,123.93706700765436
m12_joint_hybrid_synergy,4,classic_3,1X2+OU2.5+BTTS,3,1462,136.61151177461485,11.476834235932518,11.954261802928903,1.4159233052187128,-20.229676831785557,6.753024920297599,34.47332421340629,8.475141357357925,0.08560748845816087,0,99,23.359234953366336,0.7040276232634541,-20.229676831785515,772,4.901247738605366,136.61151177461485
m12_joint_hybrid_synergy,4,curated,1X2+OU1.5,2,1237,103.32431171866912,11.241286835955835,12.170483306285666,1.2012800284711913,-18.469665617312504,5.594270836274279,30.072756669361354,7.238831872066049,0.0723883187206605,0,100,6.555546696454351,0.2215564933791525,-17.73274643522275,645,4.147802857324623,103.32431171866912
m12_joint_hybrid_synergy,4,x1x2_ou25,1X2+OU2.5,2,1355,141.78940641873362,12.327761832931186,12.031731666284728,1.4553283284129597,-19.991114334618175,7.092621453982684,33.874538745387454,8.063284536004502,0.08144731854549998,0,99,27.690008852104775,0.816602657086263,-19.991114334618192,688,4.564177288131163,141.78940641873362
m12_joint_hybrid_synergy,4,x1x2_only,1X2,1,1047,99.83883779524237,12.162374951660212,12.162374951660258,1.1510110895005508,-19.605945039661542,5.092273674810112,29.41738299904489,6.579102864118223,0.06645558448604266,0,99,12.122425775411894,0.37640714384986396,-18.169253961466342,525,3.7015370278229285,99.83883779524237
m13_joint_composite,4,full_6,1X2+OU0.5+OU1.5+OU2.5+OU3.5+BTTS,6,1893,127.85852516082348,9.49759194114178,12.374080062151862,1.37526309591595,-20.84484895560675,6.133818740213643,36.55573164289487,9.806727690338874,0.0980672769033887,4,100,18.750191689561714,0.5942804703779223,-20.84484895560675,1047,5.78284471344355,127.85852516082348
m13_joint_composite,4,classic_3,1X2+OU2.5+BTTS,3,1468,140.15274274959043,11.576802549052461,12.020759023106985,1.4531407588850815,-21.05290368792634,6.657169235518179,34.60490463215259,8.514982889473526,0.08600992817650026,1,99,27.71520189791501,0.8217415127726123,-21.05290368792635,784,4.9374576658667975,140.15274274959043
m13_joint_composite,4,curated,1X2+OU1.5,2,1235,106.84900993566866,11.386928949259108,12.291302996606555,1.243182620635167,-18.989526910872538,5.626733643084694,30.526315789473685,7.279657229701296,0.07279657229701296,0,100,10.248737577127853,0.3409391628412756,-18.989526910872563,647,4.181861545370703,106.84900993566866
m13_joint_composite,4,x1x2_ou25,1X2+OU2.5,2,1357,144.580249241756,12.373644321997752,12.08385480088463,1.489690204543482,-20.752013347309397,6.96704685092647,33.82461311717023,8.108864249020709,0.08190771968707787,0,99,31.418462194607756,0.915608757450394,-20.752013347309404,695,4.603008930523471,144.580249241756
m13_joint_composite,4,x1x2_only,1X2,1,1044,102.68248002339719,12.28842669724735,12.288426697247338,1.1847397371084647,-18.89692810143934,5.433818632964798,29.88505747126437,6.612663746709793,0.06679458330009892,0,99,15.81356289080964,0.4843654898777481,-18.046889580732085,524,3.733248680532951,102.68248002339719
