model,source,bin,lower,upper,n,predicted,observed
G2 m05_negbin_production_wealth,model,7,0.6,0.7,1,0.6260336654338119,1.0
G2 m05_negbin_production_wealth,model,8,0.7,0.8,0,NaN,NaN
G2 m05_negbin_production_wealth,model,9,0.8,0.9,0,NaN,NaN
G2 m05_negbin_production_wealth,model,10,0.9,1.0,0,NaN,NaN
G2 m05_negbin_production_wealth,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
G2 m05_negbin_production_wealth,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
G2 m05_negbin_production_wealth,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
G2 m05_negbin_production_wealth,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
G2 m05_negbin_production_wealth,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
G2 m05_negbin_production_wealth,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
G2 m05_negbin_production_wealth,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
G2 m05_negbin_production_wealth,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
G2 m05_negbin_production_wealth,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
G2 m05_negbin_production_wealth,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
G3 m00_joint_baseline,model,1,0.0,0.1,0,NaN,NaN
G3 m00_joint_baseline,model,2,0.1,0.2,5,0.18858675515068252,0.4
G3 m00_joint_baseline,model,3,0.2,0.3,761,0.25714638795992956,0.24967148488830487
G3 m00_joint_baseline,model,4,0.3,0.4,651,0.35430661654628287,0.3333333333333333
G3 m00_joint_baseline,model,5,0.4,0.5,883,0.450145529965601,0.46998867497168745
G3 m00_joint_baseline,model,6,0.5,0.6,550,0.5403805702821858,0.5381818181818182
G3 m00_joint_baseline,model,7,0.6,0.7,49,0.6127952789221016,0.6530612244897959
G3 m00_joint_baseline,model,8,0.7,0.8,0,NaN,NaN
G3 m00_joint_baseline,model,9,0.8,0.9,0,NaN,NaN
G3 m00_joint_baseline,model,10,0.9,1.0,0,NaN,NaN
G3 m00_joint_baseline,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
G3 m00_joint_baseline,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
G3 m00_joint_baseline,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
G3 m00_joint_baseline,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
G3 m00_joint_baseline,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
G3 m00_joint_baseline,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
