model,source,bin,lower,upper,n,predicted,observed
m05_joint_production_wealth,model,1,0.0,0.1,0,NaN,NaN
m05_joint_production_wealth,model,2,0.1,0.2,4,0.19137365988443836,0.25
m05_joint_production_wealth,model,3,0.2,0.3,775,0.2570866550941502,0.25161290322580643
m05_joint_production_wealth,model,4,0.3,0.4,624,0.3542045992541805,0.3269230769230769
m05_joint_production_wealth,model,5,0.4,0.5,892,0.45066546362608517,0.47197309417040356
m05_joint_production_wealth,model,6,0.5,0.6,567,0.5403449491494706,0.5396825396825397
m05_joint_production_wealth,model,7,0.6,0.7,37,0.6107900835491991,0.6756756756756757
m05_joint_production_wealth,model,8,0.7,0.8,0,NaN,NaN
m05_joint_production_wealth,model,9,0.8,0.9,0,NaN,NaN
m05_joint_production_wealth,model,10,0.9,1.0,0,NaN,NaN
m05_joint_production_wealth,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
m05_joint_production_wealth,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
m05_joint_production_wealth,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
m05_joint_production_wealth,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
m05_joint_production_wealth,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
m05_joint_production_wealth,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
m05_joint_production_wealth,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
m05_joint_production_wealth,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
m05_joint_production_wealth,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
m05_joint_production_wealth,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
m09_joint_player_shots_outfield,model,1,0.0,0.1,0,NaN,NaN
m09_joint_player_shots_outfield,model,2,0.1,0.2,2,0.18962172135339417,0.0
m09_joint_player_shots_outfield,model,3,0.2,0.3,779,0.25802307966600313,0.25802310654685495
m09_joint_player_shots_outfield,model,4,0.3,0.4,594,0.3522147953092108,0.32996632996632996
m09_joint_player_shots_outfield,model,5,0.4,0.5,920,0.4531711618896007,0.4597826086956522
m09_joint_player_shots_outfield,model,6,0.5,0.6,596,0.5362893078480699,0.5469798657718121
m09_joint_player_shots_outfield,model,7,0.6,0.7,8,0.6073877626544342,0.75
m09_joint_player_shots_outfield,model,8,0.7,0.8,0,NaN,NaN
m09_joint_player_shots_outfield,model,9,0.8,0.9,0,NaN,NaN
m09_joint_player_shots_outfield,model,10,0.9,1.0,0,NaN,NaN
m09_joint_player_shots_outfield,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
m09_joint_player_shots_outfield,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
m09_joint_player_shots_outfield,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
m09_joint_player_shots_outfield,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
m09_joint_player_shots_outfield,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
m09_joint_player_shots_outfield,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
m09_joint_player_shots_outfield,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
m09_joint_player_shots_outfield,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
m09_joint_player_shots_outfield,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
m09_joint_player_shots_outfield,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
m10_joint_player_shots_bench,model,1,0.0,0.1,0,NaN,NaN
m10_joint_player_shots_bench,model,2,0.1,0.2,2,0.1869791133929638,0.0
m10_joint_player_shots_bench,model,3,0.2,0.3,776,0.257914457892069,0.25773195876288657
m10_joint_player_shots_bench,model,4,0.3,0.4,598,0.35208886406529755,0.3311036789297659
m10_joint_player_shots_bench,model,5,0.4,0.5,922,0.4533086837979612,0.4544468546637744
m10_joint_player_shots_bench,model,6,0.5,0.6,593,0.5364665329960497,0.554806070826307
m10_joint_player_shots_bench,model,7,0.6,0.7,8,0.6074789236331747,0.75
m10_joint_player_shots_bench,model,8,0.7,0.8,0,NaN,NaN
m10_joint_player_shots_bench,model,9,0.8,0.9,0,NaN,NaN
m10_joint_player_shots_bench,model,10,0.9,1.0,0,NaN,NaN
m10_joint_player_shots_bench,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
m10_joint_player_shots_bench,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
m10_joint_player_shots_bench,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
m10_joint_player_shots_bench,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
m10_joint_player_shots_bench,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
m10_joint_player_shots_bench,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
m10_joint_player_shots_bench,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
m10_joint_player_shots_bench,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
m10_joint_player_shots_bench,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
m10_joint_player_shots_bench,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
m11_joint_player_pxg_bench,model,1,0.0,0.1,0,NaN,NaN
m11_joint_player_pxg_bench,model,2,0.1,0.2,1,0.17742501642041086,0.0
m11_joint_player_pxg_bench,model,3,0.2,0.3,765,0.25764294684768047,0.25620915032679736
m11_joint_player_pxg_bench,model,4,0.3,0.4,627,0.35374668922782077,0.3317384370015949
m11_joint_player_pxg_bench,model,5,0.4,0.5,912,0.45384513820712036,0.4594298245614035
m11_joint_player_pxg_bench,model,6,0.5,0.6,587,0.5362514890006964,0.5502555366269165
m11_joint_player_pxg_bench,model,7,0.6,0.7,7,0.605710306235561,0.8571428571428571
m11_joint_player_pxg_bench,model,8,0.7,0.8,0,NaN,NaN
m11_joint_player_pxg_bench,model,9,0.8,0.9,0,NaN,NaN
m11_joint_player_pxg_bench,model,10,0.9,1.0,0,NaN,NaN
m11_joint_player_pxg_bench,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
m11_joint_player_pxg_bench,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
m11_joint_player_pxg_bench,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
m11_joint_player_pxg_bench,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
m11_joint_player_pxg_bench,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
m11_joint_player_pxg_bench,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
m11_joint_player_pxg_bench,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
m11_joint_player_pxg_bench,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
m11_joint_player_pxg_bench,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
m11_joint_player_pxg_bench,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
m12_joint_hybrid_synergy,model,1,0.0,0.1,0,NaN,NaN
m12_joint_hybrid_synergy,model,2,0.1,0.2,3,0.19640169051638687,0.0
m12_joint_hybrid_synergy,model,3,0.2,0.3,781,0.2570846177994445,0.2496798975672215
m12_joint_hybrid_synergy,model,4,0.3,0.4,584,0.3511285547134033,0.3373287671232877
m12_joint_hybrid_synergy,model,5,0.4,0.5,916,0.4540692677348188,0.4574235807860262
m12_joint_hybrid_synergy,model,6,0.5,0.6,611,0.5355196785725775,0.5531914893617021
m12_joint_hybrid_synergy,model,7,0.6,0.7,4,0.609616466980559,0.75
m12_joint_hybrid_synergy,model,8,0.7,0.8,0,NaN,NaN
m12_joint_hybrid_synergy,model,9,0.8,0.9,0,NaN,NaN
m12_joint_hybrid_synergy,model,10,0.9,1.0,0,NaN,NaN
m12_joint_hybrid_synergy,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
m12_joint_hybrid_synergy,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
m12_joint_hybrid_synergy,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
m12_joint_hybrid_synergy,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
m12_joint_hybrid_synergy,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
m12_joint_hybrid_synergy,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
m12_joint_hybrid_synergy,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
m12_joint_hybrid_synergy,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
m12_joint_hybrid_synergy,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
m12_joint_hybrid_synergy,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
m13_joint_composite,model,1,0.0,0.1,0,NaN,NaN
m13_joint_composite,model,2,0.1,0.2,3,0.18853411274405965,0.0
m13_joint_composite,model,3,0.2,0.3,798,0.25670471997645705,0.2531328320802005
m13_joint_composite,model,4,0.3,0.4,564,0.3515852275530109,0.3351063829787234
m13_joint_composite,model,5,0.4,0.5,918,0.45533480298628276,0.46296296296296297
m13_joint_composite,model,6,0.5,0.6,612,0.535717180246464,0.5424836601307189
m13_joint_composite,model,7,0.6,0.7,4,0.608374087727989,1.0
m13_joint_composite,model,8,0.7,0.8,0,NaN,NaN
m13_joint_composite,model,9,0.8,0.9,0,NaN,NaN
m13_joint_composite,model,10,0.9,1.0,0,NaN,NaN
m13_joint_composite,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
m13_joint_composite,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
m13_joint_composite,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
m13_joint_composite,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
m13_joint_composite,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
m13_joint_composite,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
m13_joint_composite,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
m13_joint_composite,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
m13_joint_composite,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
m13_joint_composite,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
