model,model_run_id,portfolio_run_id,n_books,n_skipped,n_bets,total_return_pct,flat_roi_pct,roi_1x2_pct,max_drawdown_pct,sharpe_ann,win_rate
m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,ad4029f0-e1ee-4bcf-b930-5ef566558061,628,82,1468,140.15274274959043,11.576802549052461,12.020759023106985,-21.05290368792634,1.4531407588850815,0.3460490463215259
m12_joint_hybrid_synergy,132df5c2-c742-4e95-8693-3aeb2b2cbaef,d08b43b2-226a-4ecd-abd2-d9c80966ca08,628,82,1462,136.61151177461485,11.476834235932518,11.954261802928903,-20.229676831785557,1.4159233052187128,0.3447332421340629
m05_joint_production_wealth,ed541a7c-01e2-447e-a771-783517728d47,4e3f02a8-d145-4c7f-9060-9c49d4a4bf6a,628,82,1455,131.16761007626744,11.644541778350971,12.218272170012893,-19.050516559292078,1.4814832149784734,0.3443298969072165
m11_joint_player_pxg_bench,8dc231f1-7f09-4046-8c65-835d65c7a507,27ed3428-3564-4f71-8d8d-10d2eb8f9ad7,628,82,1455,120.54909697639604,10.618012359440424,11.010581739989853,-20.73135886492155,1.238964136637358,0.3395189003436426
m10_joint_player_shots_bench,baa67986-b2a5-461a-b661-fd7b5052c6d7,b5addb56-8bfd-4350-b7ad-a3d6891af24c,628,82,1462,112.23246529554744,10.051008535814162,10.264442439561321,-20.028326549944293,1.2167927601870578,0.34131326949384405
m09_joint_player_shots_outfield,6f09bb4a-2316-4986-a3ec-050398a59023,b2997270-262b-4810-a0c0-0c7678a8d782,628,82,1463,111.56205796357574,9.985554282924813,10.201740831372812,-19.96403740867517,1.2163480772381128,0.3390293916609706
