container,scope,model,market_key,direction,full_bets,full_kelly_roi,full_flat_roi,full_eff,full_cap_share,anchor_book_roi,sel_bets,sel_kelly_roi,sel_eff,sel_eff_anch,eval_bets,eval_kelly_roi,eval_eff,eval_eff_anch,sign_across_split,verdict_selection,verdict_reason,oos_gate,oos_gate_reason
inv,POOLED,POOLED,1X2,ALL,1580,11.04456687611831,5.338062980057913,1.8398261457755904,57.51873010814555,16.788081734349202,808,30.892118674233288,1.8401220081640755,1.8401220081640755,772,-2.6891770973490097,NaN,-0.160183702932946,reversed,KEEP,"Kelly ROI +30.89%, efficiency 1.84",false,OOS Kelly ROI -2.69%; OOS efficiency -0.16
inv,POOLED,POOLED,1X2,away,709,5.72155501766407,3.083123496176337,0.9531081330815886,27.085096616343677,16.788081734349202,379,27.3693439611616,1.6302841738709575,1.6302841738709575,330,-10.257314445300228,NaN,-0.6109878786397187,reversed,KEEP,"Kelly ROI +27.37%, efficiency 1.63",false,OOS Kelly ROI -10.26%; OOS efficiency -0.61
inv,POOLED,POOLED,1X2,draw,313,21.89598840926254,5.952417256956453,3.6474777521668535,8.392691253612497,16.788081734349202,139,28.79430267711782,1.7151633600998812,1.7151633600998812,174,19.19628192458161,NaN,1.143447013681445,held,KEEP,"Kelly ROI +28.79%, efficiency 1.72",true,all four conditions hold
inv,POOLED,POOLED,1X2,home,558,13.453795089315525,7.858599190457186,2.2411602232001187,22.040942238189352,16.788081734349202,290,35.59907956737083,2.1204971557014427,2.1204971557014427,268,-3.826454983271272,NaN,-0.22792687358926575,reversed,KEEP,"Kelly ROI +35.60%, efficiency 2.12",false,OOS Kelly ROI -3.83%; OOS efficiency -0.23
inv,POOLED,POOLED,BTTS,ALL,214,-19.28265394519374,-2.733078463773053,-3.212143245293004,7.487660160429156,16.788081734349202,61,-13.667023833193863,-0.8140908562072635,-0.8140908562072635,153,-21.003052346769945,NaN,-1.2510692215535688,held,PRUNE,Kelly ROI -13.67% <= 0 on 61 bets,false,IS Kelly ROI -13.67%; OOS Kelly ROI -21.00%; IS efficiency -0.81; OOS efficiency -1.25
inv,POOLED,POOLED,BTTS,btts_no,123,8.991870337693705,-2.3839052480418315,1.4978838312333336,2.9609902176437926,16.788081734349202,39,18.78241361937228,1.11879450651843,1.11879450651843,84,3.7940338351531713,NaN,0.22599567331092987,held,CONDITIONAL,"only 39 bets, below the 60 floor",false,OOS efficiency 0.23
inv,POOLED,POOLED,BTTS,btts_yes,91,-37.777616217315206,-3.205037865255915,-6.293071228712613,4.5266699427853645,16.788081734349202,22,-59.36712765754189,-3.536266298732271,-3.536266298732271,69,-33.6325314931072,NaN,-2.003357621513926,held,CONDITIONAL,"only 22 bets, below the 60 floor",false,IS Kelly ROI -59.37%; OOS Kelly ROI -33.63%; IS efficiency -3.54; OOS efficiency -2.00
inv,POOLED,POOLED,OU0.5,ALL,95,-24.932254469417718,-57.995153641679956,-4.1532650542550495,4.358579186599567,16.788081734349202,40,-52.32958370932227,-3.1170674849797457,-3.1170674849797457,55,-5.229077631744471,NaN,-0.3114755881278284,held,CONDITIONAL,"only 40 bets, below the 60 floor",false,IS Kelly ROI -52.33%; OOS Kelly ROI -5.23%; IS efficiency -3.12; OOS efficiency -0.31
inv,POOLED,POOLED,OU0.5,over_05,41,-15.959455018355573,-2.6716974624291727,-2.658558089642329,3.893224554005578,16.788081734349202,14,-47.936017807249016,-2.855360044451635,-2.855360044451635,27,8.04564544682322,NaN,0.4792474550776968,reversed,CONDITIONAL,"only 14 bets, below the 60 floor",false,IS Kelly ROI -47.94%; IS efficiency -2.86
inv,POOLED,POOLED,OU0.5,under_05,54,-100.0,-100.0,-16.658200963533034,0.4653546325939863,16.788081734349202,26,-100.0,-5.95660669172198,-5.95660669172198,28,-100.0,NaN,-5.95660669172198,held,CONDITIONAL,"only 26 bets, below the 60 floor",false,IS Kelly ROI -100.00%; OOS Kelly ROI -100.00%; IS efficiency -5.96; OOS efficiency -5.96
