market_name,market_line,rows,fixtures,median_staleness,median_overround,market_key,gate_fixtures,gate_coverage_pct
1X2,0.0,4173,1391,4.125966666666667,1.0013786188745457,1X2,545,76.7605633802817
OverUnder,2.5,1946,973,9.430391666666669,1.0020630710285883,OU2.5,347,48.87323943661972
BTTS,0.0,1020,510,14.189900000000002,1.0014626568555405,BTTS,190,26.760563380281692
OverUnder,3.5,1034,517,14.47826666666667,1.0005584512285925,OU3.5,179,25.211267605633804
OverUnder,1.5,1014,507,14.385449999999999,1.0017889087656529,OU1.5,166,23.380281690140844
OverUnder,0.5,624,312,17.344841666666667,1.0005390835579513,OU0.5,76,10.704225352112676
OverUnder,4.5,338,169,16.462975,1.0011441647597255,OU4.5,47,6.619718309859155
OverUnder,5.5,224,112,30.470566666666667,1.0005390835579513,OU5.5,39,5.492957746478873
