budget,mode,model,container,trust,lambda,cap,bets,return_pct,sharpe,mdd,calmar,is_return,is_mdd,is_sharpe,oos_return,oos_sharpe,oos_mdd,oos_calmar,k_pinned
-16.15,in-sample,m12,raw,tier_0.50_r1.6,23.0,0.2,1127,151.87098578106287,1.5983077517202384,-16.075771732609844,9.447197205033165,90.69766805228166,-13.860656384941969,2.7194652839165747,32.07869207504397,0.9459060583299459,-16.075771732609873,2.894236593050793,0.020202020202020204
-16.15,honest,m12,raw,flat_0.40,20.0,0.25,1592,131.54091370345293,1.1957620594518792,-26.46869131046765,4.969679541784979,117.56679891813233,-15.85928670038037,2.6017390582966184,6.422907748244588,0.18016566277962087,-26.468691310467676,0.33714254806915545,0.0
-16.15,in-sample,m12,inv,tier_1.00_r2.0,8.0,0.2,975,238.46998604579218,1.8213060001033763,-15.88882460254473,15.008661245313212,131.21102173938536,-15.888824602544728,2.8992155662365384,46.390074097465,1.1592453496600748,-15.64049634097805,4.396226833963241,0.42424242424242425
-16.15,honest,m12,inv,tier_1.00_r1.4,8.0,0.25,975,250.12725450180335,1.6485529937391885,-20.451580635552112,12.230216282989558,153.69119502723441,-15.863860047550467,2.884672167802635,38.01316772709284,0.8546970663383356,-20.451580635552116,2.7206858406062744,0.0707070707070707
-16.15,in-sample,m12,std,tier_0.50_r1.0,15.0,0.2,1103,118.77806384004428,1.5111290373382442,-15.148340020168636,7.840995361993598,61.44228305252815,-12.033319065555736,2.214514156197939,35.51472371637665,1.1598407509253204,-14.032865439968004,3.6903767774962053,0.010101010101010102
-16.15,honest,m12,std,flat_0.80,12.0,0.2,1503,133.7387274975697,1.3119855627862251,-22.21512514831005,6.020165387532983,94.30036848901426,-13.886158411401464,2.3885955640921264,20.297624402490676,0.580047107870477,-20.158526326325013,1.4328955371913568,0.0
-16.15,in-sample,m12,inv_anch,tier_1.00_r2.0,8.0,0.2,984,243.2355865348472,1.819522007188207,-15.862767361704968,15.333742277659152,133.89678655817283,-15.86276736170497,2.9049589232601023,46.746602031439366,1.1518292052220194,-15.83288477983557,4.37846855737915,0.43434343434343436
-16.15,honest,m12,inv_anch,tier_1.00_r1.4,8.0,0.25,984,255.2589575550459,1.6477646973959026,-20.78952250893433,12.278250135150914,156.97540007139946,-15.900264512091121,2.893512310002665,38.24629028939683,0.8481894164127206,-20.78952250893434,2.6938297226640104,0.09090909090909091
-16.15,in-sample,m05,raw,tier_0.35_r2.0,20.0,0.2,1113,133.98193955994398,1.662206817420093,-15.69774924235011,8.535105096371481,73.53880110355114,-15.209720979550482,2.6232508365167724,34.829754540211646,1.1457758092791883,-14.821655094767321,3.4229696007715056,0.6666666666666666
-16.15,honest,m05,raw,tier_0.50_r1.4,18.0,0.25,1113,177.0964533182515,1.4866418341568057,-20.717595533827694,8.548118097444675,103.13148982761375,-14.963975725242417,2.5899333226772443,36.41235711578137,0.873814760080358,-20.71759553382769,2.5663606377006065,0.030303030303030304
-16.15,in-sample,m05,inv,tier_1.00_r2.0,8.0,0.2,944,233.7578957585551,2.0323207360671733,-14.856855399894703,15.73400894513733,113.79437762068206,-12.713186810736516,2.993108988584322,56.111633744978384,1.5150743895898593,-14.856855399894705,5.676563801642081,0.42424242424242425
