budget,mode,model,container,trust,lambda,cap,bets,return_pct,sharpe,mdd,calmar,is_return,is_mdd,is_sharpe,oos_return,oos_sharpe,oos_mdd,oos_calmar,k_pinned
-16.15,honest,m05,inv,tier_1.00_r1.4,8.0,0.25,944,247.46682440460498,1.835458845879963,-18.27006470866592,13.544934205253561,129.0318532577522,-13.152925499063466,2.9451858657385563,51.711135137856076,1.2137739745396767,-18.270064708665924,4.227613797198146,0.1111111111111111
-16.15,in-sample,m05,std,tier_1.00_r1.4,15.0,0.2,1078,103.53258668059028,1.4360797483111103,-16.098277817189192,6.431283386726108,56.63704540678476,-12.222553879095022,2.223844812090091,29.938984837219216,1.0312348186389952,-13.6985560537713,3.159274091222836,0.010101010101010102
-16.15,honest,m05,std,tier_1.00_r1.0,10.0,0.2,1078,160.0137289020505,1.3099154858815836,-22.527542022836904,7.103026541459311,85.88640850495813,-15.665642073927092,2.067673986322543,39.87775168355849,0.9009724416343661,-19.47430647082205,3.0058539723954683,0.010101010101010102
-16.15,in-sample,m05,inv_anch,tier_1.00_r2.0,8.0,0.25,956,239.6986630238708,2.025148704311594,-14.958998307954799,16.023710818685327,115.917863345258,-12.791131292454857,2.9846091008764164,57.32772534928443,1.5111991835354275,-14.958998307954815,5.769803965913124,0.42424242424242425
-16.15,honest,m05,inv_anch,tier_1.00_r1.4,8.0,0.25,956,254.6038052014425,1.8326021274265345,-18.429439516516023,13.815059593823928,132.02151663660842,-13.198427373510244,2.944707901743879,52.832293462171556,1.2117990237365837,-18.429439516516,4.28877827731659,0.12121212121212122
-18.0,in-sample,m12,raw,tier_0.35_r1.4,20.0,0.2,1127,172.05128891197091,1.6045106110370195,-17.566220130351915,9.794439989664646,100.45534463630071,-15.712413463413315,2.6537172079738807,35.7166552009734,0.9763252201197922,-16.38858065084054,3.178873029530013,0.5858585858585859
-18.0,honest,m12,raw,flat_0.40,18.0,0.25,1592,147.76340380506022,1.1703087297803456,-28.959442635720258,5.102425680762249,133.50201896833127,-17.44789639876314,2.575341187320053,6.107606649286956,0.15517709249207243,-28.959442635720233,0.29285256420209743,0.0
-18.0,in-sample,m12,inv,tier_1.00_r2.0,8.0,0.2,975,238.46998604579218,1.8213060001033763,-15.88882460254473,15.008661245313212,131.21102173938536,-15.888824602544728,2.8992155662365384,46.390074097465,1.1592453496600748,-15.64049634097805,4.396226833963241,0.42424242424242425
-18.0,honest,m12,inv,tier_1.00_r1.4,8.0,0.25,975,250.12725450180335,1.6485529937391885,-20.451580635552112,12.230216282989558,153.69119502723441,-15.863860047550467,2.884672167802635,38.01316772709284,0.8546970663383356,-20.451580635552116,2.7206858406062744,0.0707070707070707
-18.0,in-sample,m12,std,tier_0.50_r1.4,15.0,0.2,1103,121.73522597143287,1.5789632968327163,-17.14576631496788,7.100016630062237,61.26516551013705,-14.300172347632271,2.2873189155062708,37.49728608159626,1.2418422880024143,-12.395358922610313,4.424561852527344,0.30303030303030304
-18.0,honest,m12,std,flat_0.80,8.0,0.2,1503,220.99283328908368,1.3178967944125748,-27.137373745673283,8.143486372712033,152.8538046817833,-17.65988567729125,2.3841196182255024,26.94799419492748,0.5580063229105762,-24.51158310261965,1.58163810128285,0.0
-18.0,in-sample,m12,inv_anch,tier_1.00_r2.0,8.0,0.2,984,243.2355865348472,1.819522007188207,-15.862767361704968,15.333742277659152,133.89678655817283,-15.86276736170497,2.9049589232601023,46.746602031439366,1.1518292052220194,-15.83288477983557,4.37846855737915,0.43434343434343436
-18.0,honest,m12,inv_anch,tier_1.00_r1.4,8.0,0.25,984,255.2589575550459,1.6477646973959026,-20.78952250893433,12.278250135150914,156.97540007139946,-15.900264512091121,2.893512310002665,38.24629028939683,0.8481894164127206,-20.78952250893434,2.6938297226640104,0.09090909090909091
-18.0,in-sample,m05,raw,tier_0.50_r2.0,18.0,0.25,1113,176.61067827106734,1.6201555080327779,-17.76194601283762,9.943205442884482,98.93316797961795,-16.34196450513891,2.663749316746006,39.047038299519855,1.0309333240594194,-17.76194601283764,3.2229309304925358,0.30303030303030304
-18.0,honest,m05,raw,tier_0.70_r1.4,15.0,0.25,1113,224.25757325556157,1.448862130982038,-24.27185926659065,9.23940645800646,128.2887334212457,-17.64268601300059,2.551469761593302,42.03836010480258,0.833093854657907,-24.271859266590628,2.550653886404224,0.010101010101010102
-18.0,in-sample,m05,inv,tier_1.00_r1.6,8.0,0.25,944,246.91330752222746,1.9130318182888528,-16.806375756737943,14.691645069475255,125.5251504795511,-12.996253090245508,2.9672797101893584,53.82466513582176,1.3228168136134009,-16.806375756737932,4.798061317514494,0.2828282828282828
-18.0,honest,m05,inv,tier_1.00_r1.4,8.0,0.25,944,247.46682440460498,1.835458845879963,-18.27006470866592,13.544934205253561,129.0318532577522,-13.152925499063466,2.9451858657385563,51.711135137856076,1.2137739745396767,-18.270064708665924,4.227613797198146,0.1111111111111111
-18.0,in-sample,m05,std,tier_0.50_r1.4,15.0,0.2,1078,103.55821971854277,1.4603690502411646,-16.396892751009034,6.315722209756479,56.53072681487756,-12.348188068844522,2.245834254635472,30.04361754435767,1.055179510756269,-13.141697392142307,3.3052000350593,0.29292929292929293
-18.0,honest,m05,std,flat_0.80,10.0,0.25,1497,130.44481078257712,1.0929283461016535,-28.11570887102982,4.639570404607024,101.81356186190169,-16.59124889053872,2.18483931080982,14.186979634335684,0.34751469978675165,-28.115708871029824,0.7106902338680366,0.0
-18.0,in-sample,m05,inv_anch,tier_1.00_r1.6,8.0,0.25,956,254.25316666074974,1.9108154145723362,-16.93966941793929,15.009334620868866,128.47865210064495,-13.055423285309347,2.9666620155428687,55.048694223170116,1.3216507132688597,-16.93966941793928,4.876993482357973,0.2828282828282828
-18.0,honest,m05,inv_anch,tier_1.00_r1.4,8.0,0.25,956,254.6038052014425,1.8326021274265345,-18.429439516516023,13.815059593823928,132.02151663660842,-13.198427373510244,2.944707901743879,52.832293462171556,1.2117990237365837,-18.429439516516,4.28877827731659,0.12121212121212122
-20.0,in-sample,m12,raw,tier_0.50_r1.6,18.0,0.25,1127,213.73561674447248,1.5790358281375094,-19.820845647273728,10.783375268041144,123.40477346612757,-17.397974323523602,2.692501547913848,40.433712259975806,0.9237931941293427,-19.820845647273746,2.9969860585565713,0.16161616161616163
-20.0,honest,m12,raw,tier_0.70_r1.4,15.0,0.25,1127,268.7056864573686,1.4949951524478515,-23.97184267612561,11.209221172012024,155.81989989334994,-19.817841048930184,2.6248983362281013,44.12705446725618,0.8223197276327273,-23.97184267612563,2.719328337852144,0.020202020202020204
-20.0,in-sample,m12,inv,tier_1.00_r1.6,8.0,0.2,975,248.6902828099021,1.706288438776932,-19.01320225410287,13.079873631294124,147.8550329235882,-15.702417501652583,2.8963933236419144,40.68315607591495,0.9453981222480176,-19.01320225410287,3.1447468885370125,0.32323232323232326
-20.0,honest,m12,inv,tier_1.00_r1.4,8.0,0.25,975,250.12725450180335,1.6485529937391885,-20.451580635552112,12.230216282989558,153.69119502723441,-15.863860047550467,2.884672167802635,38.01316772709284,0.8546970663383356,-20.451580635552116,2.7206858406062744,0.0707070707070707
-20.0,in-sample,m12,std,tier_1.00_r1.0,12.0,0.2,1103,156.53366314235075,1.4794265543353475,-18.709535868404085,8.366517707512912,78.7466021047916,-14.75763607907537,2.186406040886023,43.51806418784734,1.121273009222082,-17.120217022225994,3.7516849152688874,0.010101010101010102
-20.0,honest,m12,std,flat_0.80,8.0,0.2,1503,220.99283328908368,1.3178967944125748,-27.137373745673283,8.143486372712033,152.8538046817833,-17.65988567729125,2.3841196182255024,26.94799419492748,0.5580063229105762,-24.51158310261965,1.58163810128285,0.0
-20.0,in-sample,m12,inv_anch,tier_1.00_r1.6,8.0,0.25,984,254.12168723699415,1.706137776760267,-19.469623933208176,13.05221344329892,151.1973376680567,-15.74882136395951,2.9047429593936474,40.97350335175393,0.9391074802053995,-19.469623933208148,3.0942927581221453,0.3333333333333333
-20.0,honest,m12,inv_anch,tier_1.00_r1.4,8.0,0.25,984,255.2589575550459,1.6477646973959026,-20.78952250893433,12.278250135150914,156.97540007139946,-15.900264512091121,2.893512310002665,38.24629028939683,0.8481894164127206,-20.78952250893434,2.6938297226640104,0.09090909090909091
-20.0,in-sample,m05,raw,tier_0.50_r1.6,18.0,0.25,1113,179.60611013101584,1.5320303442988459,-19.732681322689206,9.101961725014002,103.07703886701694,-15.103149498917134,2.622333754527718,37.68474845357246,0.9238262932687129,-19.732681322689213,2.7940444709169667,0.1414141414141414
-20.0,honest,m05,raw,tier_0.70_r1.4,15.0,0.25,1113,224.25757325556157,1.448862130982038,-24.27185926659065,9.23940645800646,128.2887334212457,-17.64268601300059,2.551469761593302,42.03836010480258,0.833093854657907,-24.271859266590628,2.550653886404224,0.010101010101010102
-20.0,in-sample,m05,inv,tier_1.00_r1.4,8.0,0.25,944,247.46682440460498,1.835458845879963,-18.27006470866592,13.544934205253561,129.0318532577522,-13.152925499063466,2.9451858657385563,51.711135137856076,1.2137739745396767,-18.270064708665924,4.227613797198146,0.1111111111111111
-20.0,honest,m05,inv,tier_1.00_r1.4,8.0,0.25,944,247.46682440460498,1.835458845879963,-18.27006470866592,13.544934205253561,129.0318532577522,-13.152925499063466,2.9451858657385563,51.711135137856076,1.2137739745396767,-18.270064708665924,4.227613797198146,0.1111111111111111
-20.0,in-sample,m05,std,tier_0.70_r1.4,12.0,0.2,1078,135.27616348195747,1.4078846821352071,-19.78644753371035,6.836809045761561,72.48588591535992,-14.968903961403074,2.199961020996426,36.403139441455146,0.9954480683997744,-16.68063541394731,3.1866058352746145,0.04040404040404041
-20.0,honest,m05,std,flat_1.00,8.0,0.2,1497,180.87710395908744,1.1730722723496323,-28.938848475301715,6.250321401470402,132.2293240371811,-18.660790760750405,2.2061141123662704,20.948164114759884,0.4419539604096397,-28.938848475301704,1.0312456670777763,0.0
-20.0,in-sample,m05,inv_anch,tier_1.00_r1.4,8.0,0.25,956,254.6038052014425,1.8326021274265345,-18.429439516516023,13.815059593823928,132.02151663660842,-13.198427373510244,2.944707901743879,52.832293462171556,1.2117990237365837,-18.429439516516,4.28877827731659,0.12121212121212122
-20.0,honest,m05,inv_anch,tier_1.00_r1.4,8.0,0.25,956,254.6038052014425,1.8326021274265345,-18.429439516516023,13.815059593823928,132.02151663660842,-13.198427373510244,2.944707901743879,52.832293462171556,1.2117990237365837,-18.429439516516,4.28877827731659,0.12121212121212122
