scope,window,model,container,trust,book_kelly_roi_pct,book_turnover_units,anchor_book_roi_pct,market_key,direction,n_bets,n_matches,win_rate_pct,push_rate_pct,mean_odds,mean_p_model,mean_p_market,mean_edge,calib_bias,flat_roi_pct,kelly_roi_pct,total_pnl_units,turnover_units,capital_share_pct,capital_efficiency,capital_efficiency_anchored,mean_stake_frac,max_stake_frac,standalone_dd_units,standalone_dd_pct_turnover,max_win_streak,max_loss_streak
POOLED,full,POOLED,raw,flat_1.00,5.652690794793004,31583.815283439566,14.687462732801464,1X2,ALL,1854,543,28.640776699029125,0.0,4.048933660595152,0.31955123331845786,0.27315428879214615,0.04639694452631117,-0.033143466328166615,5.015357968016538,8.130088092628625,1636.9902056881745,20134.96270935118,63.75088800594843,1.4382686737646582,0.5535393172077111,0.006111881267935067,0.02438893071602662,-1189.2838000877218,-5.906560728495368,4,35
POOLED,full,POOLED,raw,flat_1.00,5.652690794793004,31583.815283439566,14.687462732801464,1X2,away,690,366,26.3768115942029,0.0,4.517061818588212,0.3240861533489913,0.25626614665545816,0.06782000669353344,-0.060318037406962344,3.7663107141850274,6.993546937627275,617.949709922703,8835.998606057216,27.976349680243416,1.2372067023495086,0.4761575954169816,0.007267344518832121,0.022756793269377247,-1438.1989396115848,-16.276586311655553,11,24
POOLED,full,POOLED,raw,flat_1.00,5.652690794793004,31583.815283439566,14.687462732801464,1X2,draw,623,342,26.163723916532906,0.0,4.142170843313926,0.2535575419506086,0.24666330158055538,0.006894240370052869,0.00807969721472046,5.716083889775942,7.868711086553476,306.53749167143224,3895.6506129099316,12.334325596668968,1.3920292781274657,0.5357433907886832,0.0034622933290238303,0.012839309218744672,-332.6269052431505,-8.53841728364568,8,29
POOLED,full,POOLED,raw,flat_1.00,5.652690794793004,31583.815283439566,14.687462732801464,1X2,home,541,292,34.380776340110906,0.0,3.3445063152180685,0.3897637562410115,0.32519995072770314,0.06456380551330845,-0.045955992839902426,5.8014769252949625,9.6241095965947,712.5030040940377,7403.313490384013,23.44021272903598,1.7025713851994138,0.655260188344254,0.007689374138217397,0.02438893071602662,-698.5882385103264,-9.436156383458659,11,20
POOLED,full,POOLED,raw,flat_1.00,5.652690794793004,31583.815283439566,14.687462732801464,BTTS,ALL,276,159,50.36231884057971,0.0,2.1162531960595885,0.5067638115785251,0.4825897736683185,0.024174037910206597,-0.0031406231727280076,1.923883380821582,-8.937939415732668,-183.29438200555686,2050.7454065186425,6.493026216480932,-1.5811831462576873,-0.6085421000437057,0.003886243601413347,0.020268499227834257,-273.2450726867847,-13.324183090608365,22,10
POOLED,full,POOLED,raw,flat_1.00,5.652690794793004,31583.815283439566,14.687462732801464,BTTS,btts_no,136,81,43.38235294117647,0.0,2.376973526594445,0.45843630960684434,0.42286555389504293,0.035570755711801516,-0.02461278019507962,0.18290396841111906,7.313878629807344,55.66662218720617,761.1094605855184,2.4098084849951396,1.2938755886921234,0.49796746809598924,0.003141893535355108,0.011690967113009222,-141.71503169945706,-18.619533593819245,8,11
POOLED,full,POOLED,raw,flat_1.00,5.652690794793004,31583.815283439566,14.687462732801464,BTTS,btts_yes,140,78,57.14285714285714,0.0,1.8629820178257255,0.5537105277795862,0.5406075871623579,0.013102940617228656,0.017718043648985216,3.615120524306032,-18.52933806213515,-238.96100419276294,1289.6359459331236,4.083217731485791,-3.2779677386924324,-1.261575154213235,0.004609326522727069,0.020268499227834257,-274.8399968192317,-21.311440463949673,17,8
POOLED,full,POOLED,raw,flat_1.00,5.652690794793004,31583.815283439566,14.687462732801464,OU0.5,ALL,109,60,26.605504587155966,0.0,12.437197437211381,0.35180329648599296,0.33845938170858136,0.013343914777411618,-0.08574825061443331,-71.26898897229172,-27.64628010241058,-204.3443023722244,739.1385083825686,2.340244526348035,-4.890817684186272,-1.8823046979154696,0.0034863360140997978,0.024202544040015865,-204.6169502840346,-27.683167358143873,6,17
POOLED,full,POOLED,raw,flat_1.00,5.652690794793004,31583.815283439566,14.687462732801464,OU0.5,over_05,35,20,82.85714285714286,0.0,1.0818309626881053,0.9346414050885512,0.9237518175461732,0.010889587542378001,-0.10606997651712258,-10.523422799422805,-14.101176189807253,-87.7919742056479,622.5861802159918,1.9712190393363727,-2.4945953532071137,-0.9600825170650572,0.00908109192854676,0.024202544040015865,-116.82601170198075,-18.764632980039924,12,2
POOLED,full,POOLED,raw,flat_1.00,5.652690794793004,31583.815283439566,14.687462732801464,OU0.5,under_05,74,40,0.0,0.0,17.807978877864286,0.07613662349829656,0.061631878271882545,0.014504745226414014,-0.07613662349829656,-100.0,-100.0,-116.55232816657643,116.55232816657643,0.3690254870116615,-17.690689908621106,-6.808527913856103,0.0008401676761856926,0.004410169288023989,-115.93833607448236,-99.47320478127506,0,74
