container,basket,setting,bets,ret,sharpe,mdd,is_ret,is_mdd,oos_ret,oos_sharpe,oos_mdd,oos_calmar,n_models
inv,B2_plus_over15,prod,997.0,68.61915770487072,1.94173781569993,-6.959811697510062,41.64622624717528,-5.571264823257977,19.096509248609795,1.3115836818514661,-6.959811697510044,3.908325278628438,2
inv_anch,B2_plus_over15,prod,1001.0,69.69849920610868,1.9367411051714545,-7.028357066104942,42.25292035463768,-5.587787738951832,19.352165673701705,1.3069275381255991,-7.028357066104943,3.9252348451133803,2
std,B2_plus_over15,prod,1131.0,72.68136907382352,1.6435769208548727,-10.604509092905019,38.933999791497065,-8.594300382991156,24.273905256449304,1.2909917418886065,-8.470275495007614,4.147819333004726,2
inv_anch,B7_x1x2_ou25,prod,1045.5,65.90252614722299,1.7867304298464812,-8.19036973302841,38.61673021604804,-6.098138633106158,19.730405782117323,1.28517819923296,-8.190369733028403,3.507870035658677,2
inv,B7_x1x2_ou25,prod,1037.5,64.64842793022619,1.780079244317672,-8.089100223132862,38.06086428143499,-6.116688582366005,19.2992643480544,1.2754868104464214,-8.089100223132846,3.452466817455049,2
std,B1_draw_promoted,prod,1090.5,68.81171950284548,1.5473036790467611,-10.997532702496066,37.27578884509363,-8.918118432891148,22.94356545053172,1.199068165705834,-8.499154116015518,3.9058399952930696,2
inv,B0_canonical,prod,959.5,64.77408175555657,1.8575419631084436,-7.310560179058421,40.844127173986365,-5.571264823257989,17.028005486647057,1.1809193560878453,-7.3105601790584185,3.3324393991383845,2
inv_anch,B0_canonical,prod,970.0,66.11147146005406,1.8591241345801688,-7.437635179923182,41.63349674821815,-5.587787738951827,17.32299814241286,1.1805868870378335,-7.437635179923185,3.3416913023480417,2
inv,B1_draw_promoted,prod,959.5,67.69456476005539,1.8431710249720434,-7.160338587949735,41.88928711382435,-5.831653435899476,18.22660076350914,1.177869126187299,-7.160338587949729,3.6118596488488173,2
inv_anch,B1_draw_promoted,prod,970.0,69.09058447328465,1.8462361573197452,-7.232138683198713,42.75623928011887,-5.841664026818273,18.489544820995164,1.1761483548771707,-7.2321386831987065,3.6298539806177894,2
std,B0_canonical,prod,1090.5,67.9324189297655,1.5452316039239051,-11.096775674639948,37.27693833420308,-8.895742023045614,22.307128814385912,1.1752436720243824,-8.842855116552906,3.6161387789506865,2
inv,B2_plus_over15,matched,997.0,271.4663268728326,1.8299606770250545,-18.606537248711945,144.99844496697494,-14.50839277330696,52.10751092477051,1.1696760388270895,-18.60653724871196,4.2130559188600065,2
inv,B2_plus_over15,tuned,997.0,271.4663268728326,1.8299606770250545,-18.606537248711945,144.99844496697494,-14.50839277330696,52.10751092477051,1.1696760388270895,-18.60653724871196,4.2130559188600065,2
inv_anch,B2_plus_over15,matched,1001.0,276.3503371257716,1.821572091989598,-18.804547567094744,147.30656427506773,-14.54934594280068,52.70582803090175,1.1612823844517235,-18.804547567094755,4.224449128001926,2
