model,move,container,basket,setting,return_pct,d_return,sharpe,mdd,calmar,oos_return,d_oos,oos_sharpe,oos_mdd
m12,deployed today,raw,B0_canonical,prod,151.52046006000467,0.0,1.5922465968934099,-16.148567670505155,9.382903991959111,31.77288292601428,0.0,0.9414799212691509,-16.148567670505123
m12,+ calibration (inv_anch),inv_anch,B0_canonical,prod,66.81995497964535,-84.70050508035932,1.7746931870539568,-7.9541308363420775,8.400660782991887,15.382174135459792,-16.390708790554488,1.0081247861678306,-7.954130836342095
m12,+ matched-risk ladder,raw,B0_canonical,matched,169.35117851502497,17.830718455020303,1.4640520751832782,-19.347393068907135,8.753178162653157,31.961037810400317,0.18815488438603722,0.8087830971021338,-19.3473930689071
m12,+ Over 1.5 in the basket,raw,B2_plus_over15,prod,157.19312535238709,5.672665292382419,1.6382801081805825,-15.60643012820108,10.07233070350512,32.475824234163575,0.7029413081492955,0.9686535239466385,-15.606430128201051
m12,+ all three,inv_anch,B2_plus_over15,matched,268.30699669281574,116.78653663281108,1.6958463838510631,-19.179655617673493,13.989145688600304,41.96973196055056,10.196849034536282,0.9192991434190617,-19.179655617673486
m05,deployed today,raw,B0_canonical,prod,130.15276802337246,0.0,1.5444444505204973,-16.0657856083645,8.101238943186797,30.09058386765606,0.0,0.944673727804912,-16.0657856083645
m05,+ calibration (inv_anch),inv_anch,B0_canonical,prod,65.40298794046278,-64.74978008290968,1.9435550821063805,-6.921139523504287,9.449742736489174,19.26382214936593,-10.826761718290133,1.3530489879078365,-6.921139523504275
m05,+ matched-risk ladder,raw,B0_canonical,matched,177.0964533182515,46.94368529487903,1.4866418341568057,-20.717595533827694,8.548118097444675,36.41235711578137,6.321773248125307,0.873814760080358,-20.71759553382769
m05,+ Over 1.5 in the basket,raw,B2_plus_over15,prod,140.047557730164,9.894789706791528,1.6320040709651447,-16.065785608364493,8.71713099776768,33.154130087950165,3.0635462202941035,1.0403150792360314,-16.065785608364497
m05,+ all three,inv_anch,B2_plus_over15,matched,284.3936775587275,154.24090953535506,1.9472978001281327,-18.429439516516,15.431488152629985,63.44192410125294,33.35134023359687,1.4032656254843854,-18.429439516516023
