model,container,basket,setting,t1,ratio,lambda,cap,deployable,n_directions,n_slates,n_bets,return_pct,cagr_pct,flat_roi_pct,sharpe_ann,sortino,mdd_pct,calmar,ulcer,turnover,mean_exposure,max_exposure,worst_slate,mean_k_risk,frac_k_pinned,n_capped,is_return_pct,is_sharpe,is_mdd_pct,is_calmar,is_slates,oos_return_pct,oos_cagr_pct,oos_sharpe,oos_mdd_pct,oos_calmar,oos_slates,oos_k_pinned,g3_sharpe,g3_calmar,g3_mdd,gate3
m12,raw,B0_canonical,prod,0.35,1.4,23.0,0.25,true,4,99,1127,151.52046006000467,70.70142644869935,15.042082507640986,1.5922465968934099,0.2510864226743368,-16.148567670505155,9.382903991959111,6.5888784132689135,6.809332053077652,0.0687811318492692,0.1725420274072068,-0.09205231360474161,0.9019706037337236,0.20202020202020202,0,90.87421818131148,2.692397399659749,-13.33377338350244,10.310172826481447,49,31.77288292601428,46.061440150703234,0.9414799212691509,-16.148567670505123,2.852354530168832,50,0.2,false,false,true,false
m12,raw,B0_canonical,matched,0.4,1.0,20.0,0.25,true,4,99,1127,169.35117851502497,77.61616697171814,14.340439451286342,1.4640520751832782,0.22415544626192735,-19.347393068907135,8.753178162653157,7.926265128082296,7.873807354393776,0.07953340762013913,0.20540644581029982,-0.11286406573928022,0.7733617964573227,0.010101010101010102,0,104.114171110131,2.54976214139585,-15.295828703105746,10.445098699419537,49,31.961037810400317,46.34789043324148,0.8087830971021338,-19.3473930689071,2.395562558127093,50,0.0,false,false,false,false
m12,raw,B0_canonical,tuned,0.4,1.0,18.0,0.25,true,4,99,1127,193.66124830175622,86.74099111788851,14.31012515653978,1.4418658862948577,0.21942044313942144,-21.289373858374997,9.096615503587113,8.760182408737423,8.705643625123622,0.08793579419316792,0.22715833720701561,-0.12482918555181545,0.8537276710491934,0.030303030303030304,0,118.72041949619594,2.535039449495835,-16.827805055785525,10.98970039991049,49,34.263297856770805,49.86519410322248,0.7781318883127449,-21.289373858375022,2.3422574301595076,50,0.02,false,false,false,false
m12,raw,B1_draw_promoted,prod,0.35,1.4,23.0,0.25,true,4,99,1127,154.53272904280885,71.88370326176286,14.658121287097352,1.5792766607490696,0.24166132087479644,-15.161146739344916,10.192680784612334,6.385855802034546,7.0976036929021555,0.07169296659497125,0.18097096039646138,-0.09957692680623663,0.8901846249046144,0.16161616161616163,0,90.06980876865917,2.628972895455362,-13.92727340741006,9.774740745033563,49,33.91539176672178,49.33222261286334,0.9725891077636083,-14.867335511149841,3.3181616555210156,50,0.16,false,false,true,false
m12,raw,B1_draw_promoted,matched,0.4,1.0,20.0,0.25,true,4,99,1127,169.35117851502497,77.61616697171814,14.340439451286342,1.4640520751832782,0.22415544626192735,-19.347393068907135,8.753178162653157,7.926265128082296,7.873807354393776,0.07953340762013913,0.20540644581029982,-0.11286406573928022,0.7733617964573227,0.010101010101010102,0,104.114171110131,2.54976214139585,-15.295828703105746,10.445098699419537,49,31.961037810400317,46.34789043324148,0.8087830971021338,-19.3473930689071,2.395562558127093,50,0.0,false,false,false,false
m12,raw,B1_draw_promoted,tuned,0.4,1.0,18.0,0.25,true,4,99,1127,193.66124830175622,86.74099111788851,14.31012515653978,1.4418658862948577,0.21942044313942144,-21.289373858374997,9.096615503587113,8.760182408737423,8.705643625123622,0.08793579419316792,0.22715833720701561,-0.12482918555181545,0.8537276710491934,0.030303030303030304,0,118.72041949619594,2.535039449495835,-16.827805055785525,10.98970039991049,49,34.263297856770805,49.86519410322248,0.7781318883127449,-21.289373858375022,2.3422574301595076,50,0.02,false,false,false,false
m12,raw,B2_plus_over15,prod,0.35,1.4,23.0,0.25,true,5,99,1172,157.19312535238709,72.9229937246664,14.94906187888076,1.6382801081805825,0.2590785055575127,-15.60643012820108,10.07233070350512,6.418173024763152,6.9963624501615005,0.07067032777940911,0.1725420274072068,-0.09205231360474161,0.9033790628010632,0.20202020202020202,0,94.14344227651235,2.7579738175825548,-13.274460256560948,10.767365559397811,49,32.475824234163575,47.132388930452066,0.9686535239466385,-15.606430128201051,3.0200621502340335,50,0.2,false,false,true,false
m12,raw,B2_plus_over15,matched,0.4,1.0,20.0,0.25,true,5,99,1172,176.82801979048403,80.45816572605614,14.21706974854543,1.5140552316474363,0.2322435685477804,-18.49988243002019,9.558332084507796,7.637065452885231,8.124898589174041,0.08206968271892971,0.20540644581029982,-0.11286406573928022,0.7746644040488955,0.010101010101010102,0,108.6684043609368,2.6251929155836105,-15.295828703105757,10.953967564402188,49,32.66408042860698,47.41956259312645,0.8341666583366121,-18.499882430020186,2.56323588933612,50,0.0,false,false,false,false
m12,raw,B2_plus_over15,tuned,0.4,1.0,18.0,0.25,true,5,99,1172,202.7451507341972,90.06853670672727,14.187949100097587,1.4920319314902484,0.22747707811357393,-20.32498128266903,9.97517035388744,8.433342800109928,8.983327066303529,0.0907406774374094,0.22715833720701561,-0.12482918555181545,0.8551643823048102,0.030303030303030304,0,124.11282444551826,2.6105285647720833,-16.82780505578552,11.550529976552312,49,35.086044934387274,51.127643506585805,0.8037715495647788,-20.324981282669054,2.515507532111822,50,0.02,false,false,false,false
m12,raw,B3_plus_over25,prod,0.35,1.4,23.0,0.25,true,5,99,1198,161.57734209283353,74.62589399248334,15.184011978031442,1.6295909232864974,0.25047709041613314,-17.48286324241759,9.242041183552155,6.951863492587013,7.030473544127787,0.07101488428411908,0.17271025031501985,-0.09205231360474161,0.9035134832486558,0.20202020202020202,0,99.38646926446717,2.806593091641746,-14.081328176318163,10.77655869786618,49,31.191119968063695,45.17671983003766,0.9139626281385833,-17.482863242417594,2.584057268172651,50,0.2,false,false,true,false
