container,market_key,direction,raw_full_kelly,cal_full_kelly,delta_full_kelly,raw_oos_kelly,cal_oos_kelly,raw_gate,cal_gate,status
inv,1X2,away,6.993546937627275,5.72155501766407,-1.271991919963205,-4.846381707264985,-10.257314445300228,false,false,both fail
inv,1X2,draw,7.868711086553476,21.89598840926254,14.027277322709065,12.934874821359921,19.19628192458161,false,true,REHABILITATED
inv,1X2,home,9.6241095965947,13.453795089315525,3.8296854927208255,-2.256900681169158,-3.826454983271272,false,false,both fail
inv,BTTS,btts_no,7.313878629807344,8.991870337693705,1.6779917078863607,-5.115669704477093,3.7940338351531713,false,false,both fail
inv,BTTS,btts_yes,-18.52933806213515,-37.777616217315206,-19.248278155180056,-17.950023094945028,-33.6325314931072,false,false,both fail
inv,OU0.5,over_05,-14.101176189807253,-15.959455018355573,-1.85827882854832,4.367718658574419,8.04564544682322,false,false,both fail
inv,OU0.5,under_05,-100.0,-100.0,0.0,-100.0,-100.0,false,false,both fail
inv,OU1.5,over_15,11.988256951571785,16.1187040298168,4.130447078245016,5.777444340123952,13.796586976009205,true,true,held (both pass)
inv,OU1.5,under_15,-10.939130592611336,-6.386723598681312,4.552406993930025,-22.166821369202182,-14.182586104178162,false,false,both fail
inv,OU2.5,over_25,5.991755506737245,3.845702665660649,-2.1460528410765964,-13.051779051905351,-35.04682063097793,false,false,both fail
inv,OU2.5,under_25,27.54686107231077,34.12066114771077,6.573800075400001,44.60503588767123,51.461922130772585,false,false,both fail
inv,OU3.5,over_35,6.8501585086411785,-3.1714529031507923,-10.021611411791971,12.831468723137615,5.961109245737165,false,false,both fail
inv,OU3.5,under_35,-21.926387583135668,-27.653542091777926,-5.727154508642258,-24.366884427432662,-28.573411152029966,false,false,both fail
inv_anch,1X2,away,6.993546937627275,5.848097833604166,-1.1454491040231085,-4.846381707264985,-10.029605548155384,false,false,both fail
inv_anch,1X2,draw,7.868711086553476,21.833693203052434,13.964982116498959,12.934874821359921,18.489158823806576,false,true,REHABILITATED
inv_anch,1X2,home,9.6241095965947,13.279495926047245,3.6553863294525453,-2.256900681169158,-3.4212603897536953,false,false,both fail
inv_anch,BTTS,btts_no,7.313878629807344,7.117578666621833,-0.19629996318551068,-5.115669704477093,2.2833197409256063,false,false,both fail
inv_anch,BTTS,btts_yes,-18.52933806213515,-43.107559358574704,-24.578221296439555,-17.950023094945028,-38.273073061052564,false,false,both fail
inv_anch,OU0.5,over_05,-14.101176189807253,-17.97035719764083,-3.8691810078335767,4.367718658574419,8.158076287617774,false,false,both fail
inv_anch,OU0.5,under_05,-100.0,-100.00000000000001,-1.4210854715202004e-14,-100.0,-100.0,false,false,both fail
inv_anch,OU1.5,over_15,11.988256951571785,16.60582308145562,4.6175661298838335,5.777444340123952,14.635252904958847,true,true,held (both pass)
inv_anch,OU1.5,under_15,-10.939130592611336,-6.671160678642824,4.267969913968512,-22.166821369202182,-14.711881529058946,false,false,both fail
inv_anch,OU2.5,over_25,5.991755506737245,4.870913101479004,-1.1208424052582417,-13.051779051905351,-36.109006784179826,false,false,both fail
inv_anch,OU2.5,under_25,27.54686107231077,33.24536668892296,5.698505616612188,44.60503588767123,50.35466531414259,false,false,both fail
inv_anch,OU3.5,over_35,6.8501585086411785,-4.59728952119956,-11.44744802984074,12.831468723137615,7.178611094148599,false,false,both fail
inv_anch,OU3.5,under_35,-21.926387583135668,-28.403099973074898,-6.47671238993923,-24.366884427432662,-29.106913664900606,false,false,both fail
std,1X2,away,6.993546937627275,9.227073386425397,2.2335264487981226,-4.846381707264985,2.229204267187847,false,false,both fail
std,1X2,draw,7.868711086553476,6.021827179217467,-1.846883907336009,12.934874821359921,7.691100903621636,false,true,REHABILITATED
std,1X2,home,9.6241095965947,11.153830074250651,1.5297204776559514,-2.256900681169158,3.3945289609421883,false,true,REHABILITATED
std,BTTS,btts_no,7.313878629807344,6.475834787021039,-0.8380438427863046,-5.115669704477093,-6.875275484504793,false,false,both fail
std,BTTS,btts_yes,-18.52933806213515,-19.609678148423605,-1.0803400862884551,-17.950023094945028,-18.965647042011703,false,false,both fail
std,OU0.5,over_05,-14.101176189807253,-17.277692098406124,-3.176515908598871,4.367718658574419,8.020182028407305,false,false,both fail
std,OU0.5,under_05,-100.0,-89.99344036082333,10.006559639176672,-100.0,-83.24315731301682,false,false,both fail
std,OU1.5,over_15,11.988256951571785,13.957686021895054,1.9694290703232689,5.777444340123952,8.463229396825636,true,true,held (both pass)
std,OU1.5,under_15,-10.939130592611336,-13.849447615999743,-2.910317023388407,-22.166821369202182,-54.422708050539335,false,false,both fail
std,OU2.5,over_25,5.991755506737245,13.673474493587012,7.681718986849766,-13.051779051905351,-10.485196613457306,false,false,both fail
std,OU2.5,under_25,27.54686107231077,21.89200927027238,-5.65485180203839,44.60503588767123,33.70757446173312,false,true,REHABILITATED
std,OU3.5,over_35,6.8501585086411785,1.7758728098180918,-5.074285698823086,12.831468723137615,19.276795661635315,false,false,both fail
std,OU3.5,under_35,-21.926387583135668,-21.759773423418814,0.166614159716854,-24.366884427432662,-24.210407863338425,false,false,both fail
