model,container,basket,setting,t1,ratio,lambda,cap,roi_lo,roi_hi,p_roi_positive,n_slates,n_bets,return_pct,cagr_pct,flat_roi_pct,sharpe_ann,sortino,mdd_pct,calmar,ulcer,turnover,mean_exposure,max_exposure,worst_slate,mean_k_risk,frac_k_pinned,n_capped,is_return_pct,is_sharpe,is_mdd_pct,is_calmar,is_slates,oos_return_pct,oos_cagr_pct,oos_sharpe,oos_mdd_pct,oos_calmar,oos_slates,oos_k_pinned,criterion
m12,inv_anch,B3_plus_over25,matched,1.0,1.4,8.0,0.25,2.8638826805105477,31.279541966314778,0.9925,99,1022,259.82170256308797,110.08655698553085,17.14898026175918,1.6404173981213055,0.2534081060067447,-23.260222632223712,11.170215636850447,8.786562345196433,8.556878665278742,0.0864331178310984,0.20787087938214605,-0.1246153222869517,0.8572996906782235,0.09090909090909091,0,165.45602985547555,2.938534231199639,-16.493411096777024,16.32183030041301,49,35.54851353687041,51.83853179364362,0.788448689843916,-23.260222632223698,2.2286343778080946,50,0.08,is_return
m05,inv_anch,B3_plus_over25,matched,1.0,1.4,8.0,0.25,3.7769221260676766,32.551694095129015,0.9955,99,998,256.96004087917447,109.11625538458244,17.72399011772676,1.8194986943526759,0.3170815508042972,-18.429439516516005,13.942911321252785,7.344972999379987,8.03709531752871,0.08118278098513848,0.21781140319427822,-0.10051537643756489,0.8371734265874261,0.12121212121212122,0,139.1270004174895,2.9899479947850187,-13.616306370099725,16.23416435078759,49,49.2763428035986,73.34469524201224,1.1376171917640778,-18.429439516516,3.979757234411962,50,0.16,is_return
m12,inv_anch,B5_is_keep,matched,1.0,1.4,8.0,0.25,-1.8663305006985744,32.272575913337924,0.96075,99,811,129.4947279627146,61.86847509378759,14.854326858341665,1.0171432546896608,0.147629257446215,-34.20597114530944,3.7857345845440733,12.23956392112653,6.922642393835552,0.06992568074581368,0.16128645552766493,-0.15781733939686632,0.854722095943174,0.10101010101010101,0,165.65055267914707,2.9589570569360824,-14.396052909167043,18.72490130880071,49,-13.610295311563492,-18.199743060743934,-0.35622620771093794,-34.205971145309455,-0.532063334305876,50,0.06,is_calmar
m05,inv_anch,B5_is_keep,matched,1.0,1.4,8.0,0.25,-2.984623801256878,32.57401459565848,0.94275,99,789,110.32002187191918,53.88414725769142,14.422330711653375,0.9687558626646808,0.14796861364392133,-31.211894266658945,3.5345506725544955,11.805153477287245,6.3661809910319285,0.064304858495272,0.15618625588337434,-0.15258952096537642,0.8352589708868713,0.12121212121212122,0,133.3530790413189,2.8852855629824212,-12.60307367735545,16.71976207240005,49,-9.87047493181844,-13.298407426187609,-0.2595829271023851,-31.211894266658962,-0.42606857861854214,50,0.1,is_calmar
m12,inv_anch,B3_plus_over25,prod,0.35,1.4,23.0,0.25,3.023231519439247,31.222544698396568,0.9925,99,1022,67.83012729206506,35.01157867258746,17.196791244699313,1.7703307176149332,0.28686054733334226,-8.870224480750139,7.646945963911929,3.241535139196987,3.1628923283311434,0.03194840735688023,0.07743363346772271,-0.04624228618145758,0.9013232917887324,0.29292929292929293,0,46.445401446314264,3.02711749949316,-6.364650336458853,10.463117379037342,49,14.602524650519811,20.58151531420269,0.9509264484672756,-8.870224480750151,2.3202924975425336,50,0.2,is_sharpe_prod
m05,inv_anch,B3_plus_over25,prod,0.35,1.4,23.0,0.25,3.777265257930597,32.49528216606699,0.99575,99,998,65.9586362437808,34.136674870453135,17.768658501015874,1.9319567084012206,0.35134830401678363,-6.941281112530347,9.50237213771861,2.710630865717314,2.970357133831943,0.030003607412443876,0.08115386360405746,-0.03518038175314771,0.8800062201148527,0.24242424242424243,0,40.343687158366826,3.0626880817250335,-5.210329477211951,11.011459245985707,49,18.25158623380716,25.884638054635477,1.2797342070536948,-6.941281112530355,3.729086552611837,50,0.24,is_sharpe_prod
