basket,deployable,cells,is_wins,oos_wins,mean_d_is,mean_d_oos,mean_d_oos_sharpe,transfers
B4_minus_away,false,24,0,18,-58.35395137218725,5.745018569618555,0.7100045673754142,false
B2_plus_over15,true,24,24,24,3.4860744502463237,4.368687354097854,0.11099571718339866,true
B7_x1x2_ou25,true,24,9,16,-4.485068167957682,2.287248327848426,0.02958913999248546,false
B1_draw_promoted,true,24,13,18,1.325409320928191,2.042845336388463,0.013435654300089,true
B3_plus_over25,true,24,24,3,8.289188079355752,-1.7298253816613995,-0.052700871768248635,false
B6_flat11,true,24,9,0,-3.176485503370957,-27.522871829799346,-0.7581647042740424,true
B5_is_keep,true,24,22,0,2.6252427607676894,-41.71814981072371,-1.194332996068415,false
