model,policy,initial_bankroll,final_bankroll,total_return_pct,annual_sharpe,max_drawdown_pct,n_bets,total_turnover,flat_roi_pct,win_rate_pct,mean_exposure,max_exposure,n_capped,n_slates,mean_k_risk
m12_joint_hybrid_synergy,P1_status_quo,1000.0,2239.370670076544,123.93706700765436,1.3332465962136513,-20.97324348306163,1894,9.774219616219249,9.371612903689886,36.06124604012672,0.09774219616219253,0.20000000000000007,4,100,0.26893718257649024
m12_joint_hybrid_synergy,P2_hard_pruning,1000.0,2415.3382587807396,141.53382587807397,1.4851250588662117,-19.796785484141857,1314,7.732294657500014,12.784915685590425,33.2572298325723,0.07732294657500016,0.17584756257641776,0,100,0.2796481948700888
m12_joint_hybrid_synergy,P3_damped_tail,1000.0,2413.5969690346565,141.35969690346565,1.4673061251064308,-19.784415906794884,1894,8.207562310690589,12.064271600257802,36.06124604012672,0.08207562310690593,0.18299171101478506,0,100,0.28726420319174273
m12_joint_hybrid_synergy,P4_drawdown_adaptive,1000.0,2231.790246949609,123.17902469496089,1.338438318427359,-20.786643520892074,1894,9.709039612411793,9.381256405545331,36.06124604012672,0.09709039612411795,0.20000000000000007,4,100,0.38848410190355886
m13_joint_composite,P1_status_quo,1000.0,2278.5852516082346,127.85852516082348,1.37526309591595,-20.84484895560675,1893,9.806727690338874,9.49759194114178,36.55573164289487,0.0980672769033887,0.2,4,100,0.2690637529010667
m13_joint_composite,P2_hard_pruning,1000.0,2444.2702855098937,144.42702855098938,1.5216476380669308,-20.3218909219731,1316,7.774625017499139,12.841076310553085,33.890577507598785,0.07774625017499139,0.17985681995400357,0,100,0.2813831477027448
m13_joint_composite,P3_damped_tail,1000.0,2454.928798493264,145.49287984932639,1.5116672461021519,-20.541806165230092,1893,8.24563087192323,12.189039450477427,36.55573164289487,0.0824563087192323,0.1870295600120066,0,100,0.2855453146881427
m13_joint_composite,P4_drawdown_adaptive,1000.0,2265.9218236070005,126.59218236070005,1.37642550999743,-20.68320006355247,1893,9.748148937084835,9.480297645651913,36.55573164289487,0.09748148937084836,0.20000000000000004,4,100,0.3756717458223398
