experiment,model,database_id,run_uuid,config_hash,status,git_commit,git_branch,created_at,n_folds,converged_folds,strict_all_folds_converged,portfolio_uuid
scottish_lower_joint_2426,m00_joint_baseline,17,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,56dfc90e649ef06b638e8a2fdf8d9e13427172fbf8bebb633450f1ee427d9610,completed,a86104ee-dirty,feat/pxg-rapm-unified-covariates,2026-08-31T23:43:36.972,40,40,true,cd138387-6760-40e0-ae25-c007cba8c044
scottish_lower_joint_2426,m05_joint_production_wealth,21,5eff755c-3591-48d1-a2cc-5fc2744ddf88,13dc1fc62a0d87e9d02031840e76f91418215170c0687b19b811a72903b84e39,completed,a86104ee-dirty,feat/pxg-rapm-unified-covariates,2026-09-01T09:37:53.428,40,40,true,c5192d31-11ca-4736-873b-1a2055c232be
scottish_lower_joint_player_2426,m12_joint_hybrid_synergy,67,132df5c2-c742-4e95-8693-3aeb2b2cbaef,a11db174f91861a795c150bbdfb6f34b5814516f0a179c153ebec912eed5670d,completed,36aac012-dirty,feat/pxg-rapm-unified-covariates,2026-09-03T01:25:17.301,40,40,true,d08b43b2-226a-4ecd-abd2-d9c80966ca08
scottish_lower_joint_player_2426,m13_joint_composite,68,5474e824-8c9d-4613-8e39-841426c3f80f,d9fef944fad8a0d61490379aaabcdfebd512b49de9ac95d58cfe3216bcae83cf,completed,36aac012-dirty,feat/pxg-rapm-unified-covariates,2026-09-03T04:37:25.363,40,38,false,ad4029f0-e1ee-4bcf-b930-5ef566558061
