idx,date,n_fixtures,n_bets,bankroll_open,bankroll_close,stake_frac,pnl_frac,exposure,k_risk,capped,model,policy,opening_drawdown,drawdown_trust_multiplier
27,2025-01-17,1,3,1629.905523671263,1662.735114046859,0.013346962186505825,0.020142020441558724,0.013346962186505825,0.2688515173580457,false,m12_joint_hybrid_synergy,P1_status_quo,-0.05774740878895823,0.75
28,2025-01-18,3,9,1662.735114046859,1578.8365152293254,0.0504581867001874,-0.0504581867001874,0.05045818670018741,0.2632016739310123,false,m12_joint_hybrid_synergy,P1_status_quo,-0.03876853783567369,1.0
29,2025-01-21,1,4,1578.8365152293254,1619.6850056283815,0.01348177023924196,0.02587252701912784,0.01348177023924196,0.2691428414453967,false,m12_joint_hybrid_synergy,P1_status_quo,-0.08727053441565535,0.75
30,2025-01-25,8,17,1619.6850056283815,1593.2251429560347,0.0928558579288389,-0.016336425033509155,0.09285585792883888,0.26531249495133186,false,m12_joint_hybrid_synergy,P1_status_quo,-0.06365591665617043,0.75
31,2025-01-28,1,4,1593.2251429560347,1624.5465398054537,0.017821231550601502,0.019659115340915325,0.017821231550601502,0.2763447434702911,false,m12_joint_hybrid_synergy,P1_status_quo,-0.07895243157928666,0.75
32,2025-02-01,9,21,1624.5465398054537,1839.2823168299024,0.11808185589973108,0.13218197925567846,0.11808185589973105,0.26963893296951386,false,m12_joint_hybrid_synergy,P1_status_quo,-0.06084545119723428,0.75
33,2025-02-04,1,1,1839.2823168299024,1841.0193955887662,0.011337730064668039,0.0009444329143868472,0.011337730064668039,0.2889992867222603,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
34,2025-02-08,8,22,1841.0193955887662,1841.3171809966477,0.09377562046989885,0.00016175028280252315,0.09377562046989883,0.2715796469990296,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
35,2025-02-11,1,3,1841.3171809966477,1846.9579278537324,0.006515850753694506,0.003063430307010737,0.006515850753694506,0.27909631279767216,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
36,2025-02-15,8,25,1846.9579278537324,1842.5962127454416,0.08818528013824185,-0.002361567116669231,0.08818528013824187,0.266356326212491,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
37,2025-02-22,9,27,1842.5962127454416,1871.5323826352694,0.135942740241755,0.01570402114672391,0.135942740241755,0.2711267420651818,false,m12_joint_hybrid_synergy,P1_status_quo,-0.0023615671166691277,1.0
38,2025-02-25,1,3,1871.5323826352694,1832.118295412938,0.021059794416612373,-0.021059794416612373,0.021059794416612373,0.2696723198301303,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
39,2025-03-01,9,27,1832.118295412938,1954.694446701498,0.13109867532005023,0.06690405941333222,0.1310986753200502,0.26659910210403126,false,m12_joint_hybrid_synergy,P1_status_quo,-0.02105979441661232,1.0
40,2025-03-04,2,6,1954.694446701498,1902.791768086858,0.04146529885744775,-0.026552834742138067,0.041465298857447756,0.2617795565255178,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
41,2025-03-08,9,28,1902.791768086858,1758.7129515072568,0.15016261236155543,-0.07571969723437669,0.15016261236155543,0.2688956423404578,false,m12_joint_hybrid_synergy,P1_status_quo,-0.02655283474213821,1.0
42,2025-03-11,2,7,1758.7129515072568,1698.5329727053931,0.04811315917707034,-0.034218192770052745,0.04811315917707033,0.2673673219502805,false,m12_joint_hybrid_synergy,P1_status_quo,-0.10026195936912574,0.5
43,2025-03-15,9,25,1698.5329727053931,1818.4589282643767,0.11441681087851423,0.0706056093618057,0.11441681087851423,0.2567807043086084,false,m12_joint_hybrid_synergy,P1_status_quo,-0.13104936908598241,0.5
44,2025-03-22,9,33,1818.4589282643767,1797.5377693525695,0.14531051971540557,-0.011504883935858311,0.14531051971540554,0.26609045986004154,false,m12_joint_hybrid_synergy,P1_status_quo,-0.06969658028497272,0.75
45,2025-03-29,9,19,1797.5377693525695,1920.9136202052216,0.10138678069056267,0.06863602698990252,0.10138678069056266,0.27109453270722045,false,m12_joint_hybrid_synergy,P1_status_quo,-0.0803996131539263,0.75
46,2025-04-05,9,26,1920.9136202052216,1961.6952423393072,0.10731137268571497,0.021230325874689118,0.10731137268571497,0.2624469466287048,false,m12_joint_hybrid_synergy,P1_status_quo,-0.017281896182434475,1.0
47,2025-04-12,9,30,1961.6952423393072,1918.4387496429565,0.14152234714870304,-0.02205056716392284,0.14152234714870304,0.2665328750127719,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
48,2025-04-19,9,22,1918.4387496429565,1958.6291281923634,0.11363588989599131,0.02094952395894135,0.11363588989599127,0.271044242932968,false,m12_joint_hybrid_synergy,P1_status_quo,-0.02205056716392284,1.0
49,2025-04-26,8,18,1958.6291281923634,1886.9865785246395,0.06974915224461398,-0.03657790473781183,0.06974915224461398,0.2671432967899613,false,m12_joint_hybrid_synergy,P1_status_quo,-0.0015629920900901428,1.0
50,2025-05-03,9,30,1886.9865785246395,1953.087360197651,0.19999999999999998,0.035029810187994434,0.19999999999999998,0.276014668533354,true,m12_joint_hybrid_synergy,P1_status_quo,-0.03808372585212483,1.0
51,2025-08-02,9,28,1953.087360197651,1806.688556356137,0.1343769868296223,-0.07495763211876928,0.1343769868296223,0.26976924971997623,false,m12_joint_hybrid_synergy,P1_status_quo,-0.004387981351981818,1.0
52,2025-08-09,9,29,1806.688556356137,1858.5713914713483,0.2,0.028717088472543725,0.20000000000000007,0.29143514837885687,true,m12_joint_hybrid_synergy,P1_status_quo,-0.07901670077882528,0.75
53,2025-08-16,6,21,1858.5713914713483,2015.4919594704227,0.11601748487963738,0.08443074542046373,0.11601748487963737,0.2626086824148836,false,m12_joint_hybrid_synergy,P1_status_quo,-0.0525687418933557,0.75
54,2025-08-23,9,31,2015.4919594704227,1892.8946753522978,0.16264729794240412,-0.060827473680588474,0.16264729794240412,0.2888087328952062,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
55,2025-08-30,9,29,1892.8946753522978,1732.0662278324983,0.1923699157317211,-0.08496428756125424,0.19236991573172113,0.27908259312853806,false,m12_joint_hybrid_synergy,P1_status_quo,-0.060827473680588495,0.75
56,2025-09-13,8,25,1732.0662278324983,1636.1062971820545,0.1731956744472109,-0.05540199855436692,0.17319567444721093,0.285727545939265,false,m12_joint_hybrid_synergy,P1_status_quo,-0.14062359827642057,0.5
57,2025-09-20,9,24,1636.1062971820545,1592.777923429161,0.1377924253007981,-0.02648261535788974,0.1377924253007981,0.2737626234680538,false,m12_joint_hybrid_synergy,P1_status_quo,-0.1882347684423673,0.25
58,2025-09-27,9,31,1592.777923429161,1823.5864571858306,0.18186536242589801,0.14490942545194976,0.181865362425898,0.2668373906990405,false,m12_joint_hybrid_synergy,P1_status_quo,-0.20973243483061632,0.25
59,2025-10-04,9,33,1823.5864571858306,1859.0680261980222,0.1901201605983449,0.01945702594597417,0.19012016059834488,0.28354795840105773,false,m12_joint_hybrid_synergy,P1_status_quo,-0.0952152160086096,0.75
60,2025-10-07,1,4,1859.0680261980222,1837.3115414958568,0.019248548393398787,-0.011702898654364819,0.019248548393398787,0.2651409718357545,false,m12_joint_hybrid_synergy,P1_status_quo,-0.07761079499096657,0.75
61,2025-10-18,9,30,1837.3115414958568,2000.1422661822019,0.18260604494280816,0.08862444991434365,0.18260604494280816,0.271944355486141,false,m12_joint_hybrid_synergy,P1_status_quo,-0.08840542237706739,0.75
62,2025-10-24,1,6,2000.1422661822019,2095.5493416262066,0.030659649369632787,0.0477001446632665,0.030659649369632787,0.2689610247762919,false,m12_joint_hybrid_synergy,P1_status_quo,-0.007615854390336518,1.0
63,2025-10-25,4,11,2095.5493416262066,2156.7065967481317,0.05937836628328815,0.02918435462582109,0.05937836628328816,0.2732654068588367,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
64,2025-11-01,9,27,2156.7065967481317,2198.7955922823935,0.11598976747487122,0.019515401676669274,0.11598976747487122,0.27363461621078583,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
65,2025-11-08,9,24,2198.7955922823935,2158.911047166809,0.11705008690312323,-0.018139269177897287,0.11705008690312327,0.2630682058056447,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
66,2025-11-15,8,27,2158.911047166809,2225.3091802961153,0.12711903697088034,0.030755381615394588,0.12711903697088034,0.26793627701639006,false,m12_joint_hybrid_synergy,P1_status_quo,-0.01813926917789732,1.0
67,2025-11-22,9,35,2225.3091802961153,2336.8289979982414,0.19999999999999998,0.05011430262795521,0.2,0.26925805837306305,true,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
68,2025-11-25,1,5,2336.8289979982414,2343.6818767482428,0.026008038864999035,0.0029325546524248056,0.026008038864999035,0.2660176995575875,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
69,2025-12-06,8,22,2343.6818767482428,2131.200175963877,0.15147098985053303,-0.09066149416113363,0.15147098985053306,0.2711369532742675,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
70,2025-12-13,9,34,2131.200175963877,2222.865498281522,0.1718142114033275,0.04301112741612234,0.1718142114033276,0.27265314432138915,false,m12_joint_hybrid_synergy,P1_status_quo,-0.09066149416113378,0.75
71,2025-12-20,9,25,2222.865498281522,2454.2559273648503,0.12331867476659102,0.10409556010573486,0.123318674766591,0.26695811902109334,false,m12_joint_hybrid_synergy,P1_status_quo,-0.05154981982211182,0.75
72,2025-12-27,9,34,2454.2559273648503,2607.7767096122893,0.12875244037833475,0.06255288233622609,0.12875244037833475,0.27013540088327403,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
73,2026-01-03,4,11,2607.7767096122893,2592.8239527710734,0.053283610918258166,-0.005733909957129411,0.053283610918258166,0.2614257796849264,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
74,2026-01-10,5,18,2592.8239527710734,2546.572552683849,0.09112596550524389,-0.017838233883096057,0.09112596550524386,0.2696243950336046,false,m12_joint_hybrid_synergy,P1_status_quo,-0.005733909957129302,1.0
75,2026-01-17,2,10,2546.572552683849,2671.8906173297005,0.07114527332973004,0.049210482738368255,0.07114527332973004,0.2686172014549516,false,m12_joint_hybrid_synergy,P1_status_quo,-0.023469861013345583,1.0
76,2026-01-20,2,9,2671.8906173297005,2586.5086419255163,0.05440808312887754,-0.031955640268506016,0.05440808312887754,0.26038270307613615,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
77,2026-01-24,8,32,2586.5086419255163,2541.82806279015,0.1827900917955412,-0.01727447510173536,0.1827900917955412,0.275676310141855,false,m12_joint_hybrid_synergy,P1_status_quo,-0.03195564026850595,1.0
78,2026-01-31,9,28,2541.82806279015,2587.9657333220416,0.15811086947500447,0.01815137349661904,0.1581108694750044,0.26654264363207497,false,m12_joint_hybrid_synergy,P1_status_quo,-0.04867809845806326,1.0
79,2026-02-07,5,18,2587.9657333220416,2533.7140802365057,0.09897918060987773,-0.0209630492347732,0.09897918060987775,0.2622028744709389,false,m12_joint_hybrid_synergy,P1_status_quo,-0.031410299307661704,1.0
80,2026-02-10,3,12,2533.7140802365057,2532.02193275121,0.055774918600129605,-0.0006678525799319063,0.055774918600129605,0.2731274651187327,false,m12_joint_hybrid_synergy,P1_status_quo,-0.0517148928915695,0.75
81,2026-02-14,6,25,2532.02193275121,2606.722352786186,0.15568119160734326,0.02950228000347899,0.15568119160734326,0.2919107244764626,false,m12_joint_hybrid_synergy,P1_status_quo,-0.05234820754686276,0.75
82,2026-02-17,4,15,2606.722352786186,2589.9187107582834,0.06809934722734008,-0.006446272273662894,0.06809934722734007,0.28269323259202667,false,m12_joint_hybrid_synergy,P1_status_quo,-0.024390319020111684,1.0
83,2026-02-21,9,28,2589.9187107582834,2665.344309543328,0.11497933448828307,0.02912276685431619,0.11497933448828307,0.2586603991863502,false,m12_joint_hybrid_synergy,P1_status_quo,-0.030679364656529318,1.0
84,2026-02-24,3,6,2665.344309543328,2722.0522892006516,0.01999534311189311,0.02127604281903817,0.01999534311189311,0.2688015697040175,false,m12_joint_hybrid_synergy,P1_status_quo,-0.002450065786343769,1.0
85,2026-02-28,9,29,2722.0522892006516,2729.4122479283196,0.19065011107800642,0.0027038270928402192,0.19065011107800642,0.2643731668129745,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
86,2026-03-03,2,8,2729.4122479283196,2629.0659302040976,0.04554910755123842,-0.03676480817450237,0.04554910755123842,0.2728192722685407,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
87,2026-03-07,9,22,2629.0659302040976,2478.833738229857,0.1331710497460661,-0.057142801269566536,0.1331710497460661,0.26355211847487425,false,m12_joint_hybrid_synergy,P1_status_quo,-0.03676480817450234,1.0
88,2026-03-10,3,9,2478.833738229857,2429.8466317597445,0.05483709636063578,-0.019762159000261997,0.05483709636063577,0.269127741619283,false,m12_joint_hybrid_synergy,P1_status_quo,-0.09180676531683951,0.75
89,2026-03-14,9,25,2429.8466317597445,2400.7301984199357,0.14495063673337688,-0.011982827623454524,0.14495063673337683,0.25937046860168106,false,m12_joint_hybrid_synergy,P1_status_quo,-0.1097546244236105,0.5
90,2026-03-17,1,3,2400.7301984199357,2304.4308868954627,0.04011250893076351,-0.04011250893076351,0.04011250893076351,0.25391030163692174,false,m12_joint_hybrid_synergy,P1_status_quo,-0.12042228130171995,0.5
91,2026-03-21,9,27,2304.4308868954627,2172.6575727012455,0.1619015309080351,-0.05718258462146489,0.1619015309080351,0.26227783290815576,false,m12_joint_hybrid_synergy,P1_status_quo,-0.1557043503983052,0.25
92,2026-03-24,2,6,2172.6575727012455,2160.4967097111626,0.01558522829956505,-0.0055972294681317985,0.01558522829956505,0.27149054867893196,false,m12_joint_hybrid_synergy,P1_status_quo,-0.2039833578271888,0.25
93,2026-03-27,1,7,2160.4967097111626,2205.1933179748753,0.041397343022606656,0.020688116794071974,0.041397343022606656,0.26278974789035076,false,m12_joint_hybrid_synergy,P1_status_quo,-0.2084388456338817,0.25
94,2026-03-28,7,23,2205.1933179748753,2304.506744924331,0.09179657308660216,0.04503615449037352,0.09179657308660213,0.2664866667626348,false,m12_joint_hybrid_synergy,P1_status_quo,-0.19206293602270497,0.25
95,2026-04-04,8,25,2304.506744924331,2194.152568337151,0.12384271718578294,-0.047886245865947155,0.12384271718578296,0.2675431345556542,false,m12_joint_hybrid_synergy,P1_status_quo,-0.1556765575909248,0.25
96,2026-04-07,1,5,2194.152568337151,2186.353637955974,0.013604552158728436,-0.003554415720091549,0.013604552158728436,0.27197108492199973,false,m12_joint_hybrid_synergy,P1_status_quo,-0.19610803754450867,0.25
97,2026-04-11,9,28,2186.353637955974,2279.242484062908,0.19363822850924672,0.0424857372084489,0.1936382285092467,0.2667349784656756,false,m12_joint_hybrid_synergy,P1_status_quo,-0.19896540377311567,0.25
98,2026-04-14,1,6,2279.242484062908,2220.87979860097,0.06251909677409678,-0.02560617655647697,0.06251909677409678,0.2664913792848046,false,m12_joint_hybrid_synergy,P1_status_quo,-0.16493285842294436,0.25
99,2026-04-18,9,28,2220.87979860097,2286.2292200154648,0.17684711401077308,0.029425015012366357,0.1768471140107731,0.24724322032776067,false,m12_joint_hybrid_synergy,P1_status_quo,-0.18631573508667898,0.25
100,2026-04-25,9,38,2286.2292200154648,2239.370670076544,0.19999999999999996,-0.020495998182808593,0.19999999999999998,0.26084479766659496,true,m12_joint_hybrid_synergy,P1_status_quo,-0.1623730633762781,0.25
1,2024-08-03,9,23,1000.0,1012.3476830898875,0.14705419853952215,0.012347683089887512,0.1470541985395221,0.2619267334956533,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
2,2024-08-10,9,18,1012.3476830898875,969.5974922979884,0.10687768150213528,-0.0422287634041073,0.10687768150213527,0.2523711794949741,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
3,2024-08-17,8,15,969.5974922979884,1005.161708428163,0.0973470134729992,0.03667936067562003,0.0973470134729992,0.27327431688061626,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.042228763404107306,1.0
4,2024-08-24,8,18,1005.161708428163,1133.7793949933052,0.10026122407063637,0.1279572087622301,0.10026122407063637,0.26835735045440623,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.007098326772271957,1.0
5,2024-08-31,9,17,1133.7793949933052,1129.084518970693,0.07431111412525399,-0.0041409078726821,0.07431111412525399,0.26451154259563414,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
6,2024-09-14,8,19,1129.084518970693,1144.3410036627934,0.1056981649149346,0.013512260982914474,0.10569816491493458,0.2540136040175528,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.004140907872681954,1.0
7,2024-09-21,9,18,1144.3410036627934,1124.2991374168712,0.06751535568907675,-0.017513893307827436,0.06751535568907677,0.2744865383368691,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
8,2024-09-28,9,15,1124.2991374168712,1126.4018057005658,0.05651686314604978,0.0018702035905904246,0.05651686314604977,0.26802953123933,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.017513893307827266,1.0
9,2024-10-05,9,13,1126.4018057005658,1138.1058713635036,0.062138163709924095,0.010390666637522413,0.062138163709924095,0.2748113252071439,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.015676444263386546,1.0
10,2024-10-19,9,20,1138.1058713635036,1142.6107282514488,0.09237998742129803,0.003958205472174789,0.092379987421298,0.26662450426128814,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.005448666332266705,1.0
11,2024-10-26,5,7,1142.6107282514488,1177.1621785070163,0.04425201537851882,0.030239038896862178,0.04425201537851882,0.2883283304061927,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.0015120278009844723,1.0
12,2024-11-02,9,16,1177.1621785070163,1128.395771000227,0.10147244258676937,-0.041427093392211733,0.10147244258676937,0.26368795018137653,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
13,2024-11-09,9,15,1128.395771000227,1258.7221128786186,0.08272015489638011,0.11549701374976656,0.08272015489638014,0.26241071966168217,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.04142709339221162,1.0
14,2024-11-16,9,15,1258.7221128786186,1339.9897679159446,0.07443399589682062,0.0645636190910097,0.07443399589682062,0.26159159440764823,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
15,2024-11-23,1,2,1339.9897679159446,1323.9391270217434,0.011978181683554745,-0.011978181683554745,0.011978181683554745,0.24752272525032173,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
16,2024-11-30,1,3,1323.9391270217434,1322.4654115968724,0.001113129293328019,-0.001113129293328019,0.001113129293328019,0.19025623750829665,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.011978181683554578,1.0
17,2024-12-03,3,3,1322.4654115968724,1358.1149911046402,0.01980438074796562,0.02695690881224729,0.019804380747965623,0.2666489201607607,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.013077977711969724,1.0
18,2024-12-07,8,13,1358.1149911046402,1416.6406949930151,0.04514480210842241,0.04309333471149778,0.04514480210842241,0.26135687009705644,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
19,2024-12-14,9,17,1416.6406949930151,1550.8418805244023,0.0865957389620615,0.09473198532677267,0.0865957389620615,0.28747644555716817,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
20,2024-12-17,3,5,1550.8418805244023,1551.0466450788408,0.034986920403618255,0.00013203444981062934,0.034986920403618255,0.31304075427108585,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
21,2024-12-21,9,17,1551.0466450788408,1555.1021632516317,0.0711320949420243,0.0026146977498442848,0.07113209494202428,0.26660399347832364,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
22,2024-12-28,8,21,1555.1021632516317,1679.6971171550686,0.10010269289431553,0.08012010840684296,0.10010269289431552,0.2819771855663804,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
23,2025-01-04,8,13,1679.6971171550686,1669.0681583850783,0.05123329393938982,-0.006327902013663454,0.051233293939389815,0.27470732735611747,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
24,2025-01-08,1,3,1669.0681583850783,1664.6505414820158,0.011401077827915163,-0.0026467564436293894,0.011401077827915163,0.3746994077661001,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.006327902013663511,1.0
25,2025-01-11,5,11,1664.6505414820158,1606.2484229464892,0.04843099347986928,-0.035083711013322985,0.04843099347986928,0.268366295042408,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.008957910041863637,1.0
26,2025-01-14,1,2,1606.2484229464892,1578.6914541249928,0.017156106382938123,-0.017156106382938123,0.017156106382938123,0.25865480660329093,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.04372734432799452,1.0
27,2025-01-17,1,2,1578.6914541249928,1616.5598076087686,0.008497755233669742,0.023987178358905327,0.008497755233669742,0.2607909527929396,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.060133259739798106,0.75
28,2025-01-18,3,6,1616.5598076087686,1548.953326528073,0.04182120621983041,-0.04182120621983041,0.041821206219830404,0.2617495452769882,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.03758850860757368,1.0
29,2025-01-21,1,2,1548.953326528073,1585.8107636894351,0.010122522867278393,0.02379505988342264,0.010122522867278393,0.2532821926327182,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.0778377180574309,0.75
30,2025-01-25,8,15,1585.8107636894351,1563.2907087280664,0.0899923512498278,-0.014200972447037242,0.08999235124982778,0.262788144724961,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.05589481133637375,0.75
31,2025-01-28,1,2,1563.2907087280664,1568.7385098414534,0.010238218615353956,0.0034848292022533244,0.010238218615353956,0.3021684998637898,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.06930202310769074,0.75
32,2025-02-01,9,16,1568.7385098414534,1743.1950674145394,0.08998715616491455,0.11120818191090216,0.08998715616491457,0.26974011336671666,false,m12_joint_hybrid_synergy,P2_hard_pruning,-0.0660586996193383,0.75
33,2025-02-04,1,0,1743.1950674145394,1743.1950674145394,0.0,0.0,0.0,1.0,false,m12_joint_hybrid_synergy,P2_hard_pruning,0.0,1.0
