model,market_key,selection,source,bin,lower,upper,n,mean_predicted,realized_win_rate,calibration_gap
m00_joint_baseline,1X2,draw,market,3,0.2,0.3,553,0.2604806907328671,0.2603978300180832,-8.286071478391666e-5
m00_joint_baseline,1X2,draw,market,4,0.3,0.4,19,0.3083394003686288,0.21052631578947367,-0.09781308457915511
m00_joint_baseline,1X2,draw,market,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,market,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,market,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,market,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,1X2,draw,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,1X2,away,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,1X2,away,model,2,0.1,0.2,5,0.18858675515068252,0.4,0.2114132448493175
m00_joint_baseline,1X2,away,model,3,0.2,0.3,153,0.2702477558183217,0.23529411764705882,-0.0349536381712629
m00_joint_baseline,1X2,away,model,4,0.3,0.4,364,0.3451408949668853,0.3159340659340659,-0.029206829032819404
m00_joint_baseline,1X2,away,model,5,0.4,0.5,69,0.4243625143550831,0.4057971014492754,-0.01856541290580771
m00_joint_baseline,1X2,away,model,6,0.5,0.6,4,0.5200382249993154,0.5,-0.0200382249993154
m00_joint_baseline,1X2,away,model,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,1X2,away,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,1X2,away,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,1X2,away,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,1X2,away,market,1,0.0,0.1,13,0.07403761349333292,0.0,-0.07403761349333292
m00_joint_baseline,1X2,away,market,2,0.1,0.2,69,0.1644789145081753,0.2898550724637681,0.12537615795559282
m00_joint_baseline,1X2,away,market,3,0.2,0.3,198,0.2506679700425934,0.23737373737373738,-0.013294232668856015
m00_joint_baseline,1X2,away,market,4,0.3,0.4,180,0.3451257335647796,0.3,-0.04512573356477961
m00_joint_baseline,1X2,away,market,5,0.4,0.5,80,0.44161856809580924,0.4375,-0.0041185680958092385
m00_joint_baseline,1X2,away,market,6,0.5,0.6,42,0.5380183112177629,0.4523809523809524,-0.0856373588368105
m00_joint_baseline,1X2,away,market,7,0.6,0.7,11,0.645649278637448,0.5454545454545454,-0.10019473318290262
m00_joint_baseline,1X2,away,market,8,0.7,0.8,2,0.7249349569132821,1.0,0.27506504308671786
m00_joint_baseline,1X2,away,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,1X2,away,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,model,1,0.0,0.1,141,0.06861194430418403,0.03546099290780142,-0.03315095139638261
m00_joint_baseline,OU0.5,ALL,model,2,0.1,0.2,8,0.10519065993122108,0.0,-0.10519065993122108
m00_joint_baseline,OU0.5,ALL,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,model,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,model,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,model,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,model,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,model,9,0.8,0.9,10,0.8946840386391057,1.0,0.10531596136089427
m00_joint_baseline,OU0.5,ALL,model,10,0.9,1.0,374,0.9326117849605567,0.9358288770053476,0.0032170920447908147
m00_joint_baseline,OU0.5,ALL,market,1,0.0,0.1,147,0.06740041896494867,0.034013605442176874,-0.03338681352277179
m00_joint_baseline,OU0.5,ALL,market,2,0.1,0.2,2,0.10244658799633993,0.0,-0.10244658799633993
m00_joint_baseline,OU0.5,ALL,market,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,market,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,market,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,market,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,market,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,market,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,ALL,market,9,0.8,0.9,2,0.8975534120036601,1.0,0.10244658799633988
m00_joint_baseline,OU0.5,ALL,market,10,0.9,1.0,382,0.9740631895606092,0.93717277486911,-0.03689041469149923
m00_joint_baseline,OU0.5,over_05,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,model,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,model,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,model,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,model,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,model,9,0.8,0.9,10,0.8946840386391057,1.0,0.10531596136089427
m00_joint_baseline,OU0.5,over_05,model,10,0.9,1.0,374,0.9326117849605567,0.9358288770053476,0.0032170920447908147
m00_joint_baseline,OU0.5,over_05,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,market,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,market,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,market,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,market,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,market,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,market,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,over_05,market,8,0.7,0.8,0,NaN,NaN,NaN
