model,market_key,selection,source,bin,lower,upper,n,mean_predicted,realized_win_rate,calibration_gap
m00_joint_baseline,OU3.5,ALL,model,9,0.8,0.9,2,0.8173761575716961,0.5,-0.3173761575716961
m00_joint_baseline,OU3.5,ALL,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,ALL,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,ALL,market,2,0.1,0.2,2,0.1734420642648491,0.5,0.3265579357351509
m00_joint_baseline,OU3.5,ALL,market,3,0.2,0.3,114,0.2689286120479383,0.2631578947368421,-0.005770717311096185
m00_joint_baseline,OU3.5,ALL,market,4,0.3,0.4,128,0.33795599353061917,0.3203125,-0.01764349353061917
m00_joint_baseline,OU3.5,ALL,market,5,0.4,0.5,20,0.432505314193414,0.45,0.01749468580658603
m00_joint_baseline,OU3.5,ALL,market,6,0.5,0.6,20,0.5674946858065859,0.55,-0.017494685806585863
m00_joint_baseline,OU3.5,ALL,market,7,0.6,0.7,128,0.6620440064693806,0.6796875,0.017643493530619447
m00_joint_baseline,OU3.5,ALL,market,8,0.7,0.8,114,0.7310713879520621,0.7368421052631579,0.0057707173110957966
m00_joint_baseline,OU3.5,ALL,market,9,0.8,0.9,2,0.8265579357351509,0.5,-0.3265579357351509
m00_joint_baseline,OU3.5,ALL,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,model,2,0.1,0.2,2,0.18262383112868963,0.5,0.31737616887131037
m00_joint_baseline,OU3.5,over_35,model,3,0.2,0.3,135,0.2656657738962396,0.24444444444444444,-0.02122132945179514
m00_joint_baseline,OU3.5,over_35,model,4,0.3,0.4,123,0.33918226473097424,0.37398373983739835,0.03480147510642412
m00_joint_baseline,OU3.5,over_35,model,5,0.4,0.5,4,0.41702280323182694,0.25,-0.16702280323182694
m00_joint_baseline,OU3.5,over_35,model,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,model,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,market,2,0.1,0.2,2,0.1734420642648491,0.5,0.3265579357351509
m00_joint_baseline,OU3.5,over_35,market,3,0.2,0.3,114,0.2689286120479383,0.2631578947368421,-0.005770717311096185
m00_joint_baseline,OU3.5,over_35,market,4,0.3,0.4,128,0.33795599353061917,0.3203125,-0.01764349353061917
m00_joint_baseline,OU3.5,over_35,market,5,0.4,0.5,20,0.432505314193414,0.45,0.01749468580658603
m00_joint_baseline,OU3.5,over_35,market,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,market,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,market,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,over_35,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,model,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,model,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,model,6,0.5,0.6,4,0.5829751003655124,0.75,0.16702489963448763
m00_joint_baseline,OU3.5,under_35,model,7,0.6,0.7,123,0.6608173425732404,0.6260162601626016,-0.03480108241063884
m00_joint_baseline,OU3.5,under_35,model,8,0.7,0.8,135,0.7343341127384542,0.7555555555555555,0.021221442817101366
m00_joint_baseline,OU3.5,under_35,model,9,0.8,0.9,2,0.8173761575716961,0.5,-0.3173761575716961
m00_joint_baseline,OU3.5,under_35,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,market,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,market,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,market,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,market,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,under_35,market,6,0.5,0.6,20,0.5674946858065859,0.55,-0.017494685806585863
m00_joint_baseline,OU3.5,under_35,market,7,0.6,0.7,128,0.6620440064693806,0.6796875,0.017643493530619447
m00_joint_baseline,OU3.5,under_35,market,8,0.7,0.8,114,0.7310713879520621,0.7368421052631579,0.0057707173110957966
m00_joint_baseline,OU3.5,under_35,market,9,0.8,0.9,2,0.8265579357351509,0.5,-0.3265579357351509
m00_joint_baseline,OU3.5,under_35,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,model,4,0.3,0.4,25,0.38614914162813563,0.4,0.013850858371864394
m00_joint_baseline,BTTS,ALL,model,5,0.4,0.5,153,0.45351240100119483,0.45098039215686275,-0.0025320088443320787
m00_joint_baseline,BTTS,ALL,model,6,0.5,0.6,153,0.5464874100642723,0.5490196078431373,0.002532197778865042
m00_joint_baseline,BTTS,ALL,model,7,0.6,0.7,25,0.613850412762221,0.6,-0.013850412762220987
m00_joint_baseline,BTTS,ALL,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,market,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,market,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,market,4,0.3,0.4,35,0.3840704967440444,0.45714285714285713,0.07307236039881271
m00_joint_baseline,BTTS,ALL,market,5,0.4,0.5,142,0.4492274153643716,0.4295774647887324,-0.01964995057563923
m00_joint_baseline,BTTS,ALL,market,6,0.5,0.6,144,0.5500674098490225,0.5694444444444444,0.01937703459542195
m00_joint_baseline,BTTS,ALL,market,7,0.6,0.7,35,0.6159295032559556,0.5428571428571428,-0.07307236039881282
m00_joint_baseline,BTTS,ALL,market,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,ALL,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,model,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,model,5,0.4,0.5,23,0.47590422300738944,0.4782608695652174,0.0023566465578279683
m00_joint_baseline,BTTS,btts_yes,model,6,0.5,0.6,130,0.5504490257908006,0.5538461538461539,0.0033971280553533045
m00_joint_baseline,BTTS,btts_yes,model,7,0.6,0.7,25,0.613850412762221,0.6,-0.013850412762220987
m00_joint_baseline,BTTS,btts_yes,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,market,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,market,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,market,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,market,5,0.4,0.5,19,0.4736309497898031,0.42105263157894735,-0.052578318210855735
m00_joint_baseline,BTTS,btts_yes,market,6,0.5,0.6,124,0.5541023795505282,0.5725806451612904,0.018478265610762157
m00_joint_baseline,BTTS,btts_yes,market,7,0.6,0.7,35,0.6159295032559556,0.5428571428571428,-0.07307236039881282
m00_joint_baseline,BTTS,btts_yes,market,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_yes,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,model,4,0.3,0.4,25,0.38614914162813563,0.4,0.013850858371864394
m00_joint_baseline,BTTS,btts_no,model,5,0.4,0.5,130,0.44955077095394497,0.4461538461538462,-0.0033969248000987884
m00_joint_baseline,BTTS,btts_no,model,6,0.5,0.6,23,0.5240956690012856,0.5217391304347826,-0.0023565385665029748
m00_joint_baseline,BTTS,btts_no,model,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,market,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,market,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,market,4,0.3,0.4,35,0.3840704967440444,0.45714285714285713,0.07307236039881271
m00_joint_baseline,BTTS,btts_no,market,5,0.4,0.5,123,0.44545776370515855,0.43089430894308944,-0.014563454762069106
m00_joint_baseline,BTTS,btts_no,market,6,0.5,0.6,20,0.5250505976996871,0.55,0.02494940230031295
m00_joint_baseline,BTTS,btts_no,market,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,market,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,BTTS,btts_no,market,10,0.9,1.0,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,ALL,model,1,0.0,0.1,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,ALL,model,2,0.1,0.2,4,0.19044017451574363,0.25,0.05955982548425637
m05_joint_production_wealth,1X2,ALL,model,3,0.2,0.3,773,0.2569428188282617,0.2522639068564036,-0.004678911971858102
m05_joint_production_wealth,1X2,ALL,model,4,0.3,0.4,591,0.3520021206148139,0.3248730964467005,-0.027129024168113414
m05_joint_production_wealth,1X2,ALL,model,5,0.4,0.5,369,0.4394685814254673,0.4878048780487805,0.04833629662331318
m05_joint_production_wealth,1X2,ALL,model,6,0.5,0.6,47,0.528056876570549,0.5531914893617021,0.025134612791153144
m05_joint_production_wealth,1X2,ALL,model,7,0.6,0.7,1,0.6054723643059803,1.0,0.3945276356940197
m05_joint_production_wealth,1X2,ALL,model,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,ALL,model,9,0.8,0.9,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,ALL,model,10,0.9,1.0,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,ALL,market,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667,-0.008370140099486834
m05_joint_production_wealth,1X2,ALL,market,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858,0.07680459323011377
m05_joint_production_wealth,1X2,ALL,market,3,0.2,0.3,840,0.25776042573994257,0.2571428571428571,-0.0006175685970854494
m05_joint_production_wealth,1X2,ALL,market,4,0.3,0.4,347,0.3475734912735116,0.3400576368876081,-0.00751585438590352
m05_joint_production_wealth,1X2,ALL,market,5,0.4,0.5,258,0.4461330820988877,0.47674418604651164,0.030611103947623952
m05_joint_production_wealth,1X2,ALL,market,6,0.5,0.6,149,0.5386387091268434,0.48322147651006714,-0.05541723261677628
m05_joint_production_wealth,1X2,ALL,market,7,0.6,0.7,46,0.6361909158794056,0.5434782608695652,-0.09271265500984038
m05_joint_production_wealth,1X2,ALL,market,8,0.7,0.8,15,0.743394863763088,0.7333333333333333,-0.010061530429754773
m05_joint_production_wealth,1X2,ALL,market,9,0.8,0.9,2,0.8290213877706651,0.5,-0.32902138777066514
m05_joint_production_wealth,1X2,ALL,market,10,0.9,1.0,1,0.9165525429670892,1.0,0.08344745703291079
m05_joint_production_wealth,1X2,home,model,1,0.0,0.1,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,home,model,2,0.1,0.2,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,home,model,3,0.2,0.3,17,0.2811942025235168,0.23529411764705882,-0.04590008487645797
m05_joint_production_wealth,1X2,home,model,4,0.3,0.4,239,0.3606589333392863,0.3389121338912134,-0.021746799448072895
m05_joint_production_wealth,1X2,home,model,5,0.4,0.5,292,0.4423164659131939,0.5068493150684932,0.06453284915529928
m05_joint_production_wealth,1X2,home,model,6,0.5,0.6,46,0.5279790596798704,0.5434782608695652,0.015499201189694833
m05_joint_production_wealth,1X2,home,model,7,0.6,0.7,1,0.6054723643059803,1.0,0.3945276356940197
m05_joint_production_wealth,1X2,home,model,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,home,model,9,0.8,0.9,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,home,model,10,0.9,1.0,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,home,market,1,0.0,0.1,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,home,market,2,0.1,0.2,22,0.15778162061472642,0.13636363636363635,-0.021417984251090066
m05_joint_production_wealth,1X2,home,market,3,0.2,0.3,89,0.25663682671733473,0.2808988764044944,0.02426204968715967
m05_joint_production_wealth,1X2,home,market,4,0.3,0.4,148,0.35558730285975815,0.40540540540540543,0.04981810254564728
m05_joint_production_wealth,1X2,home,market,5,0.4,0.5,178,0.44816207715645123,0.4943820224719101,0.046219945315458866
m05_joint_production_wealth,1X2,home,market,6,0.5,0.6,107,0.5388822298014356,0.4953271028037383,-0.04355512699769731
m05_joint_production_wealth,1X2,home,market,7,0.6,0.7,35,0.6332182875840212,0.5428571428571428,-0.0903611447268784
m05_joint_production_wealth,1X2,home,market,8,0.7,0.8,13,0.7462348494322888,0.6923076923076923,-0.0539271571245965
m05_joint_production_wealth,1X2,home,market,9,0.8,0.9,2,0.8290213877706651,0.5,-0.32902138777066514
m05_joint_production_wealth,1X2,home,market,10,0.9,1.0,1,0.9165525429670892,1.0,0.08344745703291079
m05_joint_production_wealth,1X2,draw,model,1,0.0,0.1,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,model,2,0.1,0.2,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,model,3,0.2,0.3,595,0.2532244632165856,0.2571428571428571,0.003918393926271524
m05_joint_production_wealth,1X2,draw,model,4,0.3,0.4,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,model,5,0.4,0.5,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,model,6,0.5,0.6,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,model,7,0.6,0.7,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,model,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,model,9,0.8,0.9,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,model,10,0.9,1.0,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,market,1,0.0,0.1,2,0.08153156303948728,0.5,0.4184684369605127
m05_joint_production_wealth,1X2,draw,market,2,0.1,0.2,21,0.1703640382685322,0.19047619047619047,0.020112152207658274
m05_joint_production_wealth,1X2,draw,market,3,0.2,0.3,553,0.2604806907328671,0.2603978300180832,-8.286071478391666e-5
m05_joint_production_wealth,1X2,draw,market,4,0.3,0.4,19,0.3083394003686288,0.21052631578947367,-0.09781308457915511
m05_joint_production_wealth,1X2,draw,market,5,0.4,0.5,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,market,6,0.5,0.6,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,market,7,0.6,0.7,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,market,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,market,9,0.8,0.9,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,draw,market,10,0.9,1.0,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,away,model,1,0.0,0.1,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,away,model,2,0.1,0.2,4,0.19044017451574363,0.25,0.05955982548425637
m05_joint_production_wealth,1X2,away,model,3,0.2,0.3,161,0.26812386271725525,0.2360248447204969,-0.03209901799675835
m05_joint_production_wealth,1X2,away,model,4,0.3,0.4,352,0.34612434152064075,0.3153409090909091,-0.03078343242973164
m05_joint_production_wealth,1X2,away,model,5,0.4,0.5,77,0.4286688116798013,0.4155844155844156,-0.013084396095385697
m05_joint_production_wealth,1X2,away,model,6,0.5,0.6,1,0.5316364535417648,1.0,0.4683635464582352
m05_joint_production_wealth,1X2,away,model,7,0.6,0.7,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,away,model,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,away,model,9,0.8,0.9,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,away,model,10,0.9,1.0,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,away,market,1,0.0,0.1,13,0.07403761349333292,0.0,-0.07403761349333292
m05_joint_production_wealth,1X2,away,market,2,0.1,0.2,69,0.1644789145081753,0.2898550724637681,0.12537615795559282
m05_joint_production_wealth,1X2,away,market,3,0.2,0.3,198,0.2506679700425934,0.23737373737373738,-0.013294232668856015
m05_joint_production_wealth,1X2,away,market,4,0.3,0.4,180,0.3451257335647796,0.3,-0.04512573356477961
m05_joint_production_wealth,1X2,away,market,5,0.4,0.5,80,0.44161856809580924,0.4375,-0.0041185680958092385
m05_joint_production_wealth,1X2,away,market,6,0.5,0.6,42,0.5380183112177629,0.4523809523809524,-0.0856373588368105
m05_joint_production_wealth,1X2,away,market,7,0.6,0.7,11,0.645649278637448,0.5454545454545454,-0.10019473318290262
m05_joint_production_wealth,1X2,away,market,8,0.7,0.8,2,0.7249349569132821,1.0,0.27506504308671786
m05_joint_production_wealth,1X2,away,market,9,0.8,0.9,0,NaN,NaN,NaN
m05_joint_production_wealth,1X2,away,market,10,0.9,1.0,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,model,1,0.0,0.1,143,0.06886221761319354,0.03496503496503497,-0.03389718264815857
m05_joint_production_wealth,OU0.5,ALL,model,2,0.1,0.2,6,0.10424322130925041,0.0,-0.10424322130925041
m05_joint_production_wealth,OU0.5,ALL,model,3,0.2,0.3,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,model,4,0.3,0.4,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,model,5,0.4,0.5,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,model,6,0.5,0.6,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,model,7,0.6,0.7,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,model,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,model,9,0.8,0.9,8,0.8962372982982145,1.0,0.10376270170178548
m05_joint_production_wealth,OU0.5,ALL,model,10,0.9,1.0,376,0.9326079807926415,0.9361702127659575,0.0035622319733159546
m05_joint_production_wealth,OU0.5,ALL,market,1,0.0,0.1,147,0.06740041896494867,0.034013605442176874,-0.03338681352277179
m05_joint_production_wealth,OU0.5,ALL,market,2,0.1,0.2,2,0.10244658799633993,0.0,-0.10244658799633993
m05_joint_production_wealth,OU0.5,ALL,market,3,0.2,0.3,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,market,4,0.3,0.4,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,market,5,0.4,0.5,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,market,6,0.5,0.6,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,market,7,0.6,0.7,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,market,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,ALL,market,9,0.8,0.9,2,0.8975534120036601,1.0,0.10244658799633988
m05_joint_production_wealth,OU0.5,ALL,market,10,0.9,1.0,382,0.9740631895606092,0.93717277486911,-0.03689041469149923
m05_joint_production_wealth,OU0.5,over_05,model,1,0.0,0.1,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,model,2,0.1,0.2,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,model,3,0.2,0.3,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,model,4,0.3,0.4,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,model,5,0.4,0.5,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,model,6,0.5,0.6,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,model,7,0.6,0.7,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,model,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,model,9,0.8,0.9,8,0.8962372982982145,1.0,0.10376270170178548
m05_joint_production_wealth,OU0.5,over_05,model,10,0.9,1.0,376,0.9326079807926415,0.9361702127659575,0.0035622319733159546
m05_joint_production_wealth,OU0.5,over_05,market,1,0.0,0.1,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,market,2,0.1,0.2,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,market,3,0.2,0.3,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,market,4,0.3,0.4,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,market,5,0.4,0.5,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,market,6,0.5,0.6,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,market,7,0.6,0.7,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,market,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,over_05,market,9,0.8,0.9,2,0.8975534120036601,1.0,0.10244658799633988
m05_joint_production_wealth,OU0.5,over_05,market,10,0.9,1.0,382,0.9740631895606092,0.93717277486911,-0.03689041469149923
m05_joint_production_wealth,OU0.5,under_05,model,1,0.0,0.1,143,0.06886221761319354,0.03496503496503497,-0.03389718264815857
m05_joint_production_wealth,OU0.5,under_05,model,2,0.1,0.2,6,0.10424322130925041,0.0,-0.10424322130925041
m05_joint_production_wealth,OU0.5,under_05,model,3,0.2,0.3,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,model,4,0.3,0.4,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,model,5,0.4,0.5,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,model,6,0.5,0.6,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,model,7,0.6,0.7,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,model,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,model,9,0.8,0.9,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,model,10,0.9,1.0,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,market,1,0.0,0.1,147,0.06740041896494867,0.034013605442176874,-0.03338681352277179
m05_joint_production_wealth,OU0.5,under_05,market,2,0.1,0.2,2,0.10244658799633993,0.0,-0.10244658799633993
m05_joint_production_wealth,OU0.5,under_05,market,3,0.2,0.3,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,market,4,0.3,0.4,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,market,5,0.4,0.5,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,market,6,0.5,0.6,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,market,7,0.6,0.7,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,market,8,0.7,0.8,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,market,9,0.8,0.9,0,NaN,NaN,NaN
m05_joint_production_wealth,OU0.5,under_05,market,10,0.9,1.0,0,NaN,NaN,NaN
m05_joint_production_wealth,OU1.5,ALL,model,1,0.0,0.1,0,NaN,NaN,NaN
m05_joint_production_wealth,OU1.5,ALL,model,2,0.1,0.2,23,0.18857568695531127,0.13043478260869565,-0.05814090434661562
m05_joint_production_wealth,OU1.5,ALL,model,3,0.2,0.3,172,0.2449747103749672,0.23255813953488372,-0.01241657084008349
m05_joint_production_wealth,OU1.5,ALL,model,4,0.3,0.4,20,0.3219631814178985,0.3,-0.021963181417898492
m05_joint_production_wealth,OU1.5,ALL,model,5,0.4,0.5,0,NaN,NaN,NaN
m05_joint_production_wealth,OU1.5,ALL,model,6,0.5,0.6,0,NaN,NaN,NaN
m05_joint_production_wealth,OU1.5,ALL,model,7,0.6,0.7,20,0.6780367847779573,0.7,0.021963215222042698
m05_joint_production_wealth,OU1.5,ALL,model,8,0.7,0.8,172,0.7550251025354762,0.7674418604651163,0.012416757929640143
m05_joint_production_wealth,OU1.5,ALL,model,9,0.8,0.9,23,0.8114236696691843,0.8695652173913043,0.05814154772211999
m05_joint_production_wealth,OU1.5,ALL,model,10,0.9,1.0,0,NaN,NaN,NaN
m05_joint_production_wealth,OU1.5,ALL,market,1,0.0,0.1,0,NaN,NaN,NaN
m05_joint_production_wealth,OU1.5,ALL,market,2,0.1,0.2,51,0.17588692718889973,0.19607843137254902,0.02019150418364929
m05_joint_production_wealth,OU1.5,ALL,market,3,0.2,0.3,154,0.24291855455351105,0.24025974025974026,-0.002658814293770795
m05_joint_production_wealth,OU1.5,ALL,market,4,0.3,0.4,10,0.31675878370299293,0.2,-0.11675878370299292
m05_joint_production_wealth,OU1.5,ALL,market,5,0.4,0.5,0,NaN,NaN,NaN
