match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market,model,policy,group,line,market_key,capacity_bucket,bankroll_open,exposure,constrained,stake_amount,pnl_amount,won,pushed
12477123,2024-08-03,1X2_home,home,3.1455349338302168,0.009170074579464801,-0.009170074579464801,-1.0,0.3984369435598476,0.3171679729944784,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,9.170074579464801,-9.170074579464801,false,false
12477123,2024-08-03,O/U 2.5_under_25,under_25,2.0760378560810446,0.003485728275499264,0.0036757600688403186,1.0545170989594237,0.501354727911822,0.4816867847909619,m12_joint_hybrid_synergy,P1_status_quo,OverUnder,2.5,OU2.5,core,1000.0,0.15551485549980562,false,3.4857282754992642,3.6757600688403187,true,false
12477123,2024-08-03,O/U 3.5_under_35,under_35,1.43,0.0011077772964337507,0.00046681735271718246,0.42139999999999994,0.7194340071554476,0.6976744186046512,m12_joint_hybrid_synergy,P1_status_quo,OverUnder,3.5,OU3.5,fringe,1000.0,0.15551485549980562,false,1.1077772964337507,0.46681735271718244,true,false
12477126,2024-08-03,1X2_home,home,4.155100640852063,0.013312351005308731,0.04116177104433524,3.0919986280350216,0.36329556688370723,0.2383213448924134,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,13.31235100530873,41.16177104433524,true,false
12477126,2024-08-03,1X2_draw,draw,3.5101483261017004,0.002473069263110467,-0.002473069263110467,-1.0,0.2665081113286466,0.2821103500178704,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,2.473069263110467,-2.473069263110467,false,false
12477126,2024-08-03,O/U 0.5_over_05,over_05,1.0956521739130436,0.0012004892491052712,0.00011253281830743338,0.09373913043478271,0.9204290715284875,0.9126984126984127,m12_joint_hybrid_synergy,P1_status_quo,OverUnder,0.5,OU0.5,fringe,1000.0,0.15551485549980562,false,1.2004892491052712,0.11253281830743338,true,false
12477126,2024-08-03,O/U 2.5_under_25,under_25,1.935,0.0030538230980133307,-0.0030538230980133307,-1.0,0.5323240638018452,0.5164345076438748,m12_joint_hybrid_synergy,P1_status_quo,OverUnder,2.5,OU2.5,core,1000.0,0.15551485549980562,false,3.0538230980133307,-3.0538230980133307,false,false
12477128,2024-08-03,1X2_home,home,2.835031767441645,0.015058462796297032,0.027080102448042338,1.7983311320928124,0.4653650798343479,0.3527166847445295,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,15.058462796297032,27.08010244804234,true,false
12477128,2024-08-03,1X2_draw,draw,3.7041536289331827,0.0020502270174955735,-0.0020502270174955735,-1.0,0.251160986991254,0.2699572173105131,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,2.0502270174955735,-2.0502270174955735,false,false
12477128,2024-08-03,O/U 2.5_under_25,under_25,2.1852561367163257,0.005929530554654938,-0.005929530554654938,-1.0,0.49075998018798495,0.4576122602738229,m12_joint_hybrid_synergy,P1_status_quo,OverUnder,2.5,OU2.5,core,1000.0,0.15551485549980562,false,5.929530554654938,-5.929530554654938,false,false
12477129,2024-08-03,1X2_home,home,7.137657359979854,0.02208887912954882,-0.02208887912954882,-1.0,0.36585745475320197,0.14010198999000736,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,22.08887912954882,-22.08887912954882,false,false
12477129,2024-08-03,1X2_draw,draw,5.07565439799843,0.009405812639474126,-0.009405812639474126,-1.0,0.24219205027317073,0.19701893028696893,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,9.405812639474126,-9.405812639474126,false,false
12477129,2024-08-03,O/U 2.5_under_25,under_25,2.552179576825943,0.0015125825004832349,-0.0015125825004832349,-1.0,0.4255199351392106,0.39182195840767015,m12_joint_hybrid_synergy,P1_status_quo,OverUnder,2.5,OU2.5,core,1000.0,0.15551485549980562,false,1.512582500483235,-1.512582500483235,false,false
12477131,2024-08-03,1X2_away,away,3.0722201408870693,0.0024229448131849155,0.0049204575412968455,2.0307757380693277,0.34777079632072244,0.3254975080370579,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,2.4229448131849156,4.920457541296845,true,false
12477131,2024-08-03,O/U 1.5_under_15,under_15,6.4,0.0016493707306845019,-0.0016493707306845019,-1.0,0.1899453394570317,0.15622940013183914,m12_joint_hybrid_synergy,P1_status_quo,OverUnder,1.5,OU1.5,fringe,1000.0,0.15551485549980562,false,1.6493707306845018,-1.6493707306845018,false,false
12477131,2024-08-03,O/U 2.5_under_25,under_25,2.7686777657794246,0.003782454726283148,-0.003782454726283148,-1.0,0.40749407550606315,0.3611832378472851,m12_joint_hybrid_synergy,P1_status_quo,OverUnder,2.5,OU2.5,core,1000.0,0.15551485549980562,false,3.782454726283148,-3.782454726283148,false,false
12477132,2024-08-03,1X2_away,away,4.307789947823633,0.01213941767984758,-0.01213941767984758,-1.0,0.343509522152095,0.23096760299088834,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,12.13941767984758,-12.13941767984758,false,false
12477132,2024-08-03,1X2_draw,draw,3.9633916526138275,0.002941426105003795,0.008542265615021676,2.904123819561551,0.24923817536012874,0.25103749657970326,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,2.9414261050037953,8.542265615021677,true,false
12477132,2024-08-03,O/U 2.5_under_25,under_25,2.255421444455187,0.0021252217151181813,0.0026146879370735733,1.2303130155660833,0.4581040382635191,0.4422823514328366,m12_joint_hybrid_synergy,P1_status_quo,OverUnder,2.5,OU2.5,core,1000.0,0.15551485549980562,false,2.1252217151181814,2.6146879370735734,true,false
12477132,2024-08-03,BTTS_btts_yes,btts_yes,1.74,0.001018874286855758,0.0007388876328277956,0.7252,0.5740166230021556,0.5714285714285714,m12_joint_hybrid_synergy,P1_status_quo,BTTS,0.0,BTTS,fringe,1000.0,0.15551485549980562,false,1.018874286855758,0.7388876328277956,true,false
12477133,2024-08-03,1X2_home,home,2.8671416766361872,0.006127366388135774,-0.006127366388135774,-1.0,0.403733703632864,0.3487794161512202,m12_joint_hybrid_synergy,P1_status_quo,1X2,0.0,1X2,core,1000.0,0.15551485549980562,false,6.127366388135774,-6.127366388135774,false,false
