experiment,model,portfolio_uuid,regime,capacity_bucket,n_slates,n_bets,stake_amount,stake_share_pct,pnl_amount,win_rate_pct,kelly_efficiency_pct,mean_slate_exposure,cap,threshold
scottish_lower_joint_2426,m00_joint_baseline,cd138387-6760-40e0-ae25-c007cba8c044,constrained,core,0,0,0.0,NaN,0.0,NaN,NaN,NaN,0.2,0.16000000000000003
scottish_lower_joint_2426,m00_joint_baseline,cd138387-6760-40e0-ae25-c007cba8c044,constrained,fringe,0,0,0.0,NaN,0.0,NaN,NaN,NaN,0.2,0.16000000000000003
scottish_lower_joint_2426,m00_joint_baseline,cd138387-6760-40e0-ae25-c007cba8c044,unconstrained,core,97,812,4256.727727229763,92.52496458756447,-160.88424086531737,33.86699507389162,-3.779528576285504,0.04123656961185516,0.2,0.16000000000000003
scottish_lower_joint_2426,m00_joint_baseline,cd138387-6760-40e0-ae25-c007cba8c044,unconstrained,fringe,97,92,343.8984348059455,7.475035412435592,102.45991890952746,60.86956521739131,29.793656655443456,0.04123656961185516,0.2,0.16000000000000003
scottish_lower_joint_2426,m00_joint_baseline,cd138387-6760-40e0-ae25-c007cba8c044,all,core,97,812,4256.727727229763,92.52496458756447,-160.88424086531737,33.86699507389162,-3.779528576285504,0.04123656961185516,0.2,0.16000000000000003
scottish_lower_joint_2426,m00_joint_baseline,cd138387-6760-40e0-ae25-c007cba8c044,all,fringe,97,92,343.8984348059455,7.475035412435592,102.45991890952746,60.86956521739131,29.793656655443456,0.04123656961185516,0.2,0.16000000000000003
scottish_lower_joint_2426,m05_joint_production_wealth,c5192d31-11ca-4736-873b-1a2055c232be,constrained,core,0,0,0.0,NaN,0.0,NaN,NaN,NaN,0.2,0.16000000000000003
scottish_lower_joint_2426,m05_joint_production_wealth,c5192d31-11ca-4736-873b-1a2055c232be,constrained,fringe,0,0,0.0,NaN,0.0,NaN,NaN,NaN,0.2,0.16000000000000003
scottish_lower_joint_2426,m05_joint_production_wealth,c5192d31-11ca-4736-873b-1a2055c232be,unconstrained,core,98,768,4326.122491522436,92.807485341254,-150.86075992845488,35.80729166666667,-3.487205002264382,0.04092790665062046,0.2,0.16000000000000003
scottish_lower_joint_2426,m05_joint_production_wealth,c5192d31-11ca-4736-873b-1a2055c232be,unconstrained,fringe,98,91,335.2714419682117,7.192514658746004,101.38192064591351,59.34065934065934,30.23875819865561,0.04092790665062046,0.2,0.16000000000000003
scottish_lower_joint_2426,m05_joint_production_wealth,c5192d31-11ca-4736-873b-1a2055c232be,all,core,98,768,4326.122491522436,92.807485341254,-150.86075992845488,35.80729166666667,-3.487205002264382,0.04092790665062046,0.2,0.16000000000000003
scottish_lower_joint_2426,m05_joint_production_wealth,c5192d31-11ca-4736-873b-1a2055c232be,all,fringe,98,91,335.2714419682117,7.192514658746004,101.38192064591351,59.34065934065934,30.23875819865561,0.04092790665062046,0.2,0.16000000000000003
scottish_lower_joint_player_2426,m12_joint_hybrid_synergy,d08b43b2-226a-4ecd-abd2-d9c80966ca08,constrained,core,5,108,1697.7445377495972,94.3466292389165,380.08664630212695,34.25925925925926,22.387740784955863,0.1783479628831061,0.2,0.16000000000000003
scottish_lower_joint_player_2426,m12_joint_hybrid_synergy,d08b43b2-226a-4ecd-abd2-d9c80966ca08,constrained,fringe,5,12,101.73102533634349,5.653370761083515,-17.32123378091229,50.0,-17.026500739223618,0.1783479628831061,0.2,0.16000000000000003
scottish_lower_joint_player_2426,m12_joint_hybrid_synergy,d08b43b2-226a-4ecd-abd2-d9c80966ca08,unconstrained,core,94,1237,14248.808721404614,95.23211381980668,1063.510266946305,33.46806790622473,7.463853910458464,0.08067448449938716,0.2,0.16000000000000003
scottish_lower_joint_player_2426,m12_joint_hybrid_synergy,d08b43b2-226a-4ecd-abd2-d9c80966ca08,unconstrained,fringe,94,105,713.3801347258686,4.76788618019331,-60.16056172137186,44.761904761904766,-8.433170310312864,0.08067448449938716,0.2,0.16000000000000003
