bet_id,portfolio_run_id,match_id,kickoff_date,market_family,selection,odds_close,stake_fraction,stake_amount,pnl,experiment,model,run_uuid,market_key,capacity_bucket,won
6478,cd138387-6760-40e0-ae25-c007cba8c044,12477123,2024-08-03,1X2_home,home,2.7,0.007454593212193078,7.454593212193078,-7.454593212193078,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,false
6479,cd138387-6760-40e0-ae25-c007cba8c044,12477126,2024-08-03,1X2_home,home,3.2,0.0060273496816265594,6.02734968162656,12.994965913586864,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,true
6480,cd138387-6760-40e0-ae25-c007cba8c044,12477126,2024-08-03,O/U 2.5_under_25,under_25,1.8,0.0018715358005178648,1.8715358005178648,-1.8715358005178648,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,OU2.5,core,false
6481,cd138387-6760-40e0-ae25-c007cba8c044,12477128,2024-08-03,1X2_home,home,2.55,0.003470522330822254,3.470522330822254,5.271723420519003,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,true
6482,cd138387-6760-40e0-ae25-c007cba8c044,12477128,2024-08-03,O/U 2.5_under_25,under_25,2.05,0.00225383902493736,2.25383902493736,-2.25383902493736,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,OU2.5,core,false
6483,cd138387-6760-40e0-ae25-c007cba8c044,12477129,2024-08-03,1X2_home,home,5.25,0.008244464650159287,8.244464650159287,-8.244464650159287,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,false
6484,cd138387-6760-40e0-ae25-c007cba8c044,12477129,2024-08-03,1X2_draw,draw,5.0,0.004747462642656067,4.7474626426560675,-4.7474626426560675,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,false
6485,cd138387-6760-40e0-ae25-c007cba8c044,12477130,2024-08-03,1X2_home,home,2.9,4.816148548581347e-5,0.04816148548581347,-0.04816148548581347,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,false
6486,cd138387-6760-40e0-ae25-c007cba8c044,12477130,2024-08-03,O/U 2.5_under_25,under_25,1.75,5.239482295633938e-5,0.05239482295633938,-0.05239482295633938,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,OU2.5,core,false
6487,cd138387-6760-40e0-ae25-c007cba8c044,12477132,2024-08-03,1X2_away,away,3.9,0.0124236104906342,12.4236104906342,-12.4236104906342,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,false
6488,cd138387-6760-40e0-ae25-c007cba8c044,12477132,2024-08-03,1X2_draw,draw,3.6,0.000182209996055643,0.182209996055643,0.4642710699497784,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,true
6489,cd138387-6760-40e0-ae25-c007cba8c044,12477133,2024-08-03,O/U 2.5_over_25,over_25,1.9,0.00043732982448169426,0.4373298244816943,-0.4373298244816943,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,OU2.5,core,false
6490,cd138387-6760-40e0-ae25-c007cba8c044,12477134,2024-08-03,1X2_away,away,3.75,0.0015160274751205294,1.5160274751205294,-1.5160274751205294,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,false
6491,cd138387-6760-40e0-ae25-c007cba8c044,12476630,2024-08-10,1X2_away,away,4.1,0.01126787438478521,11.038928540798128,-11.038928540798128,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,false
6492,cd138387-6760-40e0-ae25-c007cba8c044,12476630,2024-08-10,1X2_draw,draw,4.0,0.004002857355528742,3.921525462367165,-3.921525462367165,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,false
6493,cd138387-6760-40e0-ae25-c007cba8c044,12476630,2024-08-10,O/U 2.5_under_25,under_25,2.075,0.0002641703665477671,0.2588028317794242,0.27264878327962344,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,OU2.5,core,true
6494,cd138387-6760-40e0-ae25-c007cba8c044,12476632,2024-08-10,1X2_away,away,9.5,0.010930127850866634,10.708044495989842,-10.708044495989842,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,false
6495,cd138387-6760-40e0-ae25-c007cba8c044,12476632,2024-08-10,1X2_draw,draw,5.25,0.003549251439540836,3.477136119596796,-3.477136119596796,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,1X2,core,false
6496,cd138387-6760-40e0-ae25-c007cba8c044,12476632,2024-08-10,O/U 2.5_under_25,under_25,2.35,0.004958120670372884,4.857379298690478,6.4263128121675015,scottish_lower_joint_2426,m00_joint_baseline,2c6e859c-29e7-4ae7-aa0a-e88343ba7672,OU2.5,core,true
