model,regime,capacity_bucket,n_slates,n_bets,stake_amount,stake_share_pct,pnl_amount,win_rate_pct,kelly_efficiency_pct,mean_slate_exposure,cap,threshold
m12_joint_hybrid_synergy,constrained,core,16,306,4357.59958898848,70.83244803013581,549.8116365520635,33.33333333333333,12.617305131509113,0.18502785898708238,0.2,0.16000000000000003
m12_joint_hybrid_synergy,constrained,fringe,16,183,1794.3826030353368,29.167551969864192,-236.62193159663852,39.89071038251366,-13.18681596647082,0.18502785898708238,0.2,0.16000000000000003
m12_joint_hybrid_synergy,unconstrained,core,84,1008,10247.799515739205,79.91250475133633,834.5052421837804,33.23412698412698,8.1432627648706,0.08111635562411827,0.2,0.16000000000000003
m12_joint_hybrid_synergy,unconstrained,fringe,84,397,2575.975120817706,20.087495248663664,91.67572293733893,43.57682619647355,3.558874547990114,0.08111635562411827,0.2,0.16000000000000003
m12_joint_hybrid_synergy,all,core,100,1314,14605.399104727685,76.96873034718416,1384.3168787358436,33.2572298325723,9.478117433215147,0.09774219616219249,0.2,0.16000000000000003
m12_joint_hybrid_synergy,all,fringe,100,580,4370.357723853042,23.03126965281584,-144.94620865929957,42.41379310344828,-3.316575388513289,0.09774219616219249,0.2,0.16000000000000003
m13_joint_composite,constrained,core,18,349,4813.791185407783,71.47624114474068,542.3841594078125,33.810888252149,11.267297199179744,0.1808657116823994,0.2,0.16000000000000003
m13_joint_composite,constrained,fringe,18,196,1921.0218214202744,28.52375885525932,-250.60134060857396,39.285714285714285,-13.045210513189078,0.1808657116823994,0.2,0.16000000000000003
m13_joint_composite,unconstrained,core,82,967,9986.29459867699,80.14507270888262,864.254877055881,33.91933815925543,8.654409986767062,0.07989201073238637,0.2,0.16000000000000003
m13_joint_composite,unconstrained,fringe,82,381,2473.9780807814304,19.854927291117356,122.54755575311562,44.35695538057743,4.953461661810995,0.07989201073238637,0.2,0.16000000000000003
m13_joint_composite,all,core,100,1316,14800.085784084777,77.10351506614208,1406.6390364636936,33.890577507598785,9.504262725127703,0.09806727690338875,0.2,0.16000000000000003
m13_joint_composite,all,fringe,100,577,4394.999902201703,22.896484933857927,-128.0537848554583,42.63431542461005,-2.9136242936276053,0.09806727690338875,0.2,0.16000000000000003
