model,source,bin,lower,upper,n,predicted,observed
m12_hybrid_production_wealth_player_rapm,model,3,0.2,0.3,782,0.25713256345843366,0.25191815856777494
m12_hybrid_production_wealth_player_rapm,model,4,0.3,0.4,581,0.35107094462980604,0.33562822719449226
m12_hybrid_production_wealth_player_rapm,model,5,0.4,0.5,918,0.4539505475878181,0.45751633986928103
m12_hybrid_production_wealth_player_rapm,model,6,0.5,0.6,611,0.5355094973813809,0.5515548281505729
m12_hybrid_production_wealth_player_rapm,model,7,0.6,0.7,4,0.6095547802398074,0.75
m12_hybrid_production_wealth_player_rapm,model,8,0.7,0.8,0,NaN,NaN
m12_hybrid_production_wealth_player_rapm,model,9,0.8,0.9,0,NaN,NaN
m12_hybrid_production_wealth_player_rapm,model,10,0.9,1.0,0,NaN,NaN
m12_hybrid_production_wealth_player_rapm,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
m12_hybrid_production_wealth_player_rapm,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
m12_hybrid_production_wealth_player_rapm,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
m12_hybrid_production_wealth_player_rapm,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
m12_hybrid_production_wealth_player_rapm,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
m12_hybrid_production_wealth_player_rapm,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
m12_hybrid_production_wealth_player_rapm,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
m12_hybrid_production_wealth_player_rapm,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
m12_hybrid_production_wealth_player_rapm,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
m12_hybrid_production_wealth_player_rapm,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
