model,model_run_id,portfolio_run_id,match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476636,2024-08-10,1X2_away,away,4.379479502000953,0.010293576575985886,-0.010293576575985886,-1.0,0.32361834403700634,0.2227936429224027
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476636,2024-08-10,1X2_draw,draw,4.059750780991914,0.004459032266942686,-0.004459032266942686,-1.0,0.2603592249917072,0.24033992355471284
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476794,2024-08-10,1X2_away,away,4.056988019573348,0.003910405762950455,-0.003910405762950455,-1.0,0.2893811259612466,0.24496433485025887
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476797,2024-08-10,1X2_away,away,3.224454979073816,0.006742658435151949,-0.006742658435151949,-1.0,0.37188560625772404,0.3101299309464191
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476797,2024-08-10,O/U 2.5_under_25,under_25,2.15,0.00566099692912989,0.006379943539129386,1.127,0.502580565154077,0.45843828715365237
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476798,2024-08-10,1X2_home,home,2.910181870662802,0.011408166238569455,-0.011408166238569455,-1.0,0.442731451550626,0.3428428824951162
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476798,2024-08-10,1X2_draw,draw,3.767684685598983,0.0010141260318984693,0.002750645465997606,2.7123309918870033,0.23820253136814537,0.2648138643174291
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476799,2024-08-10,1X2_away,away,3.0885593220338983,0.00017570898374764412,-0.00017570898374764412,-1.0,0.3297898556684191,0.32377555220194815
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476800,2024-08-10,1X2_away,away,2.8321376674892913,0.0014717107084947412,-0.0014717107084947412,-1.0,0.3647041127697887,0.35309018042421175
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476800,2024-08-10,1X2_home,home,2.594362346924865,0.0011790223124822506,0.001842193005581863,1.5624750999863677,0.3921772571482336,0.3854511692190239
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476623,2024-08-17,1X2_away,away,5.060995194239675,0.005931527061299217,-0.005931527061299217,-1.0,0.25520029102611935,0.1974839279256179
m05_joint_production_wealth,842ca67c-02a0-4a7d-a247-016145742748,bd8d8f6d-c579-4d22-8b69-636547f8119a,12476623,2024-08-17,1X2_draw,draw,3.9064170692123628,0.0016175280213915136,-0.0016175280213915136,-1.0,0.2556171445369514,0.25585215107936365
