scope,target,formulation,n,r,rho,mae,r2
A · England + Scotland,goal supremacy,m05_joint_production_wealth,2489,0.2484971242863639,0.2484345111729316,1.274455727745644,0.04725587315136359
A · England + Scotland,official xG supremacy,m05_joint_production_wealth,2132,0.32189142425499817,0.31336907348657006,0.90401014986256,0.029107845295567314
A · England + Scotland,goal supremacy,m09_joint_player_shots_outfield,2489,0.14316202020119914,0.15894385581847476,1.2842956836817685,0.016136005250583008
A · England + Scotland,official xG supremacy,m09_joint_player_shots_outfield,2132,0.2250312332207958,0.2592931383566502,0.8916234407409074,0.049376148565724254
A · England + Scotland,goal supremacy,m10_joint_player_shots_bench,2489,0.14393018305703126,0.1596689768675034,1.2841249663882865,0.016398896077217784
A · England + Scotland,official xG supremacy,m10_joint_player_shots_bench,2132,0.22559168928061618,0.2598124371088319,0.8915767531046872,0.049601483892031895
A · England + Scotland,goal supremacy,m11_joint_player_pxg_bench,2489,0.1627829951037588,0.1765822779823069,1.283400122161849,0.017721355619821688
A · England + Scotland,official xG supremacy,m11_joint_player_pxg_bench,2132,0.24795021632173653,0.27126518248666104,0.8872322179097736,0.06027301540409957
A · England + Scotland,goal supremacy,m12_joint_hybrid_synergy,2489,0.2591474967196295,0.26830015796217693,1.2489509207341345,0.06703395176723603
A · England + Scotland,official xG supremacy,m12_joint_hybrid_synergy,2132,0.34320331306525725,0.3322218953946539,0.8565471395296644,0.11714413912672506
A · England + Scotland,goal supremacy,m13_joint_composite,2489,0.25998551523759333,0.26907085011166487,1.2489094801630993,0.06748137577429714
A · England + Scotland,official xG supremacy,m13_joint_composite,2132,0.343206408722945,0.33222872391453656,0.856544706456677,0.11715045770023336
B · Scotland 54-57,goal supremacy,m05_joint_production_wealth,1461,0.2784723846380258,0.2398576986965518,1.3561169040431256,0.056405187069935914
B · Scotland 54-57,official xG supremacy,m05_joint_production_wealth,548,-0.049290571993795385,-0.03200676978810482,1.0886820203685377,-0.14116695957251024
B · Scotland 54-57,goal supremacy,m09_joint_player_shots_outfield,1461,0.16135897142717606,0.07858402321312644,1.3723570572546417,0.016723426142890463
B · Scotland 54-57,official xG supremacy,m09_joint_player_shots_outfield,548,0.2376427708196904,0.18642280408541068,1.0023694093495612,0.013188245524015207
B · Scotland 54-57,goal supremacy,m10_joint_player_shots_bench,1461,0.1642244968166392,0.07810166324319506,1.3717163552626175,0.017575309955484952
B · Scotland 54-57,official xG supremacy,m10_joint_player_shots_bench,548,0.23941221302507046,0.18754864173685,1.001663505536116,0.012939954708870771
B · Scotland 54-57,goal supremacy,m11_joint_player_pxg_bench,1461,0.17545141200037126,0.09468237349786997,1.3670404611758114,0.022235715139958923
B · Scotland 54-57,official xG supremacy,m11_joint_player_pxg_bench,548,0.27135086109933143,0.23274927884770225,1.0027314011953494,0.0158858200050217
B · Scotland 54-57,goal supremacy,m12_joint_hybrid_synergy,1461,0.18774914614011246,0.12512366222883464,1.364489599723193,0.02839465496463245
B · Scotland 54-57,official xG supremacy,m12_joint_hybrid_synergy,548,0.23941221302507046,0.18754864173685,1.001663505536116,0.012939954708870771
B · Scotland 54-57,goal supremacy,m13_joint_composite,1461,0.1863099593275509,0.12537829139206189,1.365218997363555,0.027120418814250757
B · Scotland 54-57,official xG supremacy,m13_joint_composite,548,0.23843712989993948,0.19115916833896582,1.003350657466491,0.011805589213018997
C · Scottish Lower 56/57,goal supremacy,m05_joint_production_wealth,710,0.08351088421072136,0.07173975208878015,1.443027866975288,-0.042167361775005574
C · Scottish Lower 56/57,goal supremacy,m09_joint_player_shots_outfield,710,0.0378551220863691,0.04146565419575102,1.3917400057123184,-0.0030478681796541895
C · Scottish Lower 56/57,goal supremacy,m10_joint_player_shots_bench,710,0.037190302461157856,0.038924984625741885,1.3921476499282965,-0.0031188609874812645
C · Scottish Lower 56/57,goal supremacy,m11_joint_player_pxg_bench,710,0.008741763127572834,0.005336969161161261,1.3992824016196783,-0.012325869682140667
C · Scottish Lower 56/57,goal supremacy,m12_joint_hybrid_synergy,710,0.14187926137744925,0.12785542523977358,1.3827665162908167,0.019601762734593242
C · Scottish Lower 56/57,goal supremacy,m13_joint_composite,710,0.13415552710852086,0.12211804234075341,1.3851518309828115,0.01638664502132936
