strategy,medW,q05W,q95W,meanG,medDD,q95DD,ruin_pct,turn_pm,bets_pm
FLAT_1pct,1.1359300539017987,0.7386198973079152,1.7723047573721833,0.00042642032667209655,0.225567405950574,0.38105062207184603,0.0,0.007489393939393939,0.7489393939393939
K_full,0.1476066682685826,0.005803458956937981,5.6639683433051475,-0.005797681296842981,0.9752957875435309,0.9969564116704169,23.0,0.06535892914051837,0.6891414141414142
K_half,0.9907951084404077,0.1249739117015278,5.466896543278347,-0.0001590282092119757,0.737061461803733,0.9183809968538026,0.0,0.035527892818764395,0.7489393939393939
K_quarter,1.2267315889992139,0.446762593493559,2.991626164795259,0.0005610333629099046,0.44324969513627754,0.6755580557828976,0.0,0.017763946409382197,0.7489393939393939
BM_ana,0.2515303244114021,0.007577041551114905,6.712781298662451,-0.00445569897579585,0.9545468075621382,0.9954349261596339,16.333333333333332,0.057821816561894675,0.7125050505050505
BM_num,0.24633675866570182,0.007599382886714631,6.651109593395071,-0.0044694895281110186,0.955358365801044,0.9952736317815165,16.333333333333332,0.058137215620354836,0.7132020202020203
U_cap02,0.9330097762459455,0.12817861173432488,7.18453303632061,-0.00017700629398753972,0.7885534508929525,0.9487334462076764,0.0,0.055789044044061466,2.0604646464646463
U_cap05,0.8429375407182838,0.10961860281381279,7.787786028308631,-0.0003854407728946171,0.8179261399721047,0.9568719883351685,0.0,0.05890401084849074,2.0811515151515154
U_cap100,0.8429375401337155,0.10961859095143381,7.787786028308631,-0.0003861332049824271,0.817926140551335,0.9568719884059405,0.0,0.0589061857238609,2.0811515151515154
U_UMC,1.118111705307113,0.18555299436769476,6.99408949831784,0.00024234406490106206,0.7227775412687949,0.9110487591124987,0.0,0.04310075956854433,2.0811515151515154
TRUST_U_cap02,1.204750358832712,0.5677017533661048,3.0369215020108187,0.0006534624355601749,0.4096386731191135,0.6215851687723636,0.0,0.014000667132950798,0.9464343434343433
TRUST_UMC,1.097453902141043,0.67981392294771,2.1979795981592822,0.0004206795254865194,0.273174965834123,0.4706531884283559,0.0,0.00708484214093823,0.9464848484848483
