target,formulation,n,r,rho,mae,r2
scoreline,outfield starters,2489,0.16258072158784923,0.1763028061162053,1.2833745530988965,0.017515008662333464
official SofaScore xG,outfield starters,2132,0.2467551596237814,0.2694645973272688,0.8877553045070201,0.059526648414413574
scoreline,starters + bench,2489,0.16263465082224715,0.17623246736319573,1.283492305802932,0.01787947314391536
official SofaScore xG,starters + bench,2132,0.24897532654384416,0.2726065944169761,0.8865785098654123,0.06095046311407859
scoreline,positional vectors,2489,0.16557611006152737,0.17695867752737648,1.2830015365650924,0.018991832962422905
official SofaScore xG,positional vectors,2132,0.23552131328818982,0.2504361468647399,0.8914729994648922,0.051642976471234614
scoreline,expected minutes,2489,0.16155585922017687,0.1738140022915404,1.2824385068039157,0.01846281748708345
official SofaScore xG,expected minutes,2132,0.24772298780452545,0.2717760113728536,0.8860758234914771,0.06051552181366959
