w_bench,formulation,n,r,rho,mae,r2
0.1,starters + bench,997,0.27918026366067644,0.2956719181655366,1.2838705042359022,0.07543909557559914
0.125,starters + bench,997,0.2782482357896,0.2949137956996278,1.284196563535052,0.07487562758710642
0.15,starters + bench,997,0.27730642040407827,0.29407546093523534,1.2845150041466453,0.07430863863731707
0.175,starters + bench,997,0.2763556359850776,0.2932067112361061,1.2848238783600916,0.07373865260390422
0.2,starters + bench,997,0.2753966728450689,0.2924356507059074,1.2851233461894755,0.07316617110053947
0.225,starters + bench,997,0.27443029329843066,0.2916638563198218,1.2854135723163884,0.07259167374770548
0.25,starters + bench,997,0.27345723189940135,0.2909256959674049,1.2857069020775742,0.07201561849609073
0.275,starters + bench,997,0.27247819574108867,0.29032009835568184,1.2860157151520226,0.07143844199653493
0.3,starters + bench,997,0.27149386480931936,0.2892672741660909,1.286335971473248,0.07086056001078711
0.325,starters + bench,997,0.27050489238541164,0.28815873859766544,1.2866606077534328,0.07028236785769237
0.35,starters + bench,997,0.26951190549225046,0.2873540008658046,1.286977694348111,0.06970424088972693
