w_bench,formulation,n,r,rho,mae,r2,scope,rapm_target
0.1,starters + bench,274,0.45159430957488056,0.41169592104095615,1.2754843944482264,0.20375509810941572,B · Scotland all tiers,y_xg
0.125,starters + bench,274,0.45055139200721367,0.41026399470636915,1.2760493659150054,0.20279262324296388,B · Scotland all tiers,y_xg
0.15,starters + bench,274,0.4494989443886538,0.4092154023375729,1.2766004279982628,0.20181942069955572,B · Scotland all tiers,y_xg
0.175,starters + bench,274,0.4484376312704034,0.4077468971994233,1.277137744388581,0.2008363376042116,B · Scotland all tiers,y_xg
0.2,starters + bench,274,0.44736809629429686,0.40713635830743844,1.2776614847394565,0.19984419383990903,B · Scotland all tiers,y_xg
0.225,starters + bench,274,0.44629096246719,0.4066697555205294,1.2781718241172437,0.19884378218068255,B · Scotland all tiers,y_xg
0.25,starters + bench,274,0.4452068324576358,0.40519589738673645,1.2786689424717317,0.19783586848196066,B · Scotland all tiers,y_xg
0.275,starters + bench,274,0.4441162889124329,0.4045009001190459,1.279161473973245,0.19682119192322645,B · Scotland all tiers,y_xg
0.3,starters + bench,274,0.44301989479077214,0.40382553050204756,1.2796597666553606,0.19580046529827544,B · Scotland all tiers,y_xg
0.325,starters + bench,274,0.4419181937138204,0.4025506253729978,1.280145251093328,0.19477437534852715,B · Scotland all tiers,y_xg
0.35,starters + bench,274,0.4408117103277154,0.40071900869704324,1.2806290951559187,0.19374358313506335,B · Scotland all tiers,y_xg
0.1,starters + bench,274,0.4096043474215947,0.37113032527861467,1.2885428355556043,0.16634658616867104,B · Scotland all tiers,y_shots
0.125,starters + bench,274,0.40912067383759254,0.3708692180466796,1.2890650724585262,0.16584716523813336,B · Scotland all tiers,y_shots
0.15,starters + bench,274,0.40863659857128487,0.37085315905974964,1.2895778526199189,0.16534639020799857,B · Scotland all tiers,y_shots
0.175,starters + bench,274,0.40815228858753166,0.3694911190571726,1.2900812849860939,0.16484461413336793,B · Scotland all tiers,y_shots
0.2,starters + bench,274,0.4076679026311297,0.3681275921113613,1.290575480727798,0.16434217163129428,B · Scotland all tiers,y_shots
0.225,starters + bench,274,0.4071835915729696,0.3671117124937187,1.2910605529928696,0.16383937952109806,B · Scotland all tiers,y_shots
0.25,starters + bench,274,0.4066994987427609,0.3664910623877409,1.2915366166706606,0.16333653745900034,B · Scotland all tiers,y_shots
0.275,starters + bench,274,0.40621576024875755,0.3660637149022162,1.2920037881679673,0.16283392856554668,B · Scotland all tiers,y_shots
0.3,starters + bench,274,0.40573250528491633,0.3647902967164007,1.2924621851961775,0.1623318200444669,B · Scotland all tiers,y_shots
0.325,starters + bench,274,0.4052498564259111,0.36417975782441586,1.292911926569349,0.16183046379177635,B · Scotland all tiers,y_shots
0.35,starters + bench,274,0.40476792991041743,0.36331108558696446,1.2933531320129033,0.16133009699407797,B · Scotland all tiers,y_shots
0.1,starters + bench,127,0.44000662313265076,0.39770832722852667,1.2648549848509483,0.18500849170287503,C · Scottish Lower,y_xg
0.125,starters + bench,127,0.4384916635115756,0.3965228628612749,1.2658434157000387,0.18406500737581966,C · Scottish Lower,y_xg
0.15,starters + bench,127,0.43697537272032877,0.39495721168937425,1.2668237807151088,0.1831109083986242,C · Scottish Lower,y_xg
0.175,starters + bench,127,0.4354582165138979,0.39221807053776986,1.2677993136572998,0.18214691379753256,C · Scottish Lower,y_xg
0.2,starters + bench,127,0.43394064377339825,0.3896286092305154,1.2687958507534072,0.18117372707811275,C · Scottish Lower,y_xg
0.225,starters + bench,127,0.43242308683239833,0.38653622364624507,1.2698288590752551,0.18019203582500654,C · Scottish Lower,y_xg
0.25,starters + bench,127,0.4309059618112582,0.3872906100617689,1.270882053610328,0.17920251135603205,C · Scottish Lower,y_xg
0.275,starters + bench,127,0.4293896689581764,0.38525197058172234,1.2719444217738498,0.17820580842865286,C · Scottish Lower,y_xg
0.3,starters + bench,127,0.4278745929957276,0.3838449800448326,1.2730007018560154,0.17720256499672205,C · Scottish Lower,y_xg
0.325,starters + bench,127,0.4263611034717433,0.3799413297041855,1.274046388925499,0.1761934020153657,C · Scottish Lower,y_xg
0.35,starters + bench,127,0.4248495551134675,0.3777949207362069,1.2750813392233031,0.17517892329180818,C · Scottish Lower,y_xg
0.1,starters + bench,127,0.41939244297018813,0.37217893297619614,1.2728269856744914,0.16737795205773576,C · Scottish Lower,y_shots
0.125,starters + bench,127,0.41866761015141635,0.3693140607553377,1.2733047281446925,0.16703591063415324,C · Scottish Lower,y_shots
0.15,starters + bench,127,0.4179454184281439,0.37009538954284454,1.2737771323355802,0.1666882416029658,C · Scottish Lower,y_shots
0.175,starters + bench,127,0.41722596288742164,0.3692661632051457,1.2742441936509386,0.1663352742357299,C · Scottish Lower,y_shots
0.2,starters + bench,127,0.41650933291846914,0.3683052186044189,1.2747059107460066,0.16597732766852846,C · Scottish Lower,y_shots
0.225,starters + bench,127,0.4157956124552357,0.36612588007068336,1.2751622853939175,0.1656147110294952,C · Scottish Lower,y_shots
0.25,starters + bench,127,0.41508488020977646,0.3651888842450526,1.2756133223543251,0.16524772357677986,C · Scottish Lower,y_shots
0.275,starters + bench,127,0.41437720989673293,0.3620935050638952,1.2760590292443483,0.16487665484589442,C · Scottish Lower,y_shots
0.3,starters + bench,127,0.41367267044920625,0.36020155183131164,1.276499416411951,0.16450178480544408,C · Scottish Lower,y_shots
0.325,starters + bench,127,0.4129713262263076,0.358519150380818,1.2769344968118685,0.1641233840203027,C · Scottish Lower,y_shots
0.35,starters + bench,127,0.4122732372126583,0.35689961446495133,1.2773642858841607,0.1637417138213133,C · Scottish Lower,y_shots
