idx,date,n_fixtures,n_bets,bankroll_open,bankroll_close,stake_frac,pnl_frac,exposure,k_risk,capped,model,policy,opening_drawdown,drawdown_trust_multiplier
1,2024-08-03,9,23,1000.0,1012.3476830898875,0.14705419853952215,0.012347683089887512,0.1470541985395221,0.2619267334956533,false,m12_joint_hybrid_synergy,P0_flat_benchmark,0.0,1.0
2,2024-08-10,9,18,1012.3476830898875,969.5974922979884,0.10687768150213528,-0.0422287634041073,0.10687768150213527,0.2523711794949741,false,m12_joint_hybrid_synergy,P0_flat_benchmark,0.0,1.0
3,2024-08-17,8,14,969.5974922979884,998.6640060989886,0.08904477561704148,0.02997791767397337,0.08904477561704148,0.2676804584881644,false,m12_joint_hybrid_synergy,P0_flat_benchmark,-0.042228763404107306,1.0
4,2024-08-24,8,18,998.6640060989886,1126.4502648107218,0.10026122407063637,0.1279572087622301,0.10026122407063637,0.26835735045440623,false,m12_joint_hybrid_synergy,P0_flat_benchmark,-0.013516776122935892,1.0
5,2024-08-31,9,17,1126.4502648107218,1121.785738040982,0.07431111412525399,-0.0041409078726821,0.07431111412525399,0.26451154259563414,false,m12_joint_hybrid_synergy,P0_flat_benchmark,0.0,1.0
6,2024-09-14,8,18,1121.785738040982,1132.2518257776744,0.10283031089826708,0.009329845604000539,0.10283031089826708,0.2543008719836325,false,m12_joint_hybrid_synergy,P0_flat_benchmark,-0.004140907872682287,1.0
7,2024-09-21,9,18,1132.2518257776744,1112.4216881034113,0.06751535568907675,-0.017513893307827436,0.06751535568907677,0.2744865383368691,false,m12_joint_hybrid_synergy,P0_flat_benchmark,0.0,1.0
8,2024-09-28,9,13,1112.4216881034113,1114.8556443994098,0.05523528287590879,0.0021879799018914604,0.05523528287590879,0.26804834366982205,false,m12_joint_hybrid_synergy,P0_flat_benchmark,-0.0175138933078276,1.0
9,2024-10-05,9,13,1114.8556443994098,1126.4397377493242,0.062138163709924095,0.010390666637522413,0.062138163709924095,0.2748113252071439,false,m12_joint_hybrid_synergy,P0_flat_benchmark,-0.015364233452497378,1.0
10,2024-10-19,9,19,1126.4397377493242,1133.981779231871,0.08950185922882403,0.00669546823482654,0.08950185922882403,0.26623464667453195,false,m12_joint_hybrid_synergy,P0_flat_benchmark,-0.005133211442921004,1.0
