model,policy,market_key,family,tier,selection,n_bets,stake_amount,pnl_amount,win_rate_pct,roi_pct,mean_odds,mean_model_probability,mean_market_probability,mean_edge,stake_share_pct
m12_joint_hybrid_synergy,P0_flat_benchmark,1X2,1X2_home,tier1,home,293,4683.152981966131,486.46845082848864,38.907849829351534,10.387626727159665,3.3274898125023338,0.3976814659820083,0.32994414021047863,0.06773732577152973,32.00405853144517
m12_joint_hybrid_synergy,P0_flat_benchmark,OU2.5,O/U 2.5_under_25,tier1,under_25,227,1897.266584806716,361.7314496606796,48.89867841409692,19.065926346746412,2.2512051091156606,0.4936938564513877,0.44875251115073433,0.04494134530065356,12.965673140239167
m12_joint_hybrid_synergy,P0_flat_benchmark,1X2,1X2_draw,tier2,draw,361,2510.8987319037997,305.2034505119638,24.37673130193906,12.155147741882612,4.132836243366692,0.25362091559698197,0.2473244573242616,0.0062964582727202826,17.159155443314923
m12_joint_hybrid_synergy,P0_flat_benchmark,1X2,1X2_away,tier2,away,374,5541.678879992926,285.74517737245196,25.668449197860966,5.156292588588545,4.556252392681374,0.32594027587395563,0.2555004656126873,0.07043981026126858,37.87111288500073
m12_joint_hybrid_synergy,P1_conservative_tilt,1X2,1X2_home,tier1,home,293,5556.744701037608,607.0317706930534,38.907849829351534,10.92423358193337,3.3274898125023338,0.3976814659820083,0.32994414021047863,0.06773732577152973,36.330461815240994
m12_joint_hybrid_synergy,P1_conservative_tilt,OU2.5,O/U 2.5_under_25,tier1,under_25,227,2367.4015452118406,455.6567622887036,48.89867841409692,19.247126167096017,2.2512051091156606,0.4936938564513877,0.44875251115073433,0.04494134530065356,15.47826939459733
m12_joint_hybrid_synergy,P1_conservative_tilt,1X2,1X2_draw,tier2,draw,361,2259.8327283590656,334.3879586478049,24.37673130193906,14.797022560630598,4.132836243366692,0.25362091559698197,0.2473244573242616,0.0062964582727202826,14.774975469207765
m12_joint_hybrid_synergy,P1_conservative_tilt,1X2,1X2_away,tier2,away,374,5111.022584404143,210.53809308897564,25.668449197860966,4.119294908447773,4.556252392681374,0.32594027587395563,0.2555004656126873,0.07043981026126858,33.41629332095391
m12_joint_hybrid_synergy,P2_conviction_tilt,1X2,1X2_home,tier1,home,293,6124.907589578047,716.7034199510125,38.907849829351534,11.701456870476427,3.3274898125023338,0.3976814659820083,0.32994414021047863,0.06773732577152973,40.67332661269856
m12_joint_hybrid_synergy,P2_conviction_tilt,OU2.5,O/U 2.5_under_25,tier1,under_25,227,2756.7399501065247,520.1317248328909,48.89867841409692,18.86763837890448,2.2512051091156606,0.4936938564513877,0.44875251115073433,0.04494134530065356,18.306526708704435
m12_joint_hybrid_synergy,P2_conviction_tilt,1X2,1X2_draw,tier2,draw,361,1861.8327469955923,322.46435256484176,24.37673130193906,17.319727192745802,4.132836243366692,0.25362091559698197,0.2473244573242616,0.0062964582727202826,12.36376717676918
m12_joint_hybrid_synergy,P2_conviction_tilt,1X2,1X2_away,tier2,away,374,4315.301720262436,130.46090123732003,25.668449197860966,3.023216212779347,4.556252392681374,0.32594027587395563,0.2555004656126873,0.07043981026126858,28.656379501827825
m12_joint_hybrid_synergy,P3_aggressive_tilt,1X2,1X2_home,tier1,home,293,6124.907589578041,716.7034199510118,38.907849829351534,11.701456870476429,3.3274898125023338,0.3976814659820083,0.32994414021047863,0.06773732577152973,40.67332661269855
m12_joint_hybrid_synergy,P3_aggressive_tilt,OU2.5,O/U 2.5_under_25,tier1,under_25,227,2756.7399501065224,520.13172483289,48.89867841409692,18.867638378904463,2.2512051091156606,0.4936938564513877,0.44875251115073433,0.04494134530065356,18.306526708704435
m12_joint_hybrid_synergy,P3_aggressive_tilt,1X2,1X2_draw,tier2,draw,361,1861.8327469955905,322.46435256484176,24.37673130193906,17.31972719274582,4.132836243366692,0.25362091559698197,0.2473244573242616,0.0062964582727202826,12.363767176769178
m12_joint_hybrid_synergy,P3_aggressive_tilt,1X2,1X2_away,tier2,away,374,4315.301720262432,130.46090123731915,25.668449197860966,3.0232162127793294,4.556252392681374,0.32594027587395563,0.2555004656126873,0.07043981026126858,28.656379501827825
m12_joint_hybrid_synergy,P4_four_tier_probe,1X2,1X2_home,tier1,home,293,5880.106050093577,658.3309236959844,38.907849829351534,11.195902218217775,3.3274898125023338,0.3976814659820083,0.32994414021047863,0.06773732577152973,37.613492332059785
m12_joint_hybrid_synergy,P4_four_tier_probe,OU2.5,O/U 2.5_under_25,tier1,under_25,227,2549.3887091427605,485.9912150662743,48.89867841409692,19.06304885258907,2.2512051091156606,0.4936938564513877,0.44875251115073433,0.04494134530065356,16.307769255497526
m12_joint_hybrid_synergy,P4_four_tier_probe,1X2,1X2_draw,tier2,draw,361,2140.0655881262774,336.6929318721894,24.37673130193906,15.732832383281252,4.132836243366692,0.25362091559698197,0.2473244573242616,0.0062964582727202826,13.689436874665168
m12_joint_hybrid_synergy,P4_four_tier_probe,1X2,1X2_away,tier2,away,374,4888.2492773686245,179.87422400126263,25.668449197860966,3.6797269082416775,4.556252392681374,0.32594027587395563,0.2555004656126873,0.07043981026126858,31.268845348218765
m12_joint_hybrid_synergy,P4_four_tier_probe,OU1.5,O/U 1.5_under_15,tier3,under_15,114,99.18906913171975,-3.3035347523568803,17.543859649122805,-3.330543154881207,5.004473828369926,0.24806683798355902,0.20728000411355887,0.040786833870000073,0.6344863952157318
m12_joint_hybrid_synergy,P4_four_tier_probe,OU3.5,O/U 3.5_over_35,tier3,over_35,86,75.97151316479673,-0.5736974066356004,25.581395348837212,-0.7551480584454612,3.7315903112496827,0.301178029062023,0.2720773512194873,0.02910067784253576,0.48596979434300946
m13_joint_composite,P0_flat_benchmark,1X2,1X2_home,tier1,home,307,4864.354979665849,580.7326545345325,39.413680781758956,11.938533617758818,3.279557833181327,0.40184393173991334,0.334749325390885,0.06709460634902792,33.11914770030729
m13_joint_composite,P0_flat_benchmark,OU2.5,O/U 2.5_under_25,tier1,under_25,229,1892.1190218419715,349.38635896177925,49.34497816593886,18.465347841683492,2.2514565928788426,0.4931566777771473,0.44860523353088727,0.04455144424625982,12.882565029259013
m13_joint_composite,P0_flat_benchmark,1X2,1X2_draw,tier2,draw,359,2506.884380673816,334.51596137455977,25.069637883008355,13.343892680229892,4.1305351731596955,0.2533094866727018,0.2475526280953145,0.005756858577387303,17.068218585649525
m13_joint_composite,P0_flat_benchmark,1X2,1X2_away,tier2,away,365,5424.081716467755,196.7383847393198,26.301369863013697,3.627127964204766,4.582151019935262,0.3248316820828946,0.2547150078022631,0.07011667428063167,36.93006868478419
m13_joint_composite,P1_conservative_tilt,1X2,1X2_home,tier1,home,307,5769.062580986841,727.128516533403,39.413680781758956,12.603928390893314,3.279557833181327,0.40184393173991334,0.334749325390885,0.06709460634902792,37.539270154175874
m13_joint_composite,P1_conservative_tilt,OU2.5,O/U 2.5_under_25,tier1,under_25,229,2353.275960071746,435.4186747739673,49.34497816593886,18.502661063205373,2.2514565928788426,0.4931566777771473,0.44860523353088727,0.04455144424625982,15.312758489326288
m13_joint_composite,P1_conservative_tilt,1X2,1X2_draw,tier2,draw,359,2251.9742631004897,357.266690787299,25.069637883008355,15.864599193750054,4.1305351731596955,0.2533094866727018,0.2475526280953145,0.005756858577387303,14.653588699382713
