model,policy,tau1,tau2,tau3,window,date_from,date_to,n_slates,return_pct,annual_sharpe,annual_sortino,calmar_ratio,max_drawdown_pct,n_bets,total_turnover
m12_joint_hybrid_synergy,P0_flat_benchmark,0.3,0.3,0.0,full,2024-08-03,2026-04-25,100,143.91485283735838,1.5156237277388753,1.8856968962009846,7.825424015008028,-18.390677944268653,1255,7.518747356746393
m12_joint_hybrid_synergy,P0_flat_benchmark,0.3,0.3,0.0,first_half,2024-08-03,2025-05-03,50,86.88576344872894,2.456447463489371,3.436539553746396,7.065102172588508,-12.297877840441163,618,3.2600004242769436
m12_joint_hybrid_synergy,P0_flat_benchmark,0.3,0.3,0.0,second_half,2025-05-04,2026-04-25,50,30.51548086715279,0.921514104126797,1.1047104795483478,1.6592906993220846,-18.390677944268663,637,4.258746932469449
m12_joint_hybrid_synergy,P1_conservative_tilt,0.35,0.25,0.0,full,2024-08-03,2026-04-25,100,160.76145847185356,1.644838116937195,2.0879280852015616,8.056488181309733,-19.95428465280995,1255,7.469260203506025
m12_joint_hybrid_synergy,P1_conservative_tilt,0.35,0.25,0.0,first_half,2024-08-03,2025-05-03,50,95.91700237478003,2.6987613805013093,3.677199916323358,7.869315063087329,-12.188735818279639,618,3.243457117675501
m12_joint_hybrid_synergy,P1_conservative_tilt,0.35,0.25,0.0,second_half,2025-05-04,2026-04-25,50,33.097921727604465,0.9912118618459069,1.2488686198833752,1.6586874600359922,-19.954284652809918,637,4.225803085830524
m12_joint_hybrid_synergy,P2_conviction_tilt,0.4,0.2,0.0,full,2024-08-03,2026-04-25,100,168.97603985860653,1.742072477191068,2.182796214410821,7.930492476668098,-21.30713071801561,1255,7.1923677852084955
m12_joint_hybrid_synergy,P2_conviction_tilt,0.4,0.2,0.0,first_half,2024-08-03,2025-05-03,50,99.78021770924539,2.920841325442191,3.830983941295683,8.515251885199385,-11.717823389661131,618,3.119658294354705
m12_joint_hybrid_synergy,P2_conviction_tilt,0.4,0.2,0.0,second_half,2025-05-04,2026-04-25,50,34.63597294205905,1.040227727971314,1.3175526726810434,1.6255578191376858,-21.30713071801561,637,4.072709490853791
m12_joint_hybrid_synergy,P3_aggressive_tilt,0.5,0.25,0.0,full,2024-08-03,2026-04-25,100,168.9760398586063,1.7420724771910652,2.1827962144108155,7.930492476668095,-21.30713071801559,1255,7.1923677852085
m12_joint_hybrid_synergy,P3_aggressive_tilt,0.5,0.25,0.0,first_half,2024-08-03,2025-05-03,50,99.78021770924524,2.9208413254421854,3.8309839412956705,8.515251885199357,-11.717823389661152,618,3.119658294354708
m12_joint_hybrid_synergy,P3_aggressive_tilt,0.5,0.25,0.0,second_half,2025-05-04,2026-04-25,50,34.63597294205907,1.0402277279713132,1.317552672681042,1.6255578191376867,-21.30713071801561,637,4.072709490853792
m12_joint_hybrid_synergy,P4_four_tier_probe,0.4,0.25,0.05,full,2024-08-03,2026-04-25,100,165.70120624767188,1.6894202095795336,2.1321497757932786,7.999984600342322,-20.712690652002188,1455,7.509907224167266
m12_joint_hybrid_synergy,P4_four_tier_probe,0.4,0.25,0.05,first_half,2024-08-03,2025-05-03,50,98.81922961453544,2.780668252445969,3.6468987149528385,8.093023044053696,-12.21042236956712,710,3.270250642641737
m12_joint_hybrid_synergy,P4_four_tier_probe,0.4,0.25,0.05,second_half,2025-05-04,2026-04-25,50,33.639591483582954,1.012519731897447,1.290620721311525,1.6241053395122866,-20.712690652002173,745,4.23965658152553
m13_joint_composite,P0_flat_benchmark,0.3,0.3,0.0,full,2024-08-03,2026-04-25,100,146.13733596101883,1.548396741054269,1.8960065706518714,7.628182010736419,-19.157557561596626,1260,7.5609359880004146
m13_joint_composite,P0_flat_benchmark,0.3,0.3,0.0,first_half,2024-08-03,2025-05-03,50,81.80655019411371,2.397339901854032,3.420955964467256,6.679259150104911,-12.247847905830811,612,3.269041632901329
m13_joint_composite,P0_flat_benchmark,0.3,0.3,0.0,second_half,2025-05-04,2026-04-25,50,35.38419583794954,1.050869488844797,1.1976705514439567,1.8470097622925048,-19.157557561596615,648,4.2918943550990845
m13_joint_composite,P1_conservative_tilt,0.35,0.25,0.0,full,2024-08-03,2026-04-25,100,165.33916174649187,1.6890519468602831,2.0893373678467295,8.472701392151029,-19.514338354902883,1260,7.515782428877909
m13_joint_composite,P1_conservative_tilt,0.35,0.25,0.0,first_half,2024-08-03,2025-05-03,50,90.5153284690511,2.654680374738037,3.6088753687363013,7.4809791557414265,-12.099395892526088,612,3.2559671194031785
m13_joint_composite,P1_conservative_tilt,0.35,0.25,0.0,second_half,2025-05-04,2026-04-25,50,39.27444257567754,1.141654082163608,1.3766923990143425,2.0125941172794133,-19.514338354902872,648,4.25981530947473
m13_joint_composite,P2_conviction_tilt,0.4,0.2,0.0,full,2024-08-03,2026-04-25,100,176.55324730271212,1.798336781384135,2.2927382560387106,8.40550844099602,-21.004469692947126,1260,7.2436425265147015
m13_joint_composite,P2_conviction_tilt,0.4,0.2,0.0,first_half,2024-08-03,2025-05-03,50,94.65181200215437,2.897645985946691,3.9238331092473686,8.148996333609471,-11.615149661041734,612,3.142453562624308
m13_joint_composite,P2_conviction_tilt,0.4,0.2,0.0,second_half,2025-05-04,2026-04-25,50,42.07586585407761,1.2098682358025699,1.5429843046959544,2.0031862964960183,-21.004469692947126,648,4.101188963890392
m13_joint_composite,P3_aggressive_tilt,0.5,0.25,0.0,full,2024-08-03,2026-04-25,100,176.55324730271226,1.798336781384137,2.2927382560387146,8.40550844099603,-21.004469692947115,1260,7.243642526514702
m13_joint_composite,P3_aggressive_tilt,0.5,0.25,0.0,first_half,2024-08-03,2025-05-03,50,94.65181200215444,2.8976459859466925,3.9238331092473726,8.148996333609468,-11.615149661041746,612,3.1424535626243095
m13_joint_composite,P3_aggressive_tilt,0.5,0.25,0.0,second_half,2025-05-04,2026-04-25,50,42.075865854077676,1.209868235802572,1.5429843046959573,2.0031862964960236,-21.004469692947104,648,4.101188963890393
m13_joint_composite,P4_four_tier_probe,0.4,0.25,0.05,full,2024-08-03,2026-04-25,100,172.25751529988761,1.7437547057924148,2.223799461789069,8.414774010969573,-20.470842719641812,1459,7.556808897256795
m13_joint_composite,P4_four_tier_probe,0.4,0.25,0.05,first_half,2024-08-03,2025-05-03,50,94.09704578195341,2.7615598599470506,3.725669608637176,7.7743783423613495,-12.103481672513105,704,3.2849692568584574
m13_joint_composite,P4_four_tier_probe,0.4,0.25,0.05,second_half,2025-05-04,2026-04-25,50,40.26875793140044,1.169362945980204,1.4902922466951887,1.967127513161071,-20.470842719641823,755,4.271839640398338
