model,tau1,tau2,final_bankroll,total_return_pct,annual_sharpe,annual_sortino,calmar_ratio,max_drawdown_pct,n_bets,total_turnover,n_capped,mean_k_risk
m12_joint_hybrid_synergy,0.25,0.1,2688.6302385893146,168.86302385893143,1.783774713783772,2.1560932344896577,7.707452434092505,-21.909058187890558,1255,6.927152630509067,0,0.48192606043582953
m12_joint_hybrid_synergy,0.25,0.15,2661.1229557219453,166.11229557219454,1.6973889575347783,2.1454866156505394,7.98445390987254,-20.80446545840807,1255,7.359875275136161,0,0.4224784998142715
m12_joint_hybrid_synergy,0.25,0.2,2559.64283844096,155.964283844096,1.605314874542267,2.024376330801332,8.122992990500233,-19.20034696896757,1255,7.5105951242009015,0,0.3737141412773578
m12_joint_hybrid_synergy,0.25,0.25,2439.148528373585,143.91485283735852,1.515623727738873,1.8856968962009815,7.825424015008031,-18.39067794426866,1255,7.518747356746391,0,0.33349435918140413
m12_joint_hybrid_synergy,0.25,0.3,2322.108275145269,132.21082751452693,1.4325414610051779,1.7439465126922913,7.400682173517326,-17.864681175963945,1255,7.452427906747527,0,0.30004598153478507
m12_joint_hybrid_synergy,0.25,0.35,2216.6449544556426,121.66449544556426,1.3578672636105358,1.6770301912781858,6.781939352061258,-17.93948443502173,1255,7.3474921851689015,0,0.2720127568782029
m12_joint_hybrid_synergy,0.3,0.1,2661.81005844051,166.18100584405101,1.8082028540298132,2.2401344085952504,7.538921911341921,-22.043072974935605,1255,6.674100091826519,0,0.42193286655937856
m12_joint_hybrid_synergy,0.3,0.15,2689.7603985860633,168.97603985860633,1.7420724771910665,2.182796214410819,7.930492476668106,-21.307130718015568,1255,7.192367785208497,0,0.3772898125217277
m12_joint_hybrid_synergy,0.3,0.2,2631.816315021544,163.1816315021544,1.666821439810786,2.099136572880213,8.023851720768924,-20.33706967437787,1255,7.432380908876073,0,0.3392862447368057
m12_joint_hybrid_synergy,0.3,0.25,2540.0076750140765,154.00076750140767,1.5900501146304231,2.00020428583531,8.151132582713135,-18.893174161835056,1255,7.5194354424106695,0,0.30705968728738686
m12_joint_hybrid_synergy,0.3,0.3,2439.1485283735838,143.91485283735838,1.5156237277388753,1.8856968962009846,7.825424015008028,-18.390677944268656,1255,7.518747356746391,0,0.2795786326511705
m12_joint_hybrid_synergy,0.3,0.35,2340.9250573416016,134.09250573416017,1.4458300514509352,1.7427184354751726,7.476724631029919,-17.93465887156645,1255,7.466875637734585,0,0.25601013542147794
m12_joint_hybrid_synergy,0.35,0.1,2624.150824130312,162.41508241303117,1.8224707607777957,2.28691625586578,7.403355003600841,-21.938037867161007,1255,6.443372947479066,0,0.37505013151646244
m12_joint_hybrid_synergy,0.35,0.15,2692.9717631971284,169.29717631971286,1.772318087535793,2.1690751355748996,7.774133846762609,-21.776982446760094,1255,7.015193819937426,0,0.3405120031193076
m12_joint_hybrid_synergy,0.35,0.2,2671.5172184309363,167.1517218430936,1.710342603266438,2.164313899748207,7.970153304681909,-20.972209122364514,1255,7.320026922202682,0,0.3101920524266526
m12_joint_hybrid_synergy,0.35,0.25,2607.6145847185358,160.76145847185356,1.644838116937195,2.0879280852015616,8.056488181309733,-19.954284652809957,1255,7.4692602035060265,0,0.2838893728421131
m12_joint_hybrid_synergy,0.35,0.3,2525.7778022079087,152.57778022079088,1.5792057787447855,1.961015133520855,8.133607580962888,-18.758930610066166,1255,7.523632304529484,0,0.26102703347572065
m12_joint_hybrid_synergy,0.35,0.35,2439.148528373584,143.91485283735844,1.5156237277388724,1.885696896200982,7.825424015008026,-18.390677944268667,1255,7.518747356746393,0,0.24106739941529007
m12_joint_hybrid_synergy,0.4,0.1,2582.612984381472,158.2612984381472,1.8302075268035698,2.353121735653614,7.29021563362962,-21.70872665385795,1255,6.236243852990139,0,0.3375669728537498
m12_joint_hybrid_synergy,0.4,0.15,2681.572325677917,168.1572325677917,1.7933771524209003,2.19461013687838,7.646623532790083,-21.991043739331946,1255,6.840651126878531,0,0.31011106950041345
m12_joint_hybrid_synergy,0.4,0.2,2689.760398586065,168.97603985860653,1.742072477191068,2.182796214410821,7.930492476668098,-21.30713071801561,1255,7.192367785208494,0,0.2854673593912954
m12_joint_hybrid_synergy,0.4,0.25,2650.878329471541,165.08783294715408,1.68597123236363,2.128451856939081,7.998290324105758,-20.64039016558349,1255,7.390217886798593,0,0.263651493053937
m12_joint_hybrid_synergy,0.4,0.3,2588.1799075549707,158.81799075549705,1.6283416075838362,2.038253233207138,8.083084661515667,-19.648190932806205,1255,7.490043141652661,0,0.24438973025197192
