model,split,subset,n_obs,n_clusters,beta_intercept,se_intercept,beta_mkt,se_mkt,z_mkt,p_mkt,beta_edge,se_edge_naive,se_edge,z_edge_naive,z_edge,p_edge_naive,p_edge,mean_spread,sd_spread,deviance,nulldeviance,pseudo_r2
m05_joint_production_wealth,all,all,2899,627,-2.2338019767698865,0.13505939097419098,4.500771824963976,0.3304064060559467,13.621926640858998,2.9663749951688944e-42,2.031428464210609,0.7423337272699138,0.8289488873894945,2.7365434030346547,2.450607625046622,0.006208840387012794,0.014261532060428177,-9.13812863958787e-8,0.06485826846642824,3710.6905819535377,3895.875497625732,0.04753358154926968
m05_joint_production_wealth,all,1X2,1785,595,-2.275690815792198,0.2840433402812291,4.654799216979516,0.832999739684276,5.587996004349029,2.2970492821708384e-8,1.9207391164143885,1.1070199806538783,1.374967002690903,1.735053702716255,1.3969346992730536,0.08273129360043784,0.16243320885376503,-7.561781844873779e-8,0.07346467393059464,2182.2974080956865,2272.3555808125334,0.03963207760144849
m05_joint_production_wealth,all,BTTS,356,178,-2.113066606548159,1.2071437124398654,4.226133564728878,2.4142879868000873,1.7504678761750467,0.08003761256961646,1.6152843238949457,3.7204605426043424,5.183475327088525,0.43416246601670394,0.3116218795242583,0.6641704670551409,0.7553279042224961,-1.0971730136110817e-7,0.03329562219189438,486.37567675232674,493.5207925586821,0.014477841489334509
m05_joint_production_wealth,all,OU2.5,758,379,-2.3289199547043085,1.0471086389659365,4.657840719868622,2.0942176287959087,2.224143592252489,0.02613878477463739,3.4211737743713098,1.7546192352191263,2.4807462708060855,1.9498097967357888,1.3790905642517182,0.051198793463058515,0.16786683272627229,-1.1989074412502248e-7,0.0535257291805085,1040.7259721500157,1050.8111257288774,0.0095974940994904
m05_joint_production_wealth,24/25,all,1372,318,-2.2808873544572466,0.20044790097165607,4.632755830276758,0.500694444543065,9.252660741032631,2.1897255943335277e-20,3.00562987297314,1.221492750305894,1.3834647758709981,2.4606203124991537,2.1725380547407602,0.013869706010898993,0.02981510250022271,-8.76069485699866e-8,0.0538614412393246,1755.2694879628982,1834.0749815188678,0.04296743282038984
m05_joint_production_wealth,24/25,1X2,912,304,-2.5504126606209856,0.40897556601361945,5.48377412265606,1.195104057806626,4.588532761507335,4.4637226215416665e-6,4.3006693116849,1.6831568830829833,2.090628643204508,2.5551208891517616,2.057117760088109,0.010615092419392961,0.03967489973850156,-7.234316995723377e-8,0.06020180485866902,1120.0369873802786,1161.001842969737,0.0352840573316181
m05_joint_production_wealth,24/25,BTTS,84,42,-0.48927416783284333,2.730062316501395,0.978546523783168,5.460125625363133,0.17921685157529474,0.8577674322973236,-9.43385246671158,8.175422047719419,11.82566065017957,-1.1539284958803084,-0.7977442229892102,0.24852948532318975,0.4250189351397693,-9.569721353910744e-8,0.030037645445693307,114.46688691908952,116.44872633407087,0.017018987475189706
m05_joint_production_wealth,24/25,OU2.5,376,188,-2.276223821529532,1.6232515697576269,4.552448422115832,3.2465034934316166,1.4022619816446915,0.1608370288801845,3.206381132398303,2.798128596040995,4.020112371168433,1.1459019921153497,0.797584951951574,0.2518357068836836,0.42511138640470464,-1.228223311163282e-7,0.04002533207374976,517.1176448905584,521.2466797810799,0.007921460319432083
m05_joint_production_wealth,25/26,all,1527,309,-2.190427294684678,0.18531427873381728,4.384054932736621,0.44514521983314936,9.84859487962123,6.950890218326216e-23,1.4853983208471486,0.9497447315206538,1.0490925343155773,1.5639974316770886,1.4158887536228777,0.11781817157241578,0.15680807821285425,-9.477250545058799e-8,0.07336405422367681,1954.3838161052972,2061.075057505323,0.05176485010165632
m05_joint_production_wealth,25/26,1X2,873,291,-2.0055792628287286,0.3962999869632016,3.8311298938803398,1.1668866179337694,3.2832066415023267,0.0010263340328704824,0.10669983835818557,1.5029807923441156,1.8578683299806897,0.0709921503333198,0.05743132418824028,0.943404002855512,0.9542016110793312,-7.903875707846524e-8,0.08517826441486909,1058.72989973845,1111.3537378427402,0.04735111451232332
m05_joint_production_wealth,25/26,BTTS,272,136,-2.647759128737714,1.3712493717911078,5.295519330319089,2.7424994463487518,1.9309098994967238,0.05349419574428432,4.764711055050107,4.231634559838876,5.984615198481789,1.1259741330857096,0.7961599696934308,0.26017646834414115,0.42593906126731884,-1.1404703436557359e-7,0.034291180987386434,369.29801345678004,377.072066224611,0.020616888558380175
m05_joint_production_wealth,25/26,OU2.5,382,191,-2.387688048309956,1.4142020938909756,4.775376924994828,2.8284047102883285,1.6883640829844413,0.09134136070159941,3.5858152755886135,2.3417734020659955,3.2887876464122723,1.531239219142672,1.0903152350077596,0.12571028117565825,0.2755743064161832,-1.170052030031261e-7,0.06415302379757373,523.597023913552,529.5644459477993,0.011268547350392843
m05_hierarchical_kappa,all,all,2899,627,-2.2264862735191864,0.13450070750596396,4.4825834852782105,0.3290255295789732,13.623816641262465,2.890577049224902e-42,2.0020700757807606,0.7528531758772534,0.837248405096196,2.659310128363172,2.39124979348361,0.007830085051065066,0.016791124446502107,-1.0199832537845505e-7,0.0638844185855633,3711.1067376632136,3895.875497625732,0.047426761988447086
m05_hierarchical_kappa,all,1X2,1785,595,-2.253549507480841,0.2827187278145892,4.589000762688551,0.8293146310125559,5.5334858340622635,3.139283482701395e-8,1.8053765145385638,1.1220439090819418,1.388065694551649,1.6090070093742819,1.3006419808694343,0.10761480895569217,0.19338103026143624,-8.471145770739953e-8,0.07239894923806793,2182.7168723645195,2272.3555808125334,0.03944748313376267
m05_hierarchical_kappa,all,BTTS,356,178,-2.0033904215703515,1.2125445779844057,4.006781004222833,2.4250898218878794,1.6522196283449995,0.0984897865002065,0.6577694054203702,3.8746538017105383,5.378473125096175,0.1697621101348424,0.1222966797679422,0.8651972260679363,0.9026640614233947,-1.2334401134201e-7,0.032211817675711504,486.53543843721786,493.5207925586821,0.014154123244227157
