model,match_id,selection,prob_model,prob_fair,y,spread,family,odds_close,season,match_date,logloss_model,logloss_market,split
m05_joint_production_wealth,12473322,away,0.3103185521755222,0.2785869128041913,0.0,0.03173163937133089,1X2,3.6,24/25,2025-04-26,0.3715254578127518,0.3265433692913231,all
m05_joint_production_wealth,12473322,draw,0.243215733891644,0.26392444370923385,0.0,-0.02070870981758985,1X2,3.8,24/25,2025-04-26,0.27867705148654076,0.3064225075184747,all
m05_joint_production_wealth,12473322,home,0.4464654615769183,0.45748864348657486,1.0,-0.011023181909656565,1X2,2.1922137311470102,24/25,2025-04-26,0.8063932353486468,0.7820032175548205,all
m05_joint_production_wealth,12473328,away,0.3045264497356859,0.2542793970612376,0.0,0.05024705267444829,1X2,3.9275914786936292,24/25,2025-04-26,0.36316229815586143,0.2934042758228285,all
m05_joint_production_wealth,12473328,draw,0.2704321221246879,0.2728502061608147,0.0,-0.0024180840361267553,1X2,3.660270619390499,24/25,2025-04-26,0.3153028682261679,0.3186227788774221,all
m05_joint_production_wealth,12473328,home,0.42504138438236155,0.47287039677794784,1.0,-0.04782901239558629,1X2,2.1120070106102373,24/25,2025-04-26,0.8555687397810382,0.7489339306193903,all
m05_joint_production_wealth,12473330,away,0.28003458823128313,0.17587009631010161,0.0,0.10416449192118152,1X2,5.681986994331258,24/25,2025-05-03,0.3285521073360713,0.19342711138903795,all
m05_joint_production_wealth,12473330,draw,0.2328415325310015,0.20046878765699017,0.0,0.032372744874011344,1X2,4.984773997015484,24/25,2025-05-03,0.2650618920855209,0.2237297076415072,all
m05_joint_production_wealth,12473330,home,0.4871232792564286,0.6236611160329083,1.0,-0.13653783677647968,1X2,1.6022990278474478,24/25,2025-05-03,0.7192380477771732,0.47214814141644385,all
m05_joint_production_wealth,12473330,over_25,0.5860623024170954,0.5970873786407767,1.0,-0.011025076223681207,OU2.5,1.66,24/25,2025-05-03,0.5343291769385846,0.5156918134171636,all
m05_joint_production_wealth,12473330,under_25,0.4139370976016181,0.40291262135922323,0.0,0.011024476242394887,OU2.5,2.46,24/25,2025-05-03,0.5343281531891013,0.5156918134171635,all
m05_joint_production_wealth,12473331,away,0.385197422812419,0.4474001698859475,1.0,-0.06220274707352852,1X2,2.246198530966202,24/25,2025-05-03,0.9539992895986713,0.8043018502079244,all
m05_joint_production_wealth,12473331,draw,0.25126782334986975,0.24129557175582192,0.0,0.009972251594047826,1X2,4.164807489168508,24/25,2025-05-03,0.28937393397586075,0.2761430000343711,all
m05_joint_production_wealth,12473331,home,0.36353463935751307,0.3113042583582306,0.0,0.052230380999282455,1X2,3.228190997616896,24/25,2025-05-03,0.4518252840799031,0.3729556996337435,all
m05_joint_production_wealth,12473333,away,0.4353727928757618,0.4875956851219247,1.0,-0.05222289224616289,1X2,2.02,24/25,2025-05-03,0.8315526197874049,0.7182687306309006,all
m05_joint_production_wealth,12473333,draw,0.2603434508038649,0.2558294244016332,0.0,0.004514026402231697,1X2,3.85,24/25,2025-05-03,0.3015693232301283,0.29548500214962564,all
m05_joint_production_wealth,12473333,home,0.3042836782665585,0.2565748904764422,0.0,0.04770878779011628,1X2,3.838814009107886,24/25,2025-05-03,0.3628132854488568,0.2964872450905885,all
m05_joint_production_wealth,12473333,over_25,0.48035944364023586,0.511221945137157,0.0,-0.030862501496921158,OU2.5,1.96,24/25,2025-05-03,0.6546179441913259,0.7158467680760517,all
m05_joint_production_wealth,12473333,under_25,0.5196404783059494,0.48877805486284287,1.0,0.030862423443106524,OU2.5,2.05,24/25,2025-05-03,0.6546180943986561,0.715846768076052,all
m05_joint_production_wealth,12473334,away,0.33046864600054077,0.23084610944813527,0.0,0.0996225365524055,1X2,4.386367157697048,24/25,2025-05-03,0.40117728298414745,0.2624642117446297,all
m05_joint_production_wealth,12473334,draw,0.2653308459297643,0.2633160753228534,1.0,0.0020147706069109095,1X2,3.8454765502786468,24/25,2025-05-03,1.3267777564863725,1.334400161085464,all
m05_joint_production_wealth,12473334,home,0.40420045551225897,0.5058378152290113,0.0,-0.1016373597167523,1X2,2.0017795476738107,24/25,2025-05-03,0.5178510032421176,0.7048915064228908,all
m05_joint_production_wealth,12473335,away,0.29961965459917395,0.20493905261217946,0.0,0.09468060198699449,1X2,4.887590063544834,24/25,2025-04-26,0.3561317409275968,0.22933650388538565,all
m05_joint_production_wealth,12473335,draw,0.2568439734274381,0.26648148713474396,0.0,-0.009637513707305867,1X2,3.758828006964329,24/25,2025-04-26,0.2968492609232948,0.30990244263749717,all
m05_joint_production_wealth,12473335,home,0.44353626572538773,0.5285794602530766,1.0,-0.08504319452768883,1X2,1.895,24/25,2025-04-26,0.8129757089287497,0.6375621344471905,all
m05_joint_production_wealth,12473335,over_25,0.49282363632550114,0.5087281795511222,0.0,-0.015904543225621015,OU2.5,1.9700000000000002,24/25,2025-04-26,0.678896478533142,0.7107576985685806,all
m05_joint_production_wealth,12473335,under_25,0.5071762574264986,0.4912718204488778,1.0,0.01590443697762084,OU2.5,2.04,24/25,2025-04-26,0.678896688022422,0.7107576985685807,all
m05_joint_production_wealth,12473336,away,0.2752152476532514,0.2010816582964621,0.0,0.07413358935678929,1X2,5.0021259057849585,24/25,2025-04-26,0.32188056152383726,0.22449653906005604,all
m05_joint_production_wealth,12473336,draw,0.26037506225686724,0.2423700655766101,1.0,0.01800499668025715,1X2,4.15,24/25,2025-04-26,1.3456321402964027,1.4172895242583914,all
m05_joint_production_wealth,12473336,home,0.46440959320890374,0.5565482761269278,0.0,-0.09213868291802407,1X2,1.8072749755737965,24/25,2025-04-26,0.6243855764698572,0.8131663357547337,all
m05_joint_production_wealth,12473337,away,0.33598237769703515,0.5795146532965145,0.0,-0.24353227559947938,1X2,1.73,24/25,2025-05-03,0.4094465902449737,0.8663456474926409,all
m05_joint_production_wealth,12473337,draw,0.2589952782085022,0.217947902218037,0.0,0.04104737599046521,1X2,4.6,24/25,2025-05-03,0.29974828151809635,0.24583391945136368,all
m05_joint_production_wealth,12473337,home,0.4050222654763549,0.20253744448544853,1.0,0.20248482099090637,1X2,4.949999999999999,24/25,2025-05-03,0.9038132369019226,1.5968304984902302,all
m05_joint_production_wealth,12473337,btts_no,0.4639406463918796,0.3971291866028708,0.0,0.06681145978900882,BTTS,2.52,24/25,2025-05-03,0.6235103896984217,0.506052345013333,all
m05_joint_production_wealth,12473337,btts_yes,0.5360592749900127,0.6028708133971292,1.0,-0.06681153840711651,BTTS,1.66,24/25,2025-05-03,0.6235105363577663,0.506052345013333,all
m05_joint_production_wealth,12473337,over_25,0.4954654419568093,0.6090133982947624,1.0,-0.11354795633795312,OU2.5,1.605,24/25,2025-05-03,0.70225767142471,0.4959150110302366,all
m05_joint_production_wealth,12473337,under_25,0.5045344794250829,0.3909866017052375,0.0,0.11354787771984537,OU2.5,2.5,24/25,2025-05-03,0.7022575127494626,0.4959150110302364,all
m05_joint_production_wealth,12476452,away,0.29894249592199496,0.16735857285551084,0.0,0.13158392306648412,1X2,5.9924764729723865,24/25,2025-05-03,0.35516536381693176,0.18315218910008563,all
