model,split,source,bin,lower,upper,n,predicted,observed
m12_hierarchical_kappa,all,model,2,0.1,0.2,4,0.19614179058749903,0.0
m12_hierarchical_kappa,all,model,3,0.2,0.3,777,0.25703502292503067,0.25225225225225223
m12_hierarchical_kappa,all,model,4,0.3,0.4,585,0.35081483697496096,0.3367521367521368
m12_hierarchical_kappa,all,model,5,0.4,0.5,920,0.4536793803180644,0.4532608695652174
m12_hierarchical_kappa,all,model,6,0.5,0.6,610,0.5361588717512124,0.5557377049180328
m12_hierarchical_kappa,all,model,7,0.6,0.7,3,0.6101269828343149,1.0
m12_hierarchical_kappa,all,model,8,0.7,0.8,0,NaN,NaN
m12_hierarchical_kappa,all,model,9,0.8,0.9,0,NaN,NaN
m12_hierarchical_kappa,all,model,10,0.9,1.0,0,NaN,NaN
m12_hierarchical_kappa,all,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
m12_hierarchical_kappa,all,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
m12_hierarchical_kappa,all,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
m12_hierarchical_kappa,all,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
m12_hierarchical_kappa,all,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
m12_hierarchical_kappa,all,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
m12_hierarchical_kappa,all,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
m12_hierarchical_kappa,all,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
m12_hierarchical_kappa,all,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
m12_hierarchical_kappa,all,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
