model,fold,team,team_idx,δ_mean,δ_lo,δ_hi,κ_mean,κ_lo,κ_hi,p_over,separated
m05_hierarchical_kappa,40,east-kilbride,9,0.02153398696600078,-0.04263117391236309,0.09637928619493431,1.135279980779504,1.029708339110504,1.2493584309996009,0.65875,false
m05_hierarchical_kappa,40,alloa-athletic,1,0.007206301654630901,-0.058090491895171695,0.07742451910276596,1.1186244627774837,1.016899554774244,1.2169475300220947,0.5553125,false
m05_hierarchical_kappa,40,the-spartans-fc,23,0.006895022003547941,-0.06406180061807962,0.06916315476932926,1.1182319076182194,1.0135194389473277,1.2093384923041106,0.560625,false
m05_hierarchical_kappa,40,queen-of-the-south,19,0.005000563845062869,-0.06192861327267081,0.07158328533712963,1.1161346110360821,1.013244503330827,1.212224967273213,0.53375,false
m05_hierarchical_kappa,40,inverness-caledonian-thistle,15,0.0034114595691374016,-0.061469681479825344,0.06619164723606039,1.1143946093878438,1.0193427249515359,1.2159504600073257,0.53,false
m05_hierarchical_kappa,40,falkirk-fc,12,0.003341265419384223,-0.06697049097529405,0.07351784799372223,1.114549938218032,1.0031559042378746,1.2144222380858571,0.526875,false
m05_hierarchical_kappa,40,arbroath,3,0.0032500548374008596,-0.07108382315409621,0.0667865330071225,1.114444094259573,1.0138700620248389,1.2163237440353418,0.53,false
m05_hierarchical_kappa,40,clyde-fc,5,0.0030096978162078795,-0.06199201105722085,0.07703847148233893,1.1138371547545243,1.0123947314876711,1.2102251543273574,0.5075,false
m05_hierarchical_kappa,40,cove-rangers,6,0.0015827188546959213,-0.064736387088213,0.075726885841159,1.1124125751976683,1.0121799287817463,1.2159025610667216,0.501875,false
m05_hierarchical_kappa,40,stenhousemuir,20,0.0009466722906236269,-0.06056730249794356,0.07306479132846412,1.1116973501251588,1.0142831741692835,1.2136710624108282,0.5040625,false
m05_hierarchical_kappa,40,montrose,17,0.0005250449753751145,-0.06120194438004332,0.06998059940780103,1.1111955914020208,1.012508105481971,1.2124365064667704,0.5109375,false
m05_hierarchical_kappa,40,dumbarton,7,0.0005185839560477045,-0.06856049085846336,0.06678930496407123,1.1111488426901865,1.011256550103493,1.2073305685686466,0.49875,false
m05_hierarchical_kappa,40,hamilton-academical,14,0.00014666284839543462,-0.06866692249937535,0.07101798031057623,1.1109308041912456,1.012646141151633,1.224010705405724,0.4909375,false
m05_hierarchical_kappa,40,peterhead,18,7.351925548810208e-5,-0.06999593863241799,0.06924776557204924,1.110768073372535,1.0053157513066049,1.207374467676966,0.50625,false
m05_hierarchical_kappa,40,elgin-city,11,-3.1048360703686204e-5,-0.06772405261033178,0.06977871430218345,1.1105733823713027,1.0110338522570017,1.2137612181197124,0.496875,false
m05_hierarchical_kappa,40,stirling-albion,21,-0.002130825313783521,-0.0657238201754505,0.06409152167040687,1.1083409616027062,1.0062615692657708,1.2089050951231073,0.4759375,false
m05_hierarchical_kappa,40,annan-athletic,2,-0.002634724446084173,-0.07233020498815974,0.06385804221684888,1.1076101545911161,1.0065699849568945,1.2026093335711778,0.4759375,false
m05_hierarchical_kappa,40,bonnyrigg-rose,4,-0.0047828502721926,-0.08535539193932523,0.058478964178690154,1.1055764255432305,1.003819988620485,1.2126849271817726,0.4609375,false
m05_hierarchical_kappa,40,forfar-athletic,13,-0.006304086624384946,-0.07569111652075129,0.06010675719228611,1.1035731532648916,1.0084450706194092,1.2056728368502911,0.4553125,false
m05_hierarchical_kappa,40,stranraer,22,-0.00768138304918871,-0.08230537082972957,0.057185465700630864,1.1021228192424666,0.9996558220886425,1.1930084476065945,0.4384375,false
m05_hierarchical_kappa,40,edinburgh-city-fc,10,-0.008929200029900435,-0.07812449431957437,0.058869675680062655,1.1007802889195193,1.0097186096898507,1.20815729973806,0.42625,false
m05_hierarchical_kappa,40,east-fife,8,-0.011253334692097822,-0.08839245304416862,0.05983569188255158,1.0984223399183024,0.9913375650225965,1.2028277311296454,0.423125,false
m05_hierarchical_kappa,40,kelty-hearts-fc,16,-0.013694101503662858,-0.08147321937564315,0.05513970618235543,1.0956595180242417,0.9974473719653487,1.202813087332115,0.4,false
m12_hierarchical_kappa,40,east-kilbride,9,0.023538111902539134,-0.04240037953944025,0.11196165455420169,1.1381456906830016,1.0133653507261753,1.2472347272762618,0.6559375,false
m12_hierarchical_kappa,40,alloa-athletic,1,0.009676589059026575,-0.06381617153516823,0.08492225238823094,1.1219554513378533,1.018205087623079,1.233354576652245,0.568125,false
m12_hierarchical_kappa,40,the-spartans-fc,23,0.00897977471582035,-0.055366266935621765,0.08502238166286302,1.1211288680359512,1.0211117827465959,1.234128968358543,0.5725,false
m12_hierarchical_kappa,40,montrose,17,0.004213366262745813,-0.06770144132719108,0.07345141608142335,1.1157921288302934,1.0089281348347587,1.2154895577263682,0.5234375,false
m12_hierarchical_kappa,40,queen-of-the-south,19,0.003911683729765279,-0.05673340661078091,0.08067237821378372,1.1154199317560745,1.0165383402836006,1.2227937541600618,0.535625,false
m12_hierarchical_kappa,40,arbroath,3,0.0030845040755662,-0.07515021356097802,0.07299802090911986,1.1147921077863048,1.0025304905133354,1.2228972313170035,0.52625,false
m12_hierarchical_kappa,40,falkirk-fc,12,0.0011822204220978448,-0.07156944591106315,0.08058455538967646,1.112795799014748,1.0012344495625358,1.2289409586411997,0.5153125,false
m12_hierarchical_kappa,40,annan-athletic,2,0.0009627486221371742,-0.06633451779185788,0.07215623865198141,1.1121904098934106,1.0046846399402258,1.2149660610671913,0.5165625,false
m12_hierarchical_kappa,40,dumbarton,7,0.0009018696086872961,-0.06814060799211624,0.07179254500231373,1.1120610601191334,1.0125784851250212,1.225326732416692,0.505625,false
m12_hierarchical_kappa,40,cove-rangers,6,0.0007752763136457386,-0.06759186113721673,0.0789892854834041,1.112003781514109,1.0040914308829252,1.2152452346088014,0.4915625,false
