model,fold,team,team_idx,δ_mean,δ_lo,δ_hi,κ_mean,κ_lo,κ_hi,p_over,separated
m12_hierarchical_kappa,40,clyde-fc,5,0.0004974356857981753,-0.06989221071417172,0.06843248879853245,1.111606936494064,1.0116506612518457,1.214305561444988,0.5053125,false
m12_hierarchical_kappa,40,stirling-albion,21,0.00041908754519353193,-0.06567467996247775,0.07130956351317425,1.1114617553828556,1.0059930204872791,1.2131103441598006,0.4990625,false
m12_hierarchical_kappa,40,inverness-caledonian-thistle,15,-9.301130449771645e-5,-0.07544794479710604,0.06416400625900999,1.1109637767205116,1.0117393216575583,1.218928615520647,0.5028125,false
m12_hierarchical_kappa,40,stenhousemuir,20,-0.001067753965441376,-0.0736445929521122,0.06881726227796377,1.1099448133591936,1.0021869704318893,1.2166229220311315,0.4915625,false
m12_hierarchical_kappa,40,elgin-city,11,-0.00128041379107506,-0.0702355774731664,0.0558088753900876,1.1094516969259298,1.009461812279925,1.2057283390956564,0.480625,false
m12_hierarchical_kappa,40,peterhead,18,-0.001656420927273966,-0.07683643224981969,0.05969452163414956,1.1091467846498508,1.0064410464468323,1.2125871481589792,0.486875,false
m12_hierarchical_kappa,40,hamilton-academical,14,-0.001974081094158713,-0.07213808388235517,0.06824924551874754,1.108919946485601,1.0023245123287217,1.2148357305960549,0.4928125,false
m12_hierarchical_kappa,40,bonnyrigg-rose,4,-0.002246941749962402,-0.07430964786345608,0.07115230506189717,1.1087304651867294,1.0038088394092006,1.2191933081843975,0.4840625,false
m12_hierarchical_kappa,40,stranraer,22,-0.006959197888123805,-0.07818017868502034,0.06116477183683934,1.1033399883442039,1.004173174352206,1.2112921982368825,0.4478125,false
m12_hierarchical_kappa,40,forfar-athletic,13,-0.008687626828118172,-0.08134348562685412,0.05866963452045407,1.1014682553427142,0.9950405355263144,1.2007897732123407,0.43375,false
m12_hierarchical_kappa,40,edinburgh-city-fc,10,-0.009454121839225869,-0.07451249501023208,0.06487794130499114,1.100653464331111,1.0026241065435963,1.2117304195394127,0.439375,false
m12_hierarchical_kappa,40,east-fife,8,-0.01171927060438136,-0.07642256393425848,0.06279108252042996,1.0982098928209714,1.002772317466212,1.2102763904026965,0.39625,false
m12_hierarchical_kappa,40,kelty-hearts-fc,16,-0.013003827950764667,-0.09028327729175101,0.05413407546207075,1.0968279144492055,0.9903904206174174,1.2008906395954775,0.399375,false
