model,config,model_run_id,portfolio_run_id,match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12477133,2024-08-03,1X2_away,away,2.67741700875978,0.0017411890971667906,0.002862286202913567,1.6438686685845845,0.37106550802445837,0.3734943031766333
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12477133,2024-08-03,1X2_home,home,2.8671416766361872,0.0043715370048218755,-0.0043715370048218755,-1.0,0.3811520141830079,0.3487794161512202
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12477134,2024-08-03,1X2_away,away,3.7968694104192666,0.006305656853093598,-0.006305656853093598,-1.0,0.324400414116047,0.2621657767386023
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12477134,2024-08-03,O/U 2.5_under_25,under_25,2.2420906723818654,0.0017004359678768827,0.0020698537415888554,1.217248858934228,0.4569183427521455,0.44359702074250335
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12477135,2024-08-03,1X2_away,away,3.4180258691789964,0.0029488989509375272,-0.0029488989509375272,-1.0,0.3000136411684498,0.2925665393633191
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12477135,2024-08-03,1X2_home,home,2.2653777293536703,0.0046668666219330385,-0.0046668666219330385,-1.0,0.4507927515616666,0.44142748780588914
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12477135,2024-08-03,O/U 2.5_under_25,under_25,2.337142857142857,0.008198436565167486,0.010743231274995473,1.3104,0.4765776744595121,0.42787286063569685
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12477135,2024-08-03,BTTS_btts_yes,btts_yes,1.74,0.002163920287987337,-0.002163920287987337,-1.0,0.5518566251937752,0.5735294117647058
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476632,2024-08-10,1X2_away,away,14.0,0.013648799640759273,-0.013648799640759273,-1.0,0.23268458216737095,0.07026259758694109
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476632,2024-08-10,1X2_draw,draw,6.6,0.009030690389899591,-0.009030690389899591,-1.0,0.2278988782361247,0.149041873669269
