model,split,n_obs,n_matches,logloss,betfair_logloss,delta_logloss,brier,betfair_brier,rps,betfair_rps,ece,betfair_ece,mce,betfair_mce,crps,crps_home,crps_away
m05_joint_production_wealth,all,2899,710,0.6429863825954205,0.6418155553508617,0.0011708272445588586,0.22586363000096762,0.2252928320612554,0.2241528100882081,0.2111040320023605,0.014930352713004068,0.01390748520485936,0.0648855921264766,0.32902138777066514,0.6270457522503458,0.63771835774312,0.6163731467575714
m05_joint_production_wealth,24/25,1372,710,0.640442082735534,0.6427101648750357,-0.0022680821395016926,0.2247435439894817,0.2254417958289032,0.23124879687987598,0.23205367417954367,0.022813154891014705,0.027251694677326826,0.8010070141689847,0.4220734961619283,0.6398418699105932,0.6624124402705586,0.6172712995506277
m05_joint_production_wealth,25/26,1527,710,0.6452724201905485,0.6410117542590714,0.0042606659314771145,0.22687002031384207,0.22515898904277837,0.21676520740099212,0.21032887411940698,0.016600531621180272,0.01793587581287655,0.1888338845689127,0.32902138777066514,0.6138840312283772,0.612318730000612,0.6154493324561421
m05_hierarchical_kappa,all,2899,710,0.6429790702213896,0.6418155553508617,0.0011635148705279041,0.22586280651019547,0.2252928320612554,0.22417828532948675,0.2111040320023605,0.013341393331189392,0.01390748520485936,0.18377563693741664,0.32902138777066514,0.626881159260712,0.6372105843668259,0.6165517341545983
m05_hierarchical_kappa,24/25,1372,710,0.6402158241811744,0.6427101648750357,-0.002494340693861341,0.22463316546664538,0.2254417958289032,0.2311950815951139,0.23205367417954367,0.014572559488122345,0.027251694677326826,0.03905946469971333,0.4220734961619283,0.6394096133506472,0.6613956468440856,0.6174235798572087
m05_hierarchical_kappa,25/26,1527,710,0.6454618295974033,0.6410117542590714,0.00445007533833186,0.22696763133779993,0.22515898904277837,0.2168731275734911,0.21032887411940698,0.018030566762695314,0.01793587581287655,0.18377563693741664,0.32902138777066514,0.6139947493396358,0.6123345201045015,0.6156549785747703
m12_joint_hybrid_synergy,all,2899,710,0.6433697999906764,0.6418155553508617,0.0015542446398147947,0.22604583756864916,0.2252928320612554,0.22447242161176623,0.2111040320023605,0.00995616723169428,0.01390748520485936,0.19640169051638687,0.32902138777066514,0.6283192113476559,0.6383234483339266,0.6183149743613853
m12_joint_hybrid_synergy,24/25,1372,710,0.6400999548407649,0.6427101648750357,-0.0026102100342708656,0.22455455637435112,0.2254417958289032,0.23193043087665666,0.23205367417954367,0.013977290319896753,0.027251694677326826,0.05685708870566186,0.4220734961619283,0.6397651556658315,0.6617492126209056,0.617781098710757
m12_joint_hybrid_synergy,25/26,1527,710,0.6463077355150226,0.6410117542590714,0.00529598125595121,0.22738574444394635,0.22515898904277837,0.21670791881544213,0.21032887411940698,0.01718170815748743,0.01793587581287655,0.390962865960778,0.32902138777066514,0.6165462400489609,0.614228376495891,0.6188641036020311
m12_hierarchical_kappa,all,2899,710,0.6433093705718339,0.6418155553508617,0.00149381522097225,0.22601500729884338,0.2252928320612554,0.22446832976585307,0.2111040320023605,0.009046290714497317,0.01390748520485936,0.3898730171656851,0.32902138777066514,0.628030324128621,0.6377240730746135,0.6183365751826286
m12_hierarchical_kappa,24/25,1372,710,0.639882576386978,0.6427101648750357,-0.002827588488057753,0.22445088602127738,0.2254417958289032,0.2317225338806251,0.23205367417954367,0.014156613264293474,0.027251694677326826,0.3901151051777838,0.4220734961619283,0.6391718110752074,0.6605980722639686,0.6177455498864459
m12_hierarchical_kappa,25/26,1527,710,0.646388323827647,0.6410117542590714,0.005376569568575573,0.22742036053579193,0.22515898904277837,0.2169160076737619,0.21032887411940698,0.015299923720122012,0.01793587581287655,0.38938884114148786,0.32902138777066514,0.616570508983561,0.6141965310512769,0.6189444869158451
