arm,control,candidate,split,n_obs,n_clusters,delta_logloss,se,t,p_value,control_logloss,candidate_logloss,delta_abs_spread,p_abs_spread,mean_abs_prob_shift,max_abs_prob_shift,corr_prob
m05,m05_joint_production_wealth,m05_hierarchical_kappa,all,2899,627,-4.244335137437393e-6,0.00020464723063235734,-0.020739763369005536,0.9834598579510944,0.6429863825954198,0.6429790702213884,-0.0007045000980746192,7.622182460399709e-12,0.0027037908694327486,0.015015079047566715,0.9994366184720251
m05,m05_joint_production_wealth,m05_hierarchical_kappa,24/25,1372,318,-0.00017697651632088608,0.0003033083918556283,-0.5834870418129581,0.5599803795712754,0.6404420827355344,0.6402158241811737,-0.0005086165386182518,0.0012244084590743109,0.0029581266362449987,0.01276317669275423,0.9993195364139593
m05,m05_joint_production_wealth,m05_hierarchical_kappa,25/26,1527,309,0.00017351888044941273,0.00027400083411967794,0.6332786577343894,0.527021625906319,0.6452724201905494,0.6454618295974032,-0.0009060890039229196,6.0803607906123836e-12,0.0024752717652635225,0.015015079047566715,0.9995286744987775
m12,m12_joint_hybrid_synergy,m12_hierarchical_kappa,all,2899,627,1.6290400244349658e-5,0.00022816950861715034,0.07139604385826859,0.943105361223273,0.6433697999906757,0.6433093705718349,-0.0010055436844172774,7.317554782291391e-17,0.0030245703709457002,0.01601400964234867,0.9992520375546885
m12,m12_joint_hybrid_synergy,m12_hierarchical_kappa,24/25,1372,318,-0.00012257159843909735,0.0003655642862710585,-0.33529423699834016,0.7376249176491102,0.640099954840765,0.6398825763869774,-0.0010259743891171944,1.054130672805247e-7,0.0035965586211495764,0.014010652440051674,0.998965123654659
m12,m12_joint_hybrid_synergy,m12_hierarchical_kappa,25/26,1527,309,0.00015919692316129503,0.00027023838159022265,0.5890981222744818,0.5562272701461894,0.6463077355150222,0.6463883238276465,-0.0009845179106484313,6.376622205036646e-12,0.0025106424866760736,0.01601400964234867,0.999473416816127
