model,kappa_global,kappa_global_lo,kappa_global_hi,nu,sigma_kappa,sigma_kappa_lo,sigma_kappa_hi,p_sigma_gt_005,folds_team_separations,max_separated_in_a_fold,delta_max,delta_min
m05_joint_production_wealth,1.0997583714305745,1.020116657494253,1.1779537283582302,3.538354916200317,NaN,NaN,NaN,NaN,0,0,NaN,NaN
m05_hierarchical_kappa,1.0992358002302072,1.018351538592802,1.1778763763192912,3.5366159827409467,0.045694642741456154,6.943442588450205e-5,0.09392425675916173,0.37931250000000005,0,0,0.0327917386170283,-0.03261171476307965
m12_joint_hybrid_synergy,1.0991862230573295,1.019499922216432,1.1780961893477548,3.6080812520557117,NaN,NaN,NaN,NaN,0,0,NaN,NaN
m12_hierarchical_kappa,1.0986728571076647,1.0186849719714748,1.1773365165952479,3.6075368833354853,0.0447217335637266,5.758578285629667e-5,0.09231315499259075,0.3688828125000001,0,0,0.03498772206657487,-0.04304461168396293
