model,config,model_run_id,portfolio_run_id,n_books,n_skipped,n_slates,n_fixtures,n_bets,total_return_pct,cagr_pct,flat_roi_pct,roi_1x2_pct,sharpe,sharpe_ann,sortino,calmar,martin,ulcer,max_drawdown_pct,worst_slate_pct,win_rate_pct,mean_exposure,max_exposure,turnover,total_stake,total_pnl,mean_k_risk,n_capped,span_days,roi_lo,roi_hi,roi_sd,growth_lo,growth_hi,p_roi_positive,bootstrap_B
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,628,82,99,628,1455,131.16761007626744,62.551507279904705,11.644541778350971,12.218272170012893,0.19554841513431168,1.4814832149784734,0.2496059616017959,6.8852521488342076,18.659895229893067,7.029386202883794,-19.050516559292078,-10.312167756194222,34.43298969072165,0.08108537206875734,0.1988731309411878,8.027451834806978,8.027451834806978,0.9347599826411002,0.2681174917304059,0,630,0.7719754463954169,22.45423304680575,5.608817984262486,-0.000295623730177884,0.016875635609497418,0.983,4000
m05_hierarchical_kappa,A_experiment06_baseline,b3e19ad4-f755-4b89-addd-ff7592787deb,3785a35e-e421-42cc-b92a-e9238d9844ce,628,82,99,628,1449,125.14270077451202,60.08168498235784,11.443866232894417,11.73654956395653,0.19535709002959398,1.4800337277451014,0.24919488449632343,6.541493873219029,17.978110072481922,6.960837388912247,-19.130599707025343,-10.314976080700248,34.161490683229815,0.07965597781720671,0.1950472828014151,7.885941803903462,7.885941803903462,0.9024566312426131,0.2680163194777417,0,630,0.7783535621953975,22.592647557970047,5.581140712768006,-0.000255078663230193,0.016588541774112495,0.985,4000
m12_joint_hybrid_synergy,A_experiment06_baseline,132df5c2-c742-4e95-8693-3aeb2b2cbaef,202b593c-dcbd-4384-a3b4-6c7ed4524dcd,628,82,99,628,1462,136.61151177461485,64.75998686445996,11.476834235932518,11.954261802928903,0.18689483315629654,1.4159233052187128,0.22071216433378718,6.753024920297599,17.91262779771317,7.62654778055822,-20.229676831785557,-11.695746236127992,34.47332421340629,0.08560748845816087,0.19752769827013686,8.475141357357925,8.475141357357925,0.9726779248449303,0.26739985909251157,0,630,0.5260486181683847,22.399532898273375,5.499692497462558,-0.0005749359938998901,0.017736905547557594,0.9805,4000
m12_hierarchical_kappa,A_experiment06_baseline,a0847873-de69-4e25-824f-c03e4a4fd8c4,07a62a11-4076-44fe-b6c2-ece6d1d6bcbc,628,82,99,628,1449,131.46137313667774,62.67123507044501,11.413015502740294,11.72886934531393,0.18779552181697667,1.4227469613030772,0.219428812026559,6.600591279159933,17.415762080860343,7.5484134731693295,-19.916605585281598,-11.624389366411503,34.989648033126294,0.08355059153583555,0.19076214413400852,8.27150856204772,8.27150856204772,0.9440285544969971,0.26722294884123166,0,630,0.41948721107908293,22.707429755791953,5.662864131357191,-0.0006477895278457233,0.01720918927296395,0.98175,4000
m05_joint_production_wealth,B_canonical_production,ed541a7c-01e2-447e-a771-783517728d47,625c8666-1ccb-48c2-8757-f4fcce037fc2,628,82,99,628,1242,138.9393412797769,65.69781269025566,13.486609364827148,12.64861711591833,0.2150206216506198,1.6290054901791748,0.28288477628631087,7.668109098132119,22.62415758240197,6.141194021201913,-18.119113786946674,-9.249285371259244,32.689210950080515,0.07177322136061375,0.1750818301889267,7.105548914700761,7.105548914700761,0.9582976253524066,0.8947160743056612,0,630,2.1800396336809156,25.292695754812286,5.967483804536328,0.0005596531021688683,0.016780784867723473,0.99075,4000
m05_hierarchical_kappa,B_canonical_production,b3e19ad4-f755-4b89-addd-ff7592787deb,c7b91c1a-e9ae-4285-9d9d-f01b13f585dc,628,82,99,628,1236,134.0322819163259,63.71633814079003,13.289725622885555,12.158503737401249,0.21641296827500228,1.6395539681713784,0.2819162502603189,7.3898986065893375,22.11061849009366,6.0618965487725776,-18.137228810800405,-9.291691010339145,32.362459546925564,0.07086601003158928,0.17278128085490496,7.01573499312734,7.01573499312734,0.9323719310153922,0.8955567504079763,0,630,1.6547245005210318,25.08597900321631,5.951562793682159,0.00031223298383681173,0.016473825349865134,0.98725,4000
m12_joint_hybrid_synergy,B_canonical_production,132df5c2-c742-4e95-8693-3aeb2b2cbaef,83ce8c26-83ad-4f4f-bf7d-94eb59bdefe0,628,82,99,628,1267,155.9263570615433,72.42869382457759,13.5779038527745,12.639347248570289,0.2159822274053543,1.6362906567916855,0.25649026259957264,7.880349505959475,22.35217557952865,6.975891742920506,-19.78673115242221,-10.385339008248902,32.59668508287293,0.07739218648346781,0.17824788585647597,7.661826461863311,7.661826461863311,1.0403154303582347,0.892360785082073,0,630,2.4158992793494845,25.63330140122921,5.855506857000162,0.0008799685709150264,0.018283451777930552,0.99075,4000
m12_hierarchical_kappa,B_canonical_production,a0847873-de69-4e25-824f-c03e4a4fd8c4,ff3e4f8c-cb49-461a-beb1-78ec7a774a57,628,82,99,628,1264,151.45684824156342,70.67639566781925,13.524984147502241,12.383583643300515,0.21838445776989795,1.6544900574932389,0.2602597299742993,7.814024271318969,22.168880413593364,6.831957474437642,-19.382694880726067,-10.301444467768157,33.22784810126582,0.07594788209576049,0.17287502475262484,7.518840327480288,7.518840327480288,1.0169219623677146,0.8933217014590166,0,630,1.5441824011537562,24.871153527835265,5.940500374196775,0.0007807192122588677,0.017727200183418935,0.988,4000
