mask,n_active,families,oos_information_ratio,mean_daily_return,daily_volatility,rank,selected_for_pure_alpha
1286,4,1X2_draw; 1X2_home; O/U 1.5_under_15; O/U 2.5_under_25,1.8104378322458285,0.006786057798787568,0.02854031588124687,1,true
1414,5,1X2_draw; 1X2_home; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_under_25,1.808710812871541,0.006724863269288197,0.028309953844837366,2,false
1318,5,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 1.5_under_15; O/U 2.5_under_25,1.7970419425631288,0.006762096307367469,0.02865154038645172,3,false
1158,4,1X2_draw; 1X2_home; O/U 1.5_over_15; O/U 2.5_under_25,1.7951977756142408,0.006661360766864486,0.02825371050779915,4,false
1446,6,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_under_25,1.794261817474885,0.006700901777868098,0.028436246768431903,5,false
1030,3,1X2_draw; 1X2_home; O/U 2.5_under_25,1.7915986317388926,0.006722555296363858,0.028570543275852373,6,false
1422,6,1X2_draw; 1X2_home; BTTS_btts_no; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_under_25,1.784122500603769,0.006604074385478326,0.028184616086837533,7,false
1294,5,1X2_draw; 1X2_home; BTTS_btts_no; O/U 1.5_under_15; O/U 2.5_under_25,1.7837788399649075,0.006665268914977696,0.028451260088391,8,false
1798,5,1X2_draw; 1X2_home; O/U 1.5_under_15; O/U 2.5_over_25; O/U 2.5_under_25,1.7810715168808793,0.0067113705418492455,0.028691595306294122,9,false
1190,5,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 1.5_over_15; O/U 2.5_under_25,1.7809463715955567,0.006637399275444388,0.028377356690988634,10,false
1926,6,1X2_draw; 1X2_home; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_over_25; O/U 2.5_under_25,1.7788963659435146,0.006650176012349874,0.02846474710877972,11,false
1062,4,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 2.5_under_25,1.7784749328897127,0.00669859380494376,0.028678783982645086,12,false
1326,6,1X2_draw; 1X2_home; BTTS_btts_no; O/U 0.5_over_05; O/U 1.5_under_15; O/U 2.5_under_25,1.7701916808577813,0.006641307423557598,0.028566571880704727,13,false
1454,7,1X2_draw; 1X2_home; BTTS_btts_no; O/U 0.5_over_05; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_under_25,1.7694484195442501,0.0065801128940582276,0.028315241832338817,14,false
1670,5,1X2_draw; 1X2_home; O/U 1.5_over_15; O/U 2.5_over_25; O/U 2.5_under_25,1.7683284329131703,0.006586673509926165,0.02836142476773158,15,false
1166,5,1X2_draw; 1X2_home; BTTS_btts_no; O/U 1.5_over_15; O/U 2.5_under_25,1.7678357664366238,0.006540571883054614,0.02817076523866635,16,false
1830,6,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 1.5_under_15; O/U 2.5_over_25; O/U 2.5_under_25,1.7669524311035287,0.006687409050429147,0.028817603946446873,17,false
1542,4,1X2_draw; 1X2_home; O/U 2.5_over_25; O/U 2.5_under_25,1.76525278566685,0.006647868039425536,0.02867479502670205,18,false
3334,5,1X2_draw; 1X2_home; O/U 1.5_under_15; O/U 2.5_under_25; O/U 3.5_over_35,1.7647365637184511,0.006850385402766046,0.029556973295024835,19,false
1958,7,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_over_25; O/U 2.5_under_25,1.7637444017217574,0.006626214520929776,0.028605838418478583,20,false
1350,5,1X2_draw; 1X2_home; O/U 0.5_under_05; O/U 1.5_under_15; O/U 2.5_under_25,1.762940095927157,0.006597354916283087,0.028494243451288374,21,false
1478,6,1X2_draw; 1X2_home; O/U 0.5_under_05; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_under_25,1.7623465901065585,0.006536160386783716,0.0282394487997805,22,false
1038,4,1X2_draw; 1X2_home; BTTS_btts_no; O/U 2.5_under_25,1.7622973241827802,0.006601766412553987,0.02852369668365595,23,false
3462,6,1X2_draw; 1X2_home; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_under_25; O/U 3.5_over_35,1.7609575116449898,0.006789190873266675,0.029355803964677133,24,false
1430,6,1X2_draw; 1X2_home; BTTS_btts_yes; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_under_25,1.758076822369125,0.006660625198219626,0.028847088384990224,25,false
1302,5,1X2_draw; 1X2_home; BTTS_btts_yes; O/U 1.5_under_15; O/U 2.5_under_25,1.7578752933621522,0.0067218197277189974,0.029115458679209536,26,false
1222,5,1X2_draw; 1X2_home; O/U 0.5_under_05; O/U 1.5_over_15; O/U 2.5_under_25,1.7555391444771262,0.006472657884360006,0.028073526630964962,27,false
1806,6,1X2_draw; 1X2_home; BTTS_btts_no; O/U 1.5_under_15; O/U 2.5_over_25; O/U 2.5_under_25,1.7547339178486718,0.006590581658039374,0.028598108672676537,28,false
1934,7,1X2_draw; 1X2_home; BTTS_btts_no; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_over_25; O/U 2.5_under_25,1.7545744148250517,0.006529387128540003,0.0283351466142408,29,false
1198,6,1X2_draw; 1X2_home; BTTS_btts_no; O/U 0.5_over_05; O/U 1.5_over_15; O/U 2.5_under_25,1.7534056992309413,0.006516610391634516,0.02829854982016229,30,false
1702,6,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 1.5_over_15; O/U 2.5_over_25; O/U 2.5_under_25,1.7533198347965333,0.006562712018506067,0.028500142986374048,31,false
3206,5,1X2_draw; 1X2_home; O/U 1.5_over_15; O/U 2.5_under_25; O/U 3.5_over_35,1.7516128725804334,0.0067256883708429645,0.029236370050153608,32,false
1574,5,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 2.5_over_25; O/U 2.5_under_25,1.751363797600422,0.0066239065480054385,0.02879802245898551,33,false
1094,4,1X2_draw; 1X2_home; O/U 0.5_under_05; O/U 2.5_under_25,1.7507601891694062,0.006533852413859377,0.028416297798264784,34,false
3078,4,1X2_draw; 1X2_home; O/U 2.5_under_25; O/U 3.5_over_35,1.7504729882474763,0.006786882900342337,0.029521592426122265,35,false
3366,6,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 1.5_under_15; O/U 2.5_under_25; O/U 3.5_over_35,1.7501362106367118,0.006826423911345949,0.029699301887771142,36,false
1382,6,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 0.5_under_05; O/U 1.5_under_15; O/U 2.5_under_25,1.7497535634396237,0.006573393424862988,0.028604711833154377,37,false
1070,5,1X2_draw; 1X2_home; BTTS_btts_no; O/U 0.5_over_05; O/U 2.5_under_25,1.7490241645490128,0.0065778049211338875,0.0286358459387906,38,false
1510,7,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 0.5_under_05; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_under_25,1.7481068876752008,0.006512198895363618,0.028365112468931725,39,false
1334,6,1X2_draw; 1X2_home; BTTS_btts_yes; O/U 0.5_over_05; O/U 1.5_under_15; O/U 2.5_under_25,1.7459534729457604,0.006697858236298899,0.029209769008840463,40,false
3494,7,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_under_25; O/U 3.5_over_35,1.7454107206414746,0.006765229381846577,0.02951275311342402,41,false
1462,7,1X2_draw; 1X2_home; BTTS_btts_yes; O/U 0.5_over_05; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_under_25,1.7451521505951588,0.006636663706799528,0.028956185650111214,42,false
1254,6,1X2_draw; 1X2_home; O/U 0.5_over_05; O/U 0.5_under_05; O/U 1.5_over_15; O/U 2.5_under_25,1.7413803769487937,0.0064486963929399075,0.028197014134300927,43,false
1678,6,1X2_draw; 1X2_home; BTTS_btts_no; O/U 1.5_over_15; O/U 2.5_over_25; O/U 2.5_under_25,1.741277678755404,0.006465884626116294,0.02827383737569717,44,false
1838,7,1X2_draw; 1X2_home; BTTS_btts_no; O/U 0.5_over_05; O/U 1.5_under_15; O/U 2.5_over_25; O/U 2.5_under_25,1.740434203352479,0.006566620166619276,0.028728246868394283,45,false
3342,6,1X2_draw; 1X2_home; BTTS_btts_no; O/U 1.5_under_15; O/U 2.5_under_25; O/U 3.5_over_35,1.7397815723600139,0.006729596518956176,0.02945229470238987,46,false
1966,8,1X2_draw; 1X2_home; BTTS_btts_no; O/U 0.5_over_05; O/U 1.5_over_15; O/U 1.5_under_15; O/U 2.5_over_25; O/U 2.5_under_25,1.7392056381449454,0.006505425637119906,0.02848063183623076,47,false
