model,policy,market_key,family,selection,n_bets,stake_amount,pnl_amount,win_rate_pct,roi_pct,mean_odds,mean_model_probability,mean_market_probability,mean_edge
m12_joint_hybrid_synergy,P_baseline,1X2,1X2_home,home,293,4581.499577446979,499.3633535108704,38.907849829351534,10.899561269612482,3.3274898125023338,0.3976814659820083,0.32994414021047863,0.06773732577152973
m12_joint_hybrid_synergy,P_baseline,OU2.5,O/U 2.5_under_25,under_25,227,1828.173993793222,348.7560991959688,48.89867841409692,19.076745450926445,2.2512051091156606,0.4936938564513877,0.44875251115073433,0.04494134530065356
m12_joint_hybrid_synergy,P_baseline,OU3.5,O/U 3.5_under_35,under_35,121,1595.4820081368116,-18.159711239318177,66.94214876033058,-1.1381959274191322,1.5411428811705885,0.7094428831190684,0.65119190721709,0.058250975901978266
m12_joint_hybrid_synergy,P_baseline,1X2,1X2_draw,draw,361,2418.750730396001,231.67486333290816,24.37673130193906,9.578286030945325,4.132836243366692,0.25362091559698197,0.2473244573242616,0.0062964582727202826
m12_joint_hybrid_synergy,P_baseline,OU0.5,O/U 0.5_over_05,over_05,33,528.3463227632693,-17.676939450098025,90.9090909090909,-3.3457106993093144,1.0844986642039731,0.9333584624889887,0.9206524822707904,0.012705980218198293
m12_joint_hybrid_synergy,P_baseline,1X2,1X2_away,away,374,5377.755935224748,347.30998327874937,25.668449197860966,6.4582697218339735,4.556252392681374,0.32594027587395563,0.2555004656126873,0.07043981026126858
m12_joint_hybrid_synergy,P_baseline,OU1.5,O/U 1.5_under_15,under_15,114,534.8556021374867,-6.597523391483811,17.543859649122805,-1.2335148711386017,5.004473828369926,0.24806683798355902,0.20728000411355887,0.040786833870000073
m12_joint_hybrid_synergy,P_baseline,BTTS,BTTS_btts_yes,btts_yes,66,546.6565198565229,-25.875333339700802,59.09090909090909,-4.733380541494706,1.8612456783052078,0.543993438938621,0.5405534192549177,0.0034400196837032584
m12_joint_hybrid_synergy,P_baseline,OU1.5,O/U 1.5_over_15,over_15,47,355.04738155902453,-9.49006486207412,70.2127659574468,-2.6729009577265264,1.370503849462643,0.7522411900143265,0.7293036463719393,0.02293754364238709
m12_joint_hybrid_synergy,P_baseline,OU2.5,O/U 2.5_over_25,over_25,59,399.2188678667301,-42.787420582652885,47.45762711864407,-10.717785161631305,2.1171647226586607,0.5152415219824824,0.47358987506449923,0.04165164691798326
m12_joint_hybrid_synergy,P_baseline,OU3.5,O/U 3.5_over_35,over_35,86,452.7889037998348,-7.958444829551873,25.581395348837212,-1.7576501461860197,3.7315903112496827,0.301178029062023,0.2720773512194873,0.02910067784253576
m12_joint_hybrid_synergy,P_baseline,OU0.5,O/U 0.5_under_05,under_05,64,108.43150811565629,-33.28628657904992,3.125,-30.6979836004363,17.93093047948344,0.07267033868627323,0.05956631769332327,0.01310402099294998
m12_joint_hybrid_synergy,P_baseline,BTTS,BTTS_btts_no,btts_no,49,248.74947748443697,-25.90190496802276,38.775510204081634,-10.412847990662941,2.3570480378732475,0.45811570642900457,0.42570718205201286,0.032408524376991606
m12_joint_hybrid_synergy,P_symmetric_core,1X2,1X2_home,home,293,4724.570940458884,492.4644462592184,38.907849829351534,10.423474479809308,3.3274898125023338,0.3976814659820083,0.32994414021047863,0.06773732577152973
m12_joint_hybrid_synergy,P_symmetric_core,OU2.5,O/U 2.5_under_25,under_25,227,1914.4165453783664,366.99900502901085,48.89867841409692,19.170279629842888,2.2512051091156606,0.4936938564513877,0.44875251115073433,0.04494134530065356
m12_joint_hybrid_synergy,P_symmetric_core,1X2,1X2_draw,draw,361,2530.0095631231316,303.1654217360434,24.37673130193906,11.982777699931123,4.132836243366692,0.25362091559698197,0.2473244573242616,0.0062964582727202826
m12_joint_hybrid_synergy,P_symmetric_core,1X2,1X2_away,away,374,5581.543609103306,297.1258588889405,25.668449197860966,5.323363565669154,4.556252392681374,0.32594027587395563,0.2555004656126873,0.07043981026126858
m12_joint_hybrid_synergy,P_symmetric_core,OU2.5,O/U 2.5_over_25,over_25,59,408.0810562599194,-44.41647313247618,47.45762711864407,-10.884228133389744,2.1171647226586607,0.5152415219824824,0.47358987506449923,0.04165164691798326
m12_joint_hybrid_synergy,P_asymmetric_core,1X2,1X2_home,home,293,4683.152981966131,486.46845082848864,38.907849829351534,10.387626727159665,3.3274898125023338,0.3976814659820083,0.32994414021047863,0.06773732577152973
m12_joint_hybrid_synergy,P_asymmetric_core,OU2.5,O/U 2.5_under_25,under_25,227,1897.266584806716,361.7314496606796,48.89867841409692,19.065926346746412,2.2512051091156606,0.4936938564513877,0.44875251115073433,0.04494134530065356
m12_joint_hybrid_synergy,P_asymmetric_core,1X2,1X2_draw,draw,361,2510.8987319037997,305.2034505119638,24.37673130193906,12.155147741882612,4.132836243366692,0.25362091559698197,0.2473244573242616,0.0062964582727202826
m12_joint_hybrid_synergy,P_asymmetric_core,1X2,1X2_away,away,374,5541.678879992926,285.74517737245196,25.668449197860966,5.156292588588545,4.556252392681374,0.32594027587395563,0.2555004656126873,0.07043981026126858
m12_joint_hybrid_synergy,P_under_expansion,1X2,1X2_home,home,293,4619.485643544044,466.13845830718793,38.907849829351534,10.090700443211444,3.3274898125023338,0.3976814659820083,0.32994414021047863,0.06773732577152973
m12_joint_hybrid_synergy,P_under_expansion,OU2.5,O/U 2.5_under_25,under_25,227,1845.5721013158607,352.40534992474824,48.89867841409692,19.094640067082146,2.2512051091156606,0.4936938564513877,0.44875251115073433,0.04494134530065356
m12_joint_hybrid_synergy,P_under_expansion,OU3.5,O/U 3.5_under_35,under_35,121,1615.9930411194027,-21.668622996207322,66.94214876033058,-1.3408859100777692,1.5411428811705885,0.7094428831190684,0.65119190721709,0.058250975901978266
m12_joint_hybrid_synergy,P_under_expansion,1X2,1X2_draw,draw,361,2458.240278571318,268.3696298958921,24.37673130193906,10.917143951927407,4.132836243366692,0.25362091559698197,0.2473244573242616,0.0062964582727202826
m12_joint_hybrid_synergy,P_under_expansion,1X2,1X2_away,away,374,5430.55924373553,297.37230614772955,25.668449197860966,5.47590575484037,4.556252392681374,0.32594027587395563,0.2555004656126873,0.07043981026126858
m12_joint_hybrid_synergy,P_under_expansion,OU1.5,O/U 1.5_under_15,under_15,114,550.8781404586555,-4.8098804915262345,17.543859649122805,-0.8731296702972416,5.004473828369926,0.24806683798355902,0.20728000411355887,0.040786833870000073
m12_joint_hybrid_synergy,P_pure_alpha,1X2,1X2_home,home,293,3055.1464011639587,376.2289925592587,38.907849829351534,12.314597834523473,3.3274898125023338,0.3976814659820083,0.32994414021047863,0.06773732577152973
m12_joint_hybrid_synergy,P_pure_alpha,OU2.5,O/U 2.5_under_25,under_25,227,1201.4744530478724,222.88926520658106,48.89867841409692,18.551311236053397,2.2512051091156606,0.4936938564513877,0.44875251115073433,0.04494134530065356
m12_joint_hybrid_synergy,P_pure_alpha,1X2,1X2_draw,draw,361,1498.0407305277097,139.14173845258603,24.37673130193906,9.288248017366728,4.132836243366692,0.25362091559698197,0.2473244573242616,0.0062964582727202826
m12_joint_hybrid_synergy,P_pure_alpha,OU1.5,O/U 1.5_under_15,under_15,114,348.83255320875315,-0.18878680334764475,17.543859649122805,-0.05411960598604694,5.004473828369926,0.24806683798355902,0.20728000411355887,0.040786833870000073
m13_joint_composite,P_baseline,1X2,1X2_home,home,307,4803.364540795944,595.7597892949875,39.413680781758956,12.40296846585512,3.279557833181327,0.40184393173991334,0.334749325390885,0.06709460634902792
m13_joint_composite,P_baseline,OU2.5,O/U 2.5_under_25,under_25,229,1839.8453368905068,336.19566810735824,49.34497816593886,18.273039660798723,2.2514565928788426,0.4931566777771473,0.44860523353088727,0.04455144424625982
m13_joint_composite,P_baseline,OU3.5,O/U 3.5_under_35,under_35,121,1617.003816433239,-22.976492337034397,66.94214876033058,-1.4209300005064658,1.5381666803667091,0.7103070902032932,0.6526705653192328,0.05763652488406031
m13_joint_composite,P_baseline,1X2,1X2_draw,draw,359,2442.6229142306033,268.1030666548541,25.069637883008355,10.976031752297851,4.1305351731596955,0.2533094866727018,0.2475526280953145,0.005756858577387303
