arm,model,container,trust,window,n_bets,n_slates,total_return_pct,flat_roi_pct,roi_1x2_pct,max_drawdown_pct,sharpe_ann,calmar,sortino,win_rate,mean_exposure,total_stake,total_pnl,risk_lambda,target_mdd
F_risk_matched,m12_joint_hybrid_synergy,std,flat_1.0,full,1763,100,151.0923474379755,11.577375951946072,14.591850002255768,-19.932141705375646,1.6551697408910333,7.5803368083233265,0.27158866929725173,0.35961429381735677,0.08768728880646705,8.768728880646705,1.0151887087193416,18.0,-22.32597554225538
F_risk_matched,m12_joint_hybrid_synergy,inv,flat_1.0,full,1464,100,100.80042491748023,9.416827776576158,13.02837264667436,-21.92873514147659,1.2847956279364794,4.596727730402637,0.19479774701130842,0.3633879781420765,0.08334934842753239,8.334934842753238,0.7848864594319113,8.0,-22.32597554225538
F_risk_matched,m12_joint_hybrid_synergy,std,canonical_P1,full,1256,100,137.19816927505545,15.308646639714244,15.483191314657768,-16.79729525074118,1.827755178673459,8.167872697778625,0.30991867159810993,0.3288216560509554,0.06091785367181185,6.091785367181185,0.9325698959115865,3.0,-20.473286244975114
F_risk_matched,m12_joint_hybrid_synergy,inv,canonical_P1,full,1079,100,45.011966680418425,14.365276788504485,13.642018478310098,-11.028482450396808,1.8261436562973778,4.081428871367418,0.31599828919058537,0.3447636700648749,0.026751966135644088,2.675196613564409,0.38429939817522607,3.0,-20.473286244975114
