arm,model,container,trust,window,n_bets,n_slates,total_return_pct,flat_roi_pct,roi_1x2_pct,max_drawdown_pct,sharpe_ann,calmar,sortino,win_rate,mean_exposure,total_stake,total_pnl
m12_joint_hybrid_synergy|raw|flat_1.0,m12_joint_hybrid_synergy,raw,flat_1.0,full,1800,100,126.08704908366404,9.706109348774428,12.066525489328498,-22.32597554225538,1.3234020057546587,5.647549368896543,0.20752846088777874,0.3611111111111111,0.0957901518138228,9.57901518138228,0.9297496880406673
m12_joint_hybrid_synergy|raw|canonical_P1,m12_joint_hybrid_synergy,raw,canonical_P1,full,1261,100,157.5021119878149,14.098716515227931,13.205275903672883,-20.473286244975114,1.6374217533247293,7.6930547496482955,0.2723080324245795,0.3275178429817605,0.07431992136763586,7.431992136763586,1.047815502796329
m12_joint_hybrid_synergy|std|flat_1.0,m12_joint_hybrid_synergy,std,flat_1.0,full,1763,100,110.28853130560954,11.57677783711626,14.59088721571543,-15.994444123742335,1.683008485217493,6.895427590502878,0.2788690757486362,0.35961429381735677,0.06934804457381218,6.93480445738122,0.8028269054694596
m12_joint_hybrid_synergy|std|canonical_P1,m12_joint_hybrid_synergy,std,canonical_P1,full,1256,100,123.62209105556073,15.758100302199557,15.964828360650442,-13.714376277687023,1.8779980802583507,9.01405128111375,0.3239296508821623,0.3288216560509554,0.054671357926386034,5.467135792638604,0.8615167418614441
m12_joint_hybrid_synergy|inv|flat_1.0,m12_joint_hybrid_synergy,inv,flat_1.0,full,1464,100,32.412236433974485,9.425137493060703,13.036502463523318,-8.628495196108556,1.376961313019937,3.7564182047168986,0.21444939371987437,0.3633879781420765,0.03110020655117951,3.110020655117952,0.2931237228074542
m12_joint_hybrid_synergy|inv|canonical_P1,m12_joint_hybrid_synergy,inv,canonical_P1,full,1079,100,40.45122152095688,14.635219303200351,14.108532762125852,-10.363962382116366,1.8234022855883325,3.9030652591674655,0.31318971218044234,0.3447636700648749,0.023934245306817606,2.3934245306817603,0.3502829289218694
m05_joint_production_wealth|raw|flat_1.0,m05_joint_production_wealth,raw,flat_1.0,full,1804,100,130.1184903371979,10.278108106939086,12.161007169385378,-21.774701948516746,1.4419580738980498,5.97567262435302,0.23553131147574644,0.36086474501108645,0.09090087384921743,9.090087384921743,0.934289008437489
m05_joint_production_wealth|raw|canonical_P1,m05_joint_production_wealth,raw,canonical_P1,full,1234,100,134.53860912004947,13.673159704571335,13.080836993362004,-18.169319114492023,1.5802291102010797,7.404713862543159,0.284712699628726,0.3249594813614263,0.06883444099622421,6.883444099622418,0.9411843049162655
m05_joint_production_wealth|std|flat_1.0,m05_joint_production_wealth,std,flat_1.0,full,1681,100,74.38801273099524,11.832173399255533,14.280885288157691,-11.69885977021034,1.7525452259561307,6.358569483875246,0.32145198048460993,0.3604997025580012,0.04959945384657028,4.959945384657028,0.5868693384209914
m05_joint_production_wealth|std|canonical_P1,m05_joint_production_wealth,std,canonical_P1,full,1197,100,75.65721332580613,15.334960323711504,15.452585879595555,-9.873030554967894,1.8154037278726667,7.663018250028312,0.3281152639963157,0.3333333333333333,0.038664331681750104,3.8664331681750097,0.5929159922824594
m05_joint_production_wealth|inv|flat_1.0,m05_joint_production_wealth,inv,flat_1.0,full,1556,100,49.179435975419764,10.582898180806817,13.482302324717303,-10.151388584451617,1.5676208751963747,4.844601855823497,0.25374772229540543,0.36053984575835474,0.039648054471079754,3.964805447107975,0.4195913235345194
m05_joint_production_wealth|inv|canonical_P1,m05_joint_production_wealth,inv,canonical_P1,full,1106,100,53.67113383764763,14.773237791125954,14.497277180796535,-10.357334968322863,1.824853003334101,5.181944390308587,0.3257581472065719,0.3318264014466546,0.03023116463059286,3.023116463059286,0.4466121837904247
R1_13direction,m12_joint_hybrid_synergy,raw,flat_1.0,full,1894,100,123.60815937139016,9.290479490592228,12.140037282512026,-20.973243483061637,1.329076479632674,5.8936119952652195,0.21055204782733586,0.36061246040126715,0.09846602575802982,9.846602575802978,0.9147965928251017
E_refit_trust,m12_joint_hybrid_synergy,raw,refit_P?,evaluation,441,50,8.753918321839937,4.504530390374365,1.50688930703518,-26.016179047967537,0.3133944881078702,0.3364797845871152,0.048034203550692434,0.3401360544217687,0.05900132908636021,2.9500664543180104,0.13288663997099426
E_refit_trust,m12_joint_hybrid_synergy,raw,refit_P?,full,895,100,106.31325935105073,14.979984994814107,14.585483518182695,-26.01617904796749,1.3119015075420013,4.086428647152029,0.22860285505234101,0.35977653631284917,0.05446284607906707,5.446284607906711,0.8158526170392956
E_comparator,m12_joint_hybrid_synergy,raw,flat_1.0,evaluation,978,50,14.477236221954248,3.476204873339076,4.4743836713568355,-22.325975542255375,0.4520297340473079,0.6484480910835825,0.060477997577696174,0.35685071574642124,0.11277225208273672,5.638612604136833,0.19600972613371595
E_comparator,m12_joint_hybrid_synergy,raw,canonical_P1,evaluation,641,50,32.491381039972154,8.052475380179873,4.75710837002373,-20.473286244975075,0.9823830510189859,1.5870134697084488,0.14874784205813651,0.3166926677067083,0.08398386439803368,4.199193219901683,0.33813900019876547
E_refit_trust,m12_joint_hybrid_synergy,std,refit_P?,evaluation,440,50,21.711083830656097,10.221167821885212,9.715859426680106,-15.935706430293747,0.9827557642209852,1.3624174068231685,0.16085482543904786,0.3386363636363636,0.043851969182000766,2.1925984591000383,0.22410916816468407
E_refit_trust,m12_joint_hybrid_synergy,std,refit_P?,full,909,100,98.78847792913604,17.544915016565202,18.078850719193728,-15.935706430293711,1.6416222670466376,6.199190375479028,0.3042750618929347,0.35973597359735976,0.04220418376455768,4.2204183764557675,0.7404688174926652
E_comparator,m12_joint_hybrid_synergy,std,flat_1.0,evaluation,953,50,24.62675193699766,6.451925446615478,9.710408423266125,-13.189317653639229,1.0740059627884262,1.8671740709954459,0.15282133700773654,0.3515215110178384,0.07722676101313482,3.8613380506567405,0.2491306522701683
E_comparator,m12_joint_hybrid_synergy,std,canonical_P1,evaluation,635,50,33.84015472084783,10.955750249444614,10.33185510897319,-13.714376277687034,1.401804414632251,2.4674949874246166,0.2295486054810207,0.31338582677165355,0.05874580905759327,2.9372904528796635,0.3218022061182766
E_refit_trust,m12_joint_hybrid_synergy,inv,refit_P?,evaluation,461,50,3.8258367878455157,3.964117784965389,-0.2234728194563177,-11.667798529419485,0.417423138203866,0.32789705600409136,0.0650436085675294,0.3405639913232104,0.021709494451013257,1.0854747225506631,0.04302949652793455
E_refit_trust,m12_joint_hybrid_synergy,inv,refit_P?,full,943,100,30.822547339904418,13.43732786427915,12.821017502448573,-11.667798529419482,1.4780661066315175,2.641676342129809,0.2709163972585178,0.3637327677624602,0.02073123912123378,2.0731239121233775,0.2785724571047886
E_comparator,m12_joint_hybrid_synergy,inv,flat_1.0,evaluation,791,50,5.452192397075595,3.3962698003156304,3.6492833379122596,-8.628495196108576,0.5154026815268898,0.6318821849184684,0.06741071683460959,0.35398230088495575,0.03549049646982322,1.774524823491161,0.060267650679334546
E_comparator,m12_joint_hybrid_synergy,inv,canonical_P1,evaluation,552,50,10.177249122122966,7.857469108171558,3.8702863613886307,-10.363962382116346,1.029577220888984,0.9819843749804066,0.1482342167993588,0.32608695652173914,0.02621747163769588,1.3108735818847939,0.10300148674377967
