model,spec,method,w_base,sigma,w_max,identity_spec,head_logloss,head_market_logloss,head_delta_logloss,head_ece,head_market_ece,head_mce,head_brier,head_rps,head_market_rps,head_n_obs,wide_logloss,wide_market_logloss,wide_ece,wide_market_ece,wide_brier,wide_market_brier,wide_n_obs,crps_all,crps_home,crps_away,lpd_all,lpd_all_market,lpd_small,lpd_small_market,n_small,lpd_large,lpd_large_market,n_large,n_shifted,w_median,w_p10,w_p90,var_retention_median,container,form,scheme,ret_side,ret_sup,ret_tot,rate_ratio,n_fixtures,mean_total,mean_sd_total,mean_cv_total,p_under_05,p_under_05_plugin,jensen_under_05,realised_under_05,bias_under_05,p_under_15,jensen_under_15,realised_under_15,bias_under_15,p_under_25,realised_under_25,bias_under_25,p_over_35,jensen_over_35,realised_over_35,bias_over_35
m12_joint_hybrid_synergy,sta_w1.00,static_geometric,1.0,NaN,1.0,true,0.6348776748799607,0.633061118131463,0.0018165567484976775,0.01506271590749618,0.018347074313313467,0.19640169051638687,0.22195660379177787,0.22464227757688746,0.21091067161472066,2148,0.6221334766928769,0.6188520887711146,0.013680474634336097,0.019774077253720466,0.21677212341825453,0.2152849575008106,2511,0.6283192113476559,0.6383234483339266,0.6183149743613853,-0.6221334766928762,-0.6188520887711139,-0.6141580341036027,-0.6131492077834999,874,-0.6534761521857122,-0.6469014061505117,877,-1,NaN,NaN,NaN,NaN,raw,none,none,1.0,1.0,1.0,NaN,710,2.707141275347865,0.18756602155724728,0.06939569900744429,0.06881293116092482,0.0676308811294901,0.001182050031434708,0.061971830985915494,0.006841100175009329,0.250892302963466,0.0019912482212436538,0.21830985915492956,0.03258244380853642,0.4938463332026219,0.4887323943661972,0.005113938836424692,0.28820511825994805,0.0003997051445720776,0.2943661971830986,-0.0061610789231505425
m12_joint_hybrid_synergy,std_w0.40_s0.15,standard_gaussian,0.4,0.15,1.0,false,0.6318780957930537,0.633061118131463,-0.0011830223384093896,0.00932368175359929,0.018347074313313467,0.27009944353601933,0.22065686697214854,0.2209900606028182,0.21091067161472066,2148,0.6186994096612235,0.6188520887711146,0.009280035631511667,0.019774077253720466,0.2152826583058459,0.2152849575008106,2511,0.6238690280820528,0.6305251417813956,0.6172129143827098,-0.6186994096612257,-0.6188520887711139,-0.6143116035514592,-0.6131492077834999,874,-0.6439717443319032,-0.6469014061505117,877,-1,NaN,NaN,NaN,NaN,std_A_pool,std,A_pool,0.7059217084732545,0.6866945682543686,0.6743761976555451,1.0,710,2.70971946777405,0.15615466524464552,0.057824415494092965,0.06857892284849137,0.0677255565239044,0.0008533663245869689,0.061971830985915494,0.006607091862575881,0.25033160384008674,0.0014328024469548804,0.21830985915492956,0.03202174468515717,0.4931730053933998,0.4887323943661972,0.004440611027202612,0.28874479793699614,0.0002925704007994513,0.2943661971830986,-0.005621399246102443
m12_joint_hybrid_synergy,std_w0.40_s0.15,standard_gaussian,0.4,0.15,1.0,false,0.6318775213369018,0.633061118131463,-0.001183596794561259,0.009185837701072667,0.018347074313313467,0.26876162662062586,0.22065563655422654,0.22099530020977318,0.21091067161472066,2148,0.6186812643671313,0.6188520887711146,0.009257505606511686,0.019774077253720466,0.2152733201716383,0.2152849575008106,2511,0.6238188115821638,0.6304310620289739,0.6172065611353537,-0.6186812643671308,-0.6188520887711139,-0.6143399983809469,-0.6131492077834999,874,-0.6439058858522914,-0.6469014061505117,877,-1,NaN,NaN,NaN,NaN,std_B_full,std,B_full,1.0,1.0,1.0,1.0012575154343688,710,2.7130852815669138,0.1885206204344754,0.06959613134279162,0.06868792207968735,0.06750188503854095,0.0011860370411464025,0.061971830985915494,0.006716091093771859,0.2502995521675063,0.0020021801139161726,0.21830985915492956,0.03198969301257676,0.4926930401432878,0.4887323943661972,0.003960645777090599,0.2895784089574993,0.00038826642551846417,0.2943661971830986,-0.0047877882255992765
m12_joint_hybrid_synergy,std_w0.40_s0.15,standard_gaussian,0.4,0.15,1.0,false,0.6318670484759404,0.633061118131463,-0.0011940696555226005,0.00979532062324556,0.018347074313313467,0.2680014000804931,0.220650498914771,0.22099954183876358,0.21091067161472066,2148,0.618697354786806,0.6188520887711146,0.009774327511041344,0.019774077253720466,0.21527971542628607,0.2152849575008106,2511,0.6238690280820528,0.6305251417813956,0.6172129143827098,-0.618697354786806,-0.6188520887711139,-0.6143119956275448,-0.6131492077834999,874,-0.6439119385422684,-0.6469014061505117,877,-1,NaN,NaN,NaN,NaN,std_B_anch,std,B_anch,1.0,1.0,1.0,1.0,710,2.709719467774051,0.18828332008051402,0.0695963638021164,0.06891264823382674,0.06772555652390438,0.0011870917099223663,0.061971830985915494,0.006940817247911249,0.2508987926832048,0.001999991290073023,0.21830985915492956,0.032588933528275243,0.49350067906040246,0.4887323943661972,0.00476828469420526,0.28884482482617574,0.0003925972899789834,0.2943661971830986,-0.005521372356922849
m12_joint_hybrid_synergy,std_w0.40_s0.15,standard_gaussian,0.4,0.15,1.0,false,0.6318784480518156,0.633061118131463,-0.001182670079647452,0.009200946160145848,0.018347074313313467,0.26971667236093877,0.2206567121290614,0.22099265534586612,0.21091067161472066,2148,0.6186940769046403,0.6188520887711146,0.009271494971478568,0.019774077253720466,0.21527988910675888,0.2152849575008106,2511,0.6238543087852046,0.6304953809062684,0.617213236664141,-0.6186940769046403,-0.6188520887711139,-0.6143233176200319,-0.6131492077834999,874,-0.6439495472435759,-0.6469014061505117,877,-1,NaN,NaN,NaN,NaN,std_C_sqrt,std,C_sqrt,0.8401914505155157,0.8156532450563387,0.8149222686752171,1.000570687862839,710,2.711006714637758,0.16999364071864367,0.06287195561161112,0.06862110519342861,0.06763948778432813,0.0009816174091004629,0.061971830985915494,0.0066492742075131145,0.2503190872383683,0.0016512860541187267,0.21830985915492956,0.03200922808343876,0.4929875504231022,0.4887323943661972,0.004255156056905018,0.2890657538733937,0.00033138163531882625,0.2943661971830986,-0.005300443309704861
m12_joint_hybrid_synergy,std_w0.40_s0.15,standard_gaussian,0.4,0.15,1.0,false,0.6318772808134333,0.633061118131463,-0.0011838373180297346,0.009170754792894451,0.018347074313313467,0.2689191785697638,0.22065535064351466,0.22099464622433815,0.21091067161472066,2148,0.6186868425136107,0.6188520887711146,0.009248001979618831,0.019774077253720466,0.2152764708555338,0.2152849575008106,2511,0.6238391350323025,0.6304710986926091,0.617207171371996,-0.6186868425136114,-0.6188520887711139,-0.6143277060686575,-0.6131492077834999,874,-0.6439714824708902,-0.6469014061505117,877,-1,NaN,NaN,NaN,NaN,std_D_sup,std,D_sup,0.8190645661586535,1.0,0.6651859941792931,1.000554624473937,710,2.71120125113796,0.15652000920914158,0.05786782687285404,0.06847764457821962,0.06762757354052942,0.0008500710376902116,0.061971830985915494,0.006505813592304122,0.250066528880905,0.0014317237011317045,0.21830985915492956,0.03175666972597546,0.49281991263669617,0.4887323943661972,0.004087518270498969,0.289064128790403,0.00028683768172348427,0.2943661971830986,-0.005302068392695591
m12_joint_hybrid_synergy,std_w0.40_s0.15,standard_gaussian,0.4,0.15,1.0,false,0.6318742638464133,0.633061118131463,-0.001186854285049721,0.009749430102363382,0.018347074313313467,0.268522929928237,0.22065363717361347,0.22099779083281965,0.21091067161472066,2148,0.6186950228496823,0.6188520887711146,0.009740931128078213,0.019774077253720466,0.2152796908528624,0.2152849575008106,2511,0.6238690280820528,0.6305251417813956,0.6172129143827098,-0.6186950228496817,-0.6188520887711139,-0.6143072804558203,-0.6131492077834999,874,-0.6439892740027154,-0.6469014061505117,877,-1,NaN,NaN,NaN,NaN,std_D_sup_anch,std,D_sup_anch,0.8190645661586535,1.0,0.6651859941792931,1.0000000000000002,710,2.709719467774051,0.1564480064745202,0.05786836421254965,0.06857587718381666,0.06772555652390438,0.0008503206599122844,0.061971830985915494,0.00660404619790117,0.2503300485753565,0.0014312471822247152,0.21830985915492956,0.03202018942042695,0.49317633423510004,0.4887323943661972,0.004443939868902846,0.2887400392725588,0.0002878117363620475,0.2943661971830986,-0.005626157910539775
m12_joint_hybrid_synergy,std_w0.40_s0.15,standard_gaussian,0.4,0.15,1.0,false,0.6318757086013289,0.633061118131463,-0.0011854095301341294,0.009343725426869337,0.018347074313313467,0.26994512858427466,0.2206561846037214,0.2209891409212244,0.21091067161472066,2148,0.6186916199922919,0.6188520887711146,0.009291059466243078,0.019774077253720466,0.21527887003949345,0.2152849575008106,2511,0.623835680298845,0.630464706357131,0.6172066542405585,-0.6186916199922914,-0.6188520887711139,-0.6143259277116583,-0.6131492077834999,874,-0.6438916180452223,-0.6469014061505117,877,-1,NaN,NaN,NaN,NaN,std_D_tot,std,D_tot,0.8487534517019282,0.6651859941792946,1.0,1.0006688883333625,710,2.711486249137336,0.18765131724953835,0.06933066496409872,0.06878659655335805,0.06760841338908091,0.001178183164277136,0.061971830985915494,0.006814765567442552,0.2505691399746166,0.001985596848578177,0.21830985915492956,0.03225928081968704,0.49306621654591937,0.4887323943661972,0.004333822179722169,0.28922932449254835,0.0003896461308271241,0.2943661971830986,-0.005136872690550243
m12_joint_hybrid_synergy,inv_w0.25_s0.35,inverse_gaussian,0.25,0.35,1.0,false,0.6306418226148336,0.633061118131463,-0.0024192955166294494,0.013318687435018801,0.018347074313313467,0.07784262225102989,0.22001023668360054,0.22053869743540241,0.21091067161472066,2148,0.6175942198212524,0.6188520887711146,0.011193671294517605,0.019774077253720466,0.21471754935582366,0.2152849575008106,2511,0.6242468876966478,0.6320154543041909,0.616478321089105,-0.6175942198212534,-0.6188520887711139,-0.6135688734762075,-0.6131492077834999,874,-0.6429252048025301,-0.6469014061505117,877,-1,NaN,NaN,NaN,NaN,inv_A_pool,inv,A_pool,0.08495746447266736,0.09419541544207582,0.09372911918104092,1.0,710,2.7045867475815233,0.08577259659318556,0.03182659944859494,0.06849047034998136,0.06815435853685721,0.0003361118131241574,0.061971830985915494,0.006518639364065867,0.2505148729072057,0.0005610414263926198,0.21830985915492956,0.032205013752276135,0.4939893287330597,0.4887323943661972,0.005256934366862476,0.28748707994052397,0.000119118592535977,0.2943661971830986,-0.006879117242574617
m12_joint_hybrid_synergy,inv_w0.25_s0.35,inverse_gaussian,0.25,0.35,1.0,false,0.6306758824308827,0.633061118131463,-0.002385235700580357,0.014359136143410674,0.018347074313313467,0.07818694823564543,0.220024095777164,0.2205561849136516,0.21091067161472066,2148,0.6176020571624935,0.6188520887711146,0.011660101679466822,0.019774077253720466,0.21471942259861868,0.2152849575008106,2511,0.6242434465075785,0.6320029439860599,0.616483949029097,-0.6176020571624938,-0.6188520887711139,-0.6137103937668901,-0.6131492077834999,874,-0.6428065221114743,-0.6469014061505117,877,-1,NaN,NaN,NaN,NaN,inv_B_full,inv,B_full,1.0,1.0,1.0,1.0037755855325208,710,2.7131359209774284,0.18863296832359464,0.06963119909727215,0.0687654351312466,0.06757892729530822,0.0011865078359383793,0.061971830985915494,0.006793604145331103,0.2504159979046425,0.002002903642609252,0.21830985915492956,0.03210613874971291,0.49273915759635406,0.4887323943661972,0.004006763230156862,0.28962700620038206,0.0003858869087490617,0.2943661971830986,-0.0047391909827165235
