model,spec,method,w_base,sigma,w_max,identity_spec,head_logloss,head_market_logloss,head_delta_logloss,head_ece,head_market_ece,head_mce,head_brier,head_rps,head_market_rps,head_n_obs,wide_logloss,wide_market_logloss,wide_ece,wide_market_ece,wide_brier,wide_market_brier,wide_n_obs,crps_all,crps_home,crps_away,lpd_all,lpd_all_market,lpd_small,lpd_small_market,n_small,lpd_large,lpd_large_market,n_large,n_shifted,w_median,w_p10,w_p90,var_retention_median,scope
m12_joint_hybrid_synergy,uncalibrated,static_geometric,1.0,NaN,1.0,true,0.6433697999906764,0.6418155553508617,0.0015542446398147947,0.00995616723169428,0.01390748520485936,0.19640169051638687,0.22604583756864916,0.22447242161176623,0.2111040320023605,2899,0.5764769565409588,0.7089610546666291,0.008839679625602309,0.013517750433259234,0.19807189852433346,0.19752620318475883,4390,0.6283192113476559,0.6383234483339266,0.6183149743613853,-0.5764769565409603,-0.7089610546666292,-0.549321997140773,-0.5489926687526318,1600,-0.5863264534280231,-0.9822411393253122,1483,-1,NaN,NaN,NaN,NaN,gate
m05_joint_production_wealth,uncalibrated,static_geometric,1.0,NaN,1.0,true,0.6429863825954205,0.6418155553508617,0.0011708272445588586,0.014930352713004068,0.01390748520485936,0.0648855921264766,0.22586363000096762,0.2241528100882081,0.2111040320023605,2899,0.5755592947587289,0.7089610546666291,0.014189778652626005,0.013517750433259234,0.1976829268917288,0.19752620318475883,4390,0.6270457522503458,0.63771835774312,0.6163731467575714,-0.5755592947587278,-0.7089610546666292,-0.5552177264857947,-0.5547803098644484,1605,-0.5875433366077528,-0.9827898096361293,1406,-1,NaN,NaN,NaN,NaN,gate
m12_joint_hybrid_synergy,inv_w0.25_s0.15,inverse_gaussian,0.25,0.15,1.0,false,0.6430283182547032,0.6418155553508617,0.0012127629038415355,0.014045738709852129,0.01390748520485936,0.12838910035124973,0.22588980384553875,0.2232320808970079,0.2111040320023605,2899,0.5763713394954958,0.7089610546666291,0.010538068238830932,0.013517750433259234,0.1979906336699543,0.19752620318475883,4390,0.6269714670261551,0.6356477787026118,0.6182951553496985,-0.5763713394954975,-0.7089610546666292,-0.5495752358015262,-0.5489926687526318,1600,-0.585751889474839,-0.9822411393253122,1483,623,0.45216776020254595,0.25766510682587385,0.8776905665821095,0.2044557018886659,gate
m12_joint_hybrid_synergy,inv_w0.25_s0.25,inverse_gaussian,0.25,0.25,1.0,false,0.6419122454574574,0.6418155553508617,9.669010659574262e-5,0.016809366089299557,0.01390748520485936,0.02840338928497199,0.22535716872464245,0.2222680774304594,0.2111040320023605,2899,0.5753125207815788,0.7089610546666291,0.013889187124640849,0.013517750433259234,0.19750329259432656,0.19752620318475883,4390,0.6256741180470615,0.6328022601033687,0.6185459759907546,-0.5753125207815791,-0.7089610546666292,-0.5494923558893717,-0.5489926687526318,1600,-0.5840150960765043,-0.9822411393253122,1483,623,0.3301889055376993,0.2527685164391264,0.6095868448883442,0.10902471692861178,gate
m12_joint_hybrid_synergy,inv_w0.25_s0.35,inverse_gaussian,0.25,0.35,1.0,false,0.6411351065555112,0.6418155553508617,-0.0006804487953504523,0.010508106131122071,0.01390748520485936,0.04236793202052089,0.2249977747243228,0.2215726746370153,0.2111040320023605,2899,0.5745231111841246,0.7089610546666291,0.00956637304611188,0.013517750433259234,0.19715932890694635,0.19752620318475883,4390,0.6248806189636458,0.6310398430814,0.6187213948458913,-0.5745231111841238,-0.7089610546666292,-0.5493934857359046,-0.5489926687526318,1600,-0.5824052556637146,-0.9822411393253122,1483,623,0.2920449433031566,0.2514137880183127,0.46247388190892813,0.08529024995245924,gate
m12_joint_hybrid_synergy,inv_w0.25_s0.50,inverse_gaussian,0.25,0.5,1.0,false,0.6405939659806478,0.6418155553508617,-0.0012215893702138825,0.009569074567401246,0.01390748520485936,0.20431887204057353,0.2247608075263247,0.22102406675079986,0.2111040320023605,2899,0.5739746674317964,0.7089610546666291,0.007737809379186207,0.013517750433259234,0.19693001312679323,0.19752620318475883,4390,0.6243632819072968,0.629762064012112,0.6189644998024818,-0.5739746674317963,-0.7089610546666292,-0.5493404218266033,-0.5489926687526318,1600,-0.5812221847543958,-0.9822411393253122,1483,623,0.27090514862929277,0.25069308954113895,0.3629448639005095,0.07338959981959353,gate
m12_joint_hybrid_synergy,inv_w0.25_s0.75,inverse_gaussian,0.25,0.75,1.0,false,0.6403173478915983,0.6418155553508617,-0.0014982074592633232,0.009740686928952172,0.01390748520485936,0.09295890038740136,0.2246526765017589,0.22068539170113288,0.2111040320023605,2899,0.5737027230470281,0.7089610546666291,0.009208138017970128,0.013517750433259234,0.19682571777071728,0.19752620318475883,4390,0.6241504415556235,0.6290267044014265,0.6192741787098204,-0.5737027230470283,-0.7089610546666292,-0.5493194042152943,-0.5489926687526318,1600,-0.5806627680966828,-0.9822411393253122,1483,623,0.25936417413589163,0.250308118930602,0.302479215939804,0.06726977487935878,gate
m12_joint_hybrid_synergy,inv_w0.25_s1.00,inverse_gaussian,0.25,1.0,1.0,false,0.6402416030989395,0.6418155553508617,-0.0015739522519221394,0.010309544266657675,0.01390748520485936,0.192710507144098,0.22462817577258293,0.2205669404381806,0.2111040320023605,2899,0.5736316049548742,0.7089610546666291,0.009294003300990124,0.013517750433259234,0.19680236527924977,0.19752620318475883,4390,0.6241220335882708,0.6287863902923878,0.619457676884154,-0.5736316049548741,-0.7089610546666292,-0.5493137265456398,-0.5489926687526318,1600,-0.5805406847422038,-0.9822411393253122,1483,623,0.25528182096195157,0.25017333248167956,0.2799872274354041,0.0651688081309777,gate
m12_joint_hybrid_synergy,inv_w0.40_s0.15,inverse_gaussian,0.4,0.15,1.0,false,0.6429705271689683,0.6418155553508617,0.0011549718181066426,0.01413456397888461,0.01390748520485936,0.20615739044235148,0.22586184954506736,0.2233716148515321,0.2111040320023605,2899,0.5762895761930836,0.7089610546666291,0.011081626087722896,0.013517750433259234,0.19796096544100503,0.19752620318475883,4390,0.6270757096937056,0.6360056813858983,0.6181457380015127,-0.576289576193086,-0.7089610546666292,-0.5495023948470849,-0.5489926687526318,1600,-0.5856538166573686,-0.9822411393253122,1483,623,0.5617342081620368,0.40613208546069907,0.9021524532656877,0.31554533247356087,gate
m12_joint_hybrid_synergy,inv_w0.40_s0.25,inverse_gaussian,0.4,0.25,1.0,false,0.6418997859519543,0.6418155553508617,8.423060109263858e-5,0.01503798352114078,0.01390748520485936,0.12836778313364383,0.22535454022659263,0.22242613541949777,0.2111040320023605,2899,0.575317970390623,0.7089610546666291,0.012344454128500756,0.013517750433259234,0.19751511470591152,0.19752620318475883,4390,0.6258020279008369,0.633483863500607,0.6181201923010669,-0.5753179703906228,-0.7089610546666292,-0.5494375051238711,-0.5489926687526318,1600,-0.5839054515564225,-0.9822411393253122,1483,623,0.4641511244301595,0.40221481315130114,0.6876694759106754,0.21543626860637533,gate
