model,spec,family,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,mce
m12_joint_hybrid_synergy,raw,1x2,1560,0.6170079064582653,0.6123176118070058,0.21342073590442356,0.21123299931682585,0.020020255525184147,0.013663985325952959,0.19640169051638687
m12_joint_hybrid_synergy,raw,ou_05,69,0.1856989399557737,0.17543686512069756,0.0424429938373409,0.04130051115296987,0.028218123446051572,0.026146786813518074,0.07291192944944086
m12_joint_hybrid_synergy,raw,ou_15,116,0.5704338006319293,0.5785496986547277,0.19115644119520217,0.19372443296377037,0.05587979125138897,0.03517861886821262,0.30951110813500393
m12_joint_hybrid_synergy,raw,ou_25,432,0.6854559150272214,0.6985069307120938,0.24617490218091567,0.25245546292115817,0.0199846830528773,0.06546870710964538,0.10781221674809816
m12_joint_hybrid_synergy,raw,ou_35,178,0.6712155427157647,0.6455359798910608,0.23847923148920697,0.2263347334633069,0.0682762042886767,0.033705618499318184,0.08288623694211417
m12_joint_hybrid_synergy,raw,btts,156,0.673512540227568,0.6592616234604256,0.24024922558770925,0.23324959819567326,0.04718134507162482,0.037558440538183614,0.3885780696472543
m12_joint_hybrid_synergy,std_A_pool,1x2,1560,0.6118749257985939,0.6123176118070058,0.21114144686719752,0.21123299931682585,0.01655081885078261,0.013663985325952959,0.27009944353601933
m12_joint_hybrid_synergy,std_A_pool,ou_05,69,0.18106382524969986,0.17543686512069756,0.041864311691482164,0.04130051115296987,0.025632773932895037,0.026146786813518074,0.06748679530065708
m12_joint_hybrid_synergy,std_A_pool,ou_15,116,0.5766379605971015,0.5785496986547277,0.1933649644450615,0.19372443296377037,0.04021506260543347,0.03517861886821262,0.3117056068567121
m12_joint_hybrid_synergy,std_A_pool,ou_25,432,0.6902283598726681,0.6985069307120938,0.2485189461069457,0.25245546292115817,0.018436851322354026,0.06546870710964538,0.2851577394152958
m12_joint_hybrid_synergy,std_A_pool,ou_35,178,0.6567228119346165,0.6455359798910608,0.23193725487339667,0.2263347334633069,0.05187623789447172,0.033705618499318184,0.586701693576767
m12_joint_hybrid_synergy,std_A_pool,btts,156,0.6703244490556636,0.6592616234604256,0.23865454118683588,0.23324959819567326,0.05012431808918819,0.037558440538183614,0.05422424147302696
m12_joint_hybrid_synergy,std_B_full,1x2,1560,0.6118753337212732,0.6123176118070058,0.21114035777211332,0.21123299931682585,0.01651570954425225,0.013663985325952959,0.26876162662062586
m12_joint_hybrid_synergy,std_B_full,ou_05,69,0.18111204817926496,0.17543686512069756,0.041869548392508914,0.04130051115296987,0.025592499079328493,0.026146786813518074,0.06763775784082571
m12_joint_hybrid_synergy,std_B_full,ou_15,116,0.5765995463466465,0.5785496986547277,0.19335282240658924,0.19372443296377037,0.04020598673180769,0.03517861886821262,0.31156007154403875
m12_joint_hybrid_synergy,std_B_full,ou_25,432,0.69023402140707,0.6985069307120938,0.24852147889218235,0.25245546292115817,0.01840617674507848,0.06546870710964538,0.28548905389646556
m12_joint_hybrid_synergy,std_B_full,ou_35,178,0.6564801140091119,0.6455359798910608,0.23182625502391668,0.2263347334633069,0.050740116914671146,0.033705618499318184,0.584856356513867
m12_joint_hybrid_synergy,std_B_full,btts,156,0.6702967819142476,0.6592616234604256,0.23864147636255845,0.23324959819567326,0.05338149683296345,0.037558440538183614,0.059490986348706754
m12_joint_hybrid_synergy,std_B_anch,1x2,1560,0.6118856145107757,0.6123176118070058,0.21114498826189862,0.21123299931682585,0.016703656543105603,0.013663985325952959,0.2680014000804931
m12_joint_hybrid_synergy,std_B_anch,ou_05,69,0.1812098047250588,0.17543686512069756,0.04188132317853044,0.04130051115296987,0.025524409349784224,0.026146786813518074,0.06791455341544964
m12_joint_hybrid_synergy,std_B_anch,ou_15,116,0.5766876726884288,0.5785496986547277,0.19339656153192614,0.19372443296377037,0.039540714918374686,0.03517861886821262,0.3124137674654046
m12_joint_hybrid_synergy,std_B_anch,ou_25,432,0.690177684366951,0.6985069307120938,0.24849527521267842,0.25245546292115817,0.01854210470086888,0.06546870710964538,0.28407673365275
m12_joint_hybrid_synergy,std_B_anch,ou_35,178,0.6567381527273083,0.6455359798910608,0.2319454007272713,0.2263347334633069,0.051810774578228184,0.033705618499318184,0.587113176143232
m12_joint_hybrid_synergy,std_B_anch,btts,156,0.6702057810447958,0.6592616234604256,0.23859699415698138,0.23324959819567326,0.05368626660091705,0.037558440538183614,0.0599679905218492
m12_joint_hybrid_synergy,std_C_sqrt,1x2,1560,0.6118761871024917,0.6123176118070058,0.21114163043659936,0.21123299931682585,0.016537033394916915,0.013663985325952959,0.26971667236093877
