model,container,scheme,n_fixtures,mean_total,mean_sd_total,mean_cv_total,p_under_05,p_under_05_plugin,jensen_under_05,realised_under_05,bias_under_05,p_under_15,jensen_under_15,realised_under_15,bias_under_15,p_under_25,realised_under_25,bias_under_25,p_over_35,jensen_over_35,realised_over_35,bias_over_35,quoted_n,quoted_p_under_05,quoted_jensen_under_05,quoted_realised_under_05,quoted_bias_under_05
m12_joint_hybrid_synergy,raw,raw,710,2.707141275347865,0.18756602155724728,0.06939569900744429,0.06881293116092482,0.0676308811294901,0.001182050031434708,0.061971830985915494,0.006841100175009329,0.250892302963466,0.0019912482212436538,0.21830985915492956,0.03258244380853642,0.4938463332026219,0.4887323943661972,0.005113938836424692,0.28820511825994805,0.0003997051445720776,0.2943661971830986,-0.0061610789231505425,44,0.07100556338617604,0.0011647420594621805,0.06818181818181818,0.0028237452043578665
m12_joint_hybrid_synergy,std_A_pool,std_A_pool,710,2.70971946777405,0.15615466524464552,0.057824415494092965,0.06857892284849137,0.0677255565239044,0.0008533663245869689,0.061971830985915494,0.006607091862575881,0.25033160384008674,0.0014328024469548804,0.21830985915492956,0.03202174468515717,0.4931730053933998,0.4887323943661972,0.004440611027202612,0.28874479793699614,0.0002925704007994513,0.2943661971830986,-0.005621399246102443,44,0.0663293226868824,0.0007374543743163042,0.06818181818181818,-0.0018524954949357825
m12_joint_hybrid_synergy,std_B_full,std_B_full,710,2.7130852815669138,0.1885206204344754,0.06959613134279162,0.06868792207968735,0.06750188503854095,0.0011860370411464025,0.061971830985915494,0.006716091093771859,0.2502995521675063,0.0020021801139161726,0.21830985915492956,0.03198969301257676,0.4926930401432878,0.4887323943661972,0.003960645777090599,0.2895784089574993,0.00038826642551846417,0.2943661971830986,-0.0047877882255992765,44,0.06647815008264994,0.0011490201088614,0.06818181818181818,-0.0017036680991682346
m12_joint_hybrid_synergy,std_B_anch,std_B_anch,710,2.709719467774051,0.18828332008051402,0.0695963638021164,0.06891264823382674,0.06772555652390438,0.0011870917099223663,0.061971830985915494,0.006940817247911249,0.2508987926832048,0.001999991290073023,0.21830985915492956,0.032588933528275243,0.49350067906040246,0.4887323943661972,0.00476828469420526,0.28884482482617574,0.0003925972899789834,0.2943661971830986,-0.005521372356922849,44,0.0667422092194026,0.001150340906836523,0.06818181818181818,-0.0014396089624155728
m12_joint_hybrid_synergy,std_C_sqrt,std_C_sqrt,710,2.711006714637758,0.16999364071864367,0.06287195561161112,0.06862110519342861,0.06763948778432813,0.0009816174091004629,0.061971830985915494,0.0066492742075131145,0.2503190872383683,0.0016512860541187267,0.21830985915492956,0.03200922808343876,0.4929875504231022,0.4887323943661972,0.004255156056905018,0.2890657538733937,0.00033138163531882625,0.2943661971830986,-0.005300443309704861,44,0.06638386484368894,0.0008908265970346965,0.06818181818181818,-0.0017979533381292379
m12_joint_hybrid_synergy,std_D_sup,std_D_sup,710,2.71120125113796,0.15652000920914158,0.05786782687285404,0.06847764457821962,0.06762757354052942,0.0008500710376902116,0.061971830985915494,0.006505813592304122,0.250066528880905,0.0014317237011317045,0.21830985915492956,0.03175666972597546,0.49281991263669617,0.4887323943661972,0.004087518270498969,0.289064128790403,0.00028683768172348427,0.2943661971830986,-0.005302068392695591,44,0.06622447275258116,0.0007495777450537935,0.06818181818181818,-0.00195734542923702
m12_joint_hybrid_synergy,std_D_sup_anch,std_D_sup_anch,710,2.709719467774051,0.1564480064745202,0.05786836421254965,0.06857587718381666,0.06772555652390438,0.0008503206599122844,0.061971830985915494,0.00660404619790117,0.2503300485753565,0.0014312471822247152,0.21830985915492956,0.03202018942042695,0.49317633423510004,0.4887323943661972,0.004443939868902846,0.2887400392725588,0.0002878117363620475,0.2943661971830986,-0.005626157910539775,44,0.06634169719541441,0.0007498288828483415,0.06818181818181818,-0.0018401209864037649
m12_joint_hybrid_synergy,std_D_tot,std_D_tot,710,2.711486249137336,0.18765131724953835,0.06933066496409872,0.06878659655335805,0.06760841338908091,0.001178183164277136,0.061971830985915494,0.006814765567442552,0.2505691399746166,0.001985596848578177,0.21830985915492956,0.03225928081968704,0.49306621654591937,0.4887323943661972,0.004333822179722169,0.28922932449254835,0.0003896461308271241,0.2943661971830986,-0.005136872690550243,44,0.06658984143391314,0.0011393600345895134,0.06818181818181818,-0.0015919767479050384
m12_joint_hybrid_synergy,inv_A_pool,inv_A_pool,710,2.7045867475815233,0.08577259659318556,0.03182659944859494,0.06849047034998136,0.06815435853685721,0.0003361118131241574,0.061971830985915494,0.006518639364065867,0.2505148729072057,0.0005610414263926198,0.21830985915492956,0.032205013752276135,0.4939893287330597,0.4887323943661972,0.005256934366862476,0.28748707994052397,0.000119118592535977,0.2943661971830986,-0.006879117242574617,44,0.06749677732339314,0.00022708283942872852,0.06818181818181818,-0.0006850408584250373
m12_joint_hybrid_synergy,inv_B_full,inv_B_full,710,2.7131359209774284,0.18863296832359464,0.06963119909727215,0.0687654351312466,0.06757892729530822,0.0011865078359383793,0.061971830985915494,0.006793604145331103,0.2504159979046425,0.002002903642609252,0.21830985915492956,0.03210613874971291,0.49273915759635406,0.4887323943661972,0.004006763230156862,0.28962700620038206,0.0003858869087490617,0.2943661971830986,-0.0047391909827165235,44,0.06779931573233232,0.0011529107077319965,0.06818181818181818,-0.0003825024494858581
m12_joint_hybrid_synergy,inv_B_anch,inv_B_anch,710,2.7045867475815233,0.18802575780597125,0.06963049994870082,0.06934347616214945,0.06815435853685721,0.001189117625292238,0.061971830985915494,0.007371645176233954,0.251950912154917,0.0019970806741039715,0.21830985915492956,0.03364105299998743,0.4947989567971646,0.4887323943661972,0.006066562430967426,0.28776468765348867,0.0003967263055005738,0.2943661971830986,-0.006601509529609917,44,0.0684253967774676,0.0011557022935031272,0.06818181818181818,0.00024357859564942685
m12_joint_hybrid_synergy,inv_C_sqrt,inv_C_sqrt,710,2.7066401941195193,0.12220629604334227,0.04526377099269107,0.06855681155102714,0.06801573320730907,0.0005410783437180837,0.061971830985915494,0.006584980565111642,0.25049097353808325,0.0009078895025112644,0.21830985915492956,0.032181114383153686,0.49368698148203577,0.4887323943661972,0.004954587115838571,0.2880039437111747,0.0001862270688444455,0.2943661971830986,-0.006362253471923873,44,0.06757270519070727,0.0004568951953664906,0.06818181818181818,-0.0006091129911109106
m12_joint_hybrid_synergy,inv_D_sup,inv_D_sup,710,2.708480300320967,0.08948795289484543,0.033144532359955486,0.068243218569479,0.06789142125934372,0.0003517973101352878,0.061971830985915494,0.006271387583563506,0.24983986515280748,0.0005892759951540578,0.21830985915492956,0.03153000599787792,0.4930614376804907,0.4887323943661972,0.0043290433142935125,0.28834337052825343,0.00012253802253405573,0.2943661971830986,-0.006022826654845159,44,0.0672254394405183,0.0002374814157621325,0.06818181818181818,-0.0009563787412998764
m12_joint_hybrid_synergy,inv_D_sup_anch,inv_D_sup_anch,710,2.7045867475815233,0.08939062803159441,0.03314446170997419,0.06850631428226313,0.06815435853685722,0.00035195574540589325,0.061971830985915494,0.006534483296347635,0.25054275966484735,0.0005889281840342745,0.21830985915492956,0.03223290050991778,0.4940063630488876,0.4887323943661972,0.005273968682690422,0.28749116558687043,0.00012320423888240907,0.2943661971830986,-0.006875031596228154,44,0.06750738508038658,0.0002376905964221694,0.06818181818181818,-0.0006744331014316013
m12_joint_hybrid_synergy,inv_D_tot,inv_D_tot,710,2.7092262471245134,0.1871325823553093,0.0691956335821161,0.06901551576975369,0.06784119820038283,0.0011743175693708654,0.061971830985915494,0.007043684783838197,0.2510918348744467,0.001975534711680749,0.21830985915492956,0.03278197571951713,0.4936638592420104,0.4887323943661972,0.004931464875813196,0.2887730877349853,0.000388982199553516,0.2943661971830986,-0.005593109448113309,44,0.06806986330040293,0.0011410034480581433,0.06818181818181818,-0.00011195488141524379
m05_joint_production_wealth,raw,raw,710,2.7203771543623705,0.21786949193542093,0.0802928587341803,0.06890253333081002,0.06731886097875332,0.0015836723520567116,0.061971830985915494,0.0069307023448945265,0.25016411212005446,0.0026702482179927697,0.21830985915492956,0.031854252965124896,0.491582082579476,0.4887323943661972,0.0028496882132788004,0.2914074256309591,0.000500219313802031,0.2943661971830986,-0.002958771552139472,44,0.07159341891943505,0.001555081813959617,0.06818181818181818,0.003411600737616871
m05_joint_production_wealth,std_A_pool,std_A_pool,710,2.720051644886614,0.1839177043894357,0.0678932004196431,0.06854517923929446,0.06737247193675569,0.0011727073025387517,0.061971830985915494,0.006573348253378963,0.2495843343878604,0.001970320193203639,0.21830985915492956,0.03127447523293084,0.49129870653260804,0.4887323943661972,0.0025663121664108446,0.2912169984861809,0.00038288704423271905,0.2943661971830986,-0.00314919869691771,44,0.06651229843377329,0.001027807832214433,0.06818181818181818,-0.0016695197480448842
m05_joint_production_wealth,std_B_full,std_B_full,710,2.7243914701219594,0.21884148347721805,0.0805107997914009,0.06867733043897613,0.06708760155819887,0.0015897288807772264,0.061971830985915494,0.006705499453060634,0.24953371177020317,0.002688176048672487,0.21830985915492956,0.031223852615273606,0.4906836447203313,0.4887323943661972,0.0019512503541341264,0.29227811914880214,0.000492437357703715,0.2943661971830986,-0.0020880780342964478,44,0.066693326731489,0.0015381235143345203,0.06818181818181818,-0.0014884914503291713
m05_joint_production_wealth,std_B_anch,std_B_anch,710,2.720051644886614,0.21848480928339495,0.08051212549991286,0.06896413088571,0.06737247193675573,0.0015916589489542823,0.061971830985915494,0.00699229989979451,0.25029843466285717,0.0026844204682003494,0.21830985915492956,0.03198857550792761,0.49171708400122066,0.4887323943661972,0.002984689635023463,0.2913343877663482,0.0005002763244000791,0.2943661971830986,-0.0030318094167504084,44,0.06702479841102099,0.0015403078094619815,0.06818181818181818,-0.0011570197707971852
m05_joint_production_wealth,std_C_sqrt,std_C_sqrt,710,2.721728827229054,0.1988769002823178,0.0733153590774795,0.06859655258327184,0.06726170799254594,0.001334844590725894,0.061971830985915494,0.006624721597356345,0.24956386114072843,0.002248072994067462,0.21830985915492956,0.03125400198579886,0.4910581466704768,0.4887323943661972,0.0023257523042796158,0.29162992411916017,0.0004281615893285493,0.2943661971830986,-0.0027362730639384214,44,0.0665783692914374,0.0012187658570232546,0.06818181818181818,-0.0016034488903807764
m05_joint_production_wealth,std_D_sup,std_D_sup,710,2.7219854827438397,0.184060639342883,0.06784927211144036,0.06841146593678282,0.06724600442667443,0.0011654615101083963,0.061971830985915494,0.006439634950867329,0.2492352241256697,0.0019628414054616715,0.21830985915492956,0.030925364970740138,0.4908354640178075,0.4887323943661972,0.0021030696516102787,0.291633760104288,0.00037549522028044823,0.2943661971830986,-0.002732437078810601,44,0.06638484735616837,0.001051746502668127,0.06818181818181818,-0.0017969708256498074
m05_joint_production_wealth,std_D_sup_anch,std_D_sup_anch,710,2.720051644886614,0.18394993376970145,0.06785074316471278,0.06853842123781564,0.06737247193675569,0.0011659493010599496,0.061971830985915494,0.006566590251900151,0.24957601494141185,0.001962000746755139,0.21830985915492956,0.031266155786482286,0.49129766714212064,0.4887323943661972,0.002565272775923444,0.29121145202768944,0.00037734058574127383,0.2943661971830986,-0.0031547451554091444,44,0.06653669841910546,0.0010522078175465902,0.06818181818181818,-0.0016451197627127129
