model,spec,n_shifted,w_p10,w_median,w_p90,w_mean,var_retention_median,market_share_median
m12_joint_hybrid_synergy,inv_w0.25_s0.15,623,0.25766510682587385,0.45216776020254595,0.8776905665821095,0.5127107695576838,0.2044557018886659,0.547832239797454
m12_joint_hybrid_synergy,inv_w0.25_s0.25,623,0.2527685164391264,0.3301889055376993,0.6095868448883442,0.3882192045236357,0.10902471692861178,0.6698110944623007
m12_joint_hybrid_synergy,inv_w0.25_s0.35,623,0.2514137880183127,0.2920449433031566,0.46247388190892813,0.332138188127999,0.08529024995245924,0.7079550566968433
m12_joint_hybrid_synergy,inv_w0.25_s0.50,623,0.25069308954113895,0.27090514862929277,0.3629448639005095,0.2944015921452971,0.07338959981959353,0.7290948513707072
m12_joint_hybrid_synergy,inv_w0.25_s0.75,623,0.250308118930602,0.25936417413589163,0.302479215939804,0.2709461271743317,0.06726977487935878,0.7406358258641084
m12_joint_hybrid_synergy,inv_w0.25_s1.00,623,0.25017333248167956,0.25528182096195157,0.2799872274354041,0.2620486101753586,0.0651688081309777,0.7447181790380484
m12_joint_hybrid_synergy,inv_w0.40_s0.15,623,0.40613208546069907,0.5617342081620368,0.9021524532656877,0.6101686156461468,0.31554533247356087,0.4382657918379632
m12_joint_hybrid_synergy,inv_w0.40_s0.25,623,0.40221481315130114,0.4641511244301595,0.6876694759106754,0.5105753636189085,0.21543626860637533,0.5358488755698405
m12_joint_hybrid_synergy,inv_w0.40_s0.35,623,0.40113103041465015,0.4336359546425253,0.5699791055271426,0.46571055050239923,0.18804014182658402,0.5663640453574748
m12_joint_hybrid_synergy,inv_w0.40_s0.50,623,0.4005544716329112,0.41672411890343425,0.49035589112040767,0.43552127371623767,0.17365899144591357,0.5832758810965657
m12_joint_hybrid_synergy,inv_w0.40_s0.75,623,0.40024649514448163,0.4074913393087134,0.44198337275184324,0.41675690173946545,0.166049191646275,0.5925086606912866
m12_joint_hybrid_synergy,inv_w0.40_s1.00,623,0.40013866598534364,0.4042254567695613,0.42398978194832326,0.4096388881402869,0.16339821991165027,0.5957745432304387
m12_joint_hybrid_synergy,inv_w0.55_s0.15,623,0.5545990640955243,0.6713006561215276,0.9266143399492658,0.7076264617346102,0.45064457757714177,0.32869934387847244
m12_joint_hybrid_synergy,inv_w0.55_s0.25,623,0.5516611098634758,0.5981133433226196,0.7657521069330067,0.6329315227141815,0.357739572752396,0.40188665667738044
m12_joint_hybrid_synergy,inv_w0.55_s0.35,623,0.5508482728109876,0.575226965981894,0.677484329145357,0.5992829128767995,0.3308860627684006,0.42477303401810595
m12_joint_hybrid_synergy,inv_w0.55_s0.50,623,0.5504158537246834,0.5625430891775758,0.6177669183403057,0.5766409552871782,0.3164547272771143,0.4374569108224242
m12_joint_hybrid_synergy,inv_w0.55_s0.75,623,0.5501848713583612,0.555618504481535,0.5814875295638824,0.5625676763045989,0.30871192254179725,0.44438149551846495
m12_joint_hybrid_synergy,inv_w0.55_s1.00,623,0.5501039994890078,0.5531690925771711,0.5679923364612425,0.5572291661052153,0.30599604498888877,0.44683090742282894
m12_joint_hybrid_synergy,inv_w0.70_s0.15,623,0.7030660427303494,0.7808671040810183,0.9510762266328439,0.8050843078230736,0.6097534371994086,0.21913289591898166
m12_joint_hybrid_synergy,inv_w0.70_s0.25,623,0.7011074065756505,0.7320755622150796,0.8438347379553377,0.7552876818094542,0.5359346293666735,0.26792443778492037
m12_joint_hybrid_synergy,inv_w0.70_s0.35,623,0.700565515207325,0.7168179773212626,0.7849895527635712,0.7328552752511996,0.5138280127779086,0.2831820226787374
m12_joint_hybrid_synergy,inv_w0.70_s0.50,623,0.7002772358164555,0.708362059451717,0.7451779455602037,0.7177606368581189,0.5017768073131954,0.29163794054828296
m12_joint_hybrid_synergy,inv_w0.70_s0.75,623,0.7001232475722408,0.7037456696543567,0.7209916863759216,0.7083784508697326,0.4952579675659254,0.2962543303456433
m12_joint_hybrid_synergy,inv_w0.70_s1.00,623,0.7000693329926718,0.7021127283847806,0.7119948909741616,0.7048194440701434,0.4929622833626932,0.29788727161521944
m12_joint_hybrid_synergy,inv_w0.85_s0.15,623,0.8515330213651747,0.8904335520405091,0.9755381133164219,0.9025421539115365,0.7928719113403613,0.10956644795949089
m12_joint_hybrid_synergy,inv_w0.85_s0.25,623,0.8505537032878252,0.8660377811075398,0.9219173689776688,0.877643840904727,0.7500214384492081,0.13396221889246018
m12_joint_hybrid_synergy,inv_w0.85_s0.35,623,0.8502827576036625,0.8584089886606313,0.8924947763817856,0.8664276376255998,0.7368659918551085,0.1415910113393687
m12_joint_hybrid_synergy,inv_w0.85_s0.50,623,0.8501386179082278,0.8541810297258585,0.872588972780102,0.8588803184290593,0.7296252315541574,0.14581897027414148
m12_joint_hybrid_synergy,inv_w0.85_s0.75,623,0.8500616237861204,0.8518728348271783,0.8604958431879608,0.8541892254348665,0.7256873267186597,0.14812716517282165
m12_joint_hybrid_synergy,inv_w0.85_s1.00,623,0.8500346664963359,0.8510563641923903,0.8559974454870808,0.8524097220350717,0.7242969350330635,0.14894363580760972
m12_joint_hybrid_synergy,inv_w1.00_s0.15,623,1.0,1.0,1.0,1.0,1.0,0.0
m12_joint_hybrid_synergy,std_w0.25_s0.15,623,0.37230943341789047,0.797832239797454,0.9923348931741263,0.7372892304423162,0.636536301382301,0.202167760202546
m12_joint_hybrid_synergy,std_w0.25_s0.25,623,0.6404131551116558,0.9198110944623007,0.9972314835608735,0.8617807954763644,0.8460524530843636,0.0801889055376993
m12_joint_hybrid_synergy,std_w0.25_s0.35,623,0.7875261180910719,0.9579550566968433,0.9985862119816873,0.9178618118720008,0.9176778916945676,0.04204494330315667
m12_joint_hybrid_synergy,std_w0.25_s0.50,623,0.8870551360994905,0.9790948513707072,0.9993069104588611,0.9555984078547031,0.9586267282463616,0.020905148629292825
