model,container,rates,price,panel,trust,window,n_bets,n_slates,total_return_pct,flat_roi_pct,max_drawdown_pct,sharpe_ann,calmar,win_rate,mean_exposure,risk_lambda,target_mdd,mdd_span,risk_matched
m12_joint_hybrid_synergy,inv_t25,t25,t25_full,F,flat_1.0,full,1318,99,64.09472242611093,9.195090595246608,-21.04954738777838,1.0430916363314346,3.044945396941176,0.36949924127465855,0.06171295242861915,15.0,-23.44618631203682,24.08363900118588,false
m12_joint_hybrid_synergy,std_t25,t25,t25_full,F,flat_1.0,full,1503,99,134.1737482097035,9.620121551056876,-22.21512514831008,1.313899471995375,6.039747573508952,0.3712574850299401,0.10249672754339227,12.0,-23.44618631203682,21.579968632614836,false
m12_joint_hybrid_synergy,sta_t25,t25,t25_full,F,flat_1.0,full,1323,99,88.93007393846064,8.986652714114326,-19.489640326865356,1.1562707988039354,4.5629407442617405,0.36583522297808013,0.08159648301606404,10.0,-23.44618631203682,23.393063920455212,false
m05_joint_production_wealth,inv_t25,t25,t25_full,F,flat_1.0,full,1313,99,82.91495608160054,9.536549803158621,-22.04646793093636,1.1335565561545566,3.76091790945122,0.36633663366336633,0.07286920749559114,12.0,-22.73179591720139,20.84504143580528,false
m05_joint_production_wealth,std_t25,t25,t25_full,F,flat_1.0,full,1497,99,83.96363957026287,8.580523750438173,-20.014947382677434,1.158333911941394,4.1950467300719385,0.3700734802939212,0.08143244508489696,15.0,-22.73179591720139,21.739744085973637,false
m05_joint_production_wealth,sta_t25,t25,t25_full,F,flat_1.0,full,1343,99,85.32241977063086,8.89648830792633,-19.77503339894877,1.181525757435014,4.314653636699624,0.3670886075949367,0.07924284844512158,10.0,-22.73179591720139,21.28989592946347,false
