model,container,form,scheme,trust,family,selection,n_bets,win_rate,mean_odds,p_model,p_market,stake_units,pnl_units,mean_payoff,flat_roi,kelly_roi,capital_share,efficiency,edge,calibration
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,1X2_away,away,341,0.2697947214076246,4.522759553604161,0.3278356935556728,0.25658887941448827,4986.650636981541,302.62246856668213,0.05136146153506859,5.136146153506859,6.068651898779537,29.013434081704602,0.9337683004745301,0.07124681414118456,-0.05804097214804821
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,1X2_home,home,268,0.34701492537313433,3.343654502742371,0.39340308966409715,0.325983196501733,4140.589872522325,430.802598289186,0.06596794788637805,6.596794788637805,10.404377432985262,24.090865807779437,1.600895552280406,0.06741989316236413,-0.04638816429096282
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,1X2_draw,draw,319,0.25705329153605017,4.134790090485262,0.2537264642000832,0.24700340440214727,2261.346941796065,178.38754286755199,0.04124572151311109,4.124572151311109,7.888552595377889,13.157015641941651,1.2137918722395893,0.006723059797935943,0.003326827335966953
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,O/U 2.5_under_25,under_25,199,0.5125628140703518,2.233530239700012,0.4970606993868076,0.45237330768541095,1882.9639112735777,482.11844222349185,0.12239731713026981,12.239731713026982,25.604231676293896,10.955499651973483,3.9396591361810174,0.04468739170139663,0.015502114683544177
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,O/U 3.5_under_35,under_35,98,0.5918367346938775,1.546036015404914,0.7039888237703702,0.6489474093826043,1349.3190449544813,-294.26731205781505,-0.10572615886593997,-10.572615886593997,-21.808579161331114,7.850636031256499,-3.355631570058555,0.055041414387765886,-0.11215208907649266
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,BTTS_btts_yes,btts_yes,64,0.578125,1.8736114163593829,0.5499472477781092,0.5376022796970504,668.6392010187228,-131.78579926114944,0.05009263604103802,5.009263604103802,-19.70955323294891,3.8902904565504173,-3.03265969648782,0.012344968081058783,0.028177752221890784
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,O/U 2.5_over_25,over_25,71,0.5352112676056338,2.0771968905519906,0.5200924945908978,0.4823245389245929,514.2450661964556,68.63688505184493,0.11037178697778124,11.037178697778124,13.347115911001035,2.9919913015931447,2.0536873671990388,0.037767955666304864,0.015118773014735964
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,O/U 1.5_over_15,over_15,45,0.8222222222222222,1.3769736472828886,0.7551867102444678,0.7250512900941785,463.62666059652946,47.20383612074221,0.12248616764341001,12.248616764341001,10.18143263375039,2.6974822450927665,1.5665915932210557,0.03013542015028936,0.06703551197775437
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,BTTS_btts_no,btts_no,71,0.4084507042253521,2.4032416231341323,0.45510438395424463,0.41784072063070216,413.2818550822769,4.58427456086262,-0.052715117856039176,-5.271511785603917,1.1092368330445996,2.404565054281067,0.1706754992198694,0.03726366332354247,-0.046653679728892505
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,O/U 1.5_under_15,under_15,81,0.18518518518518517,4.725245814417161,0.25350256575368585,0.21658271843366864,363.0682187504557,-20.82474848655505,-0.1748231937795339,-17.482319377953388,-5.7357673878000135,2.1124110347249996,-0.8825481927378913,0.03691984732001721,-0.06831738056850067
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,O/U 3.5_over_35,over_35,35,0.2857142857142857,3.7371807275996387,0.29675859920443776,0.27109644510458314,143.65365851261421,49.54684898982454,0.061253852668248294,6.125385266824829,34.49048879285858,0.8358086931019275,5.306965309564112,0.025662154099854617,-0.011044313490152058
