model,spec,family,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,mce
m12_joint_hybrid_synergy,uncalibrated_t25,1x2,1560,0.6170079064582653,0.6123176118070058,0.21342073590442356,0.21123299931682585,0.020020255525184147,0.013663985325952959,0.19640169051638687
m12_joint_hybrid_synergy,uncalibrated_t25,ou_05,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
m12_joint_hybrid_synergy,uncalibrated_t25,ou_15,116,0.5704338006319293,0.5785496986547277,0.19115644119520217,0.19372443296377037,0.05587979125138897,0.03517861886821262,0.30951110813500393
m12_joint_hybrid_synergy,uncalibrated_t25,ou_25,432,0.6854559150272214,0.6985069307120938,0.24617490218091567,0.25245546292115817,0.0199846830528773,0.06546870710964538,0.10781221674809816
m12_joint_hybrid_synergy,uncalibrated_t25,ou_35,178,0.6712155427157647,0.6455359798910608,0.23847923148920697,0.2263347334633069,0.0682762042886767,0.033705618499318184,0.08288623694211417
m12_joint_hybrid_synergy,uncalibrated_t25,btts,156,0.673512540227568,0.6592616234604256,0.24024922558770925,0.23324959819567326,0.04718134507162482,0.037558440538183614,0.3885780696472543
m12_joint_hybrid_synergy,uncalibrated_close,1x2,1560,0.6170079064582653,0.611060439186411,0.21342073590442356,0.21069839308835467,0.020020255525184147,0.01755725723619463,0.19640169051638687
m12_joint_hybrid_synergy,uncalibrated_close,ou_05,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
m12_joint_hybrid_synergy,uncalibrated_close,ou_15,116,0.5704338006319293,0.5809644314362301,0.19115644119520217,0.1945486824821328,0.05587979125138897,0.05063280394418807,0.30951110813500393
m12_joint_hybrid_synergy,uncalibrated_close,ou_25,432,0.6854559150272214,0.6980461766637346,0.24617490218091567,0.25219702465915855,0.0199846830528773,0.04456148914484844,0.10781221674809816
m12_joint_hybrid_synergy,uncalibrated_close,ou_35,178,0.6712155427157647,0.6439586668074435,0.23847923148920697,0.2257812636401299,0.0682762042886767,0.06365125725434512,0.08288623694211417
m12_joint_hybrid_synergy,uncalibrated_close,btts,156,0.673512540227568,0.6592546276141584,0.24024922558770925,0.23325388816998702,0.04718134507162482,0.09246239099482928,0.3885780696472543
m05_joint_production_wealth,uncalibrated_t25,1x2,1560,0.6161819750527245,0.6123176118070058,0.2130532774043965,0.21123299931682585,0.021523334779320908,0.013663985325952959,0.39588365808277426
m05_joint_production_wealth,uncalibrated_t25,ou_05,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
m05_joint_production_wealth,uncalibrated_t25,ou_15,116,0.5713403523133421,0.5785496986547277,0.19145687506718992,0.19372443296377037,0.03533114591740531,0.03517861886821262,0.20976079124631986
m05_joint_production_wealth,uncalibrated_t25,ou_25,432,0.6841286369779422,0.6985069307120938,0.24553190443430936,0.25245546292115817,0.01749474487062707,0.06546870710964538,0.16159383771845182
m05_joint_production_wealth,uncalibrated_t25,ou_35,178,0.6692447977841699,0.6455359798910608,0.23744430531351576,0.2263347334633069,0.07169008310253927,0.033705618499318184,0.40723856132796743
m05_joint_production_wealth,uncalibrated_t25,btts,156,0.6707416600654655,0.6592616234604256,0.23891334941234918,0.23324959819567326,0.05175232609875618,0.037558440538183614,0.07888461086540799
m05_joint_production_wealth,uncalibrated_close,1x2,1560,0.6161819750527245,0.611060439186411,0.2130532774043965,0.21069839308835467,0.021523334779320908,0.01755725723619463,0.39588365808277426
m05_joint_production_wealth,uncalibrated_close,ou_05,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
m05_joint_production_wealth,uncalibrated_close,ou_15,116,0.5713403523133421,0.5809644314362301,0.19145687506718992,0.1945486824821328,0.03533114591740531,0.05063280394418807,0.20976079124631986
m05_joint_production_wealth,uncalibrated_close,ou_25,432,0.6841286369779422,0.6980461766637346,0.24553190443430936,0.25219702465915855,0.01749474487062707,0.04456148914484844,0.16159383771845182
m05_joint_production_wealth,uncalibrated_close,ou_35,178,0.6692447977841699,0.6439586668074435,0.23744430531351576,0.2257812636401299,0.07169008310253927,0.06365125725434512,0.40723856132796743
m05_joint_production_wealth,uncalibrated_close,btts,156,0.6707416600654655,0.6592546276141584,0.23891334941234918,0.23325388816998702,0.05175232609875618,0.09246239099482928,0.07888461086540799
m12_joint_hybrid_synergy,inv_w0.25_s0.15,1x2,1560,0.6140572892074965,0.6123176118070058,0.2120543052553694,0.21123299931682585,0.016663051086723574,0.013663985325952959,0.39878876755455805
m12_joint_hybrid_synergy,inv_w0.25_s0.15,ou_05,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
m12_joint_hybrid_synergy,inv_w0.25_s0.15,ou_15,116,0.5680309367864246,0.5785496986547277,0.19025324995849593,0.19372443296377037,0.040860413401067365,0.03517861886821262,0.19467722436429646
m12_joint_hybrid_synergy,inv_w0.25_s0.15,ou_25,432,0.686179884609023,0.6985069307120938,0.24654580316918928,0.25245546292115817,0.01101149401637869,0.06546870710964538,0.16949058470121103
m12_joint_hybrid_synergy,inv_w0.25_s0.15,ou_35,178,0.6700789331680372,0.6455359798910608,0.237877779115334,0.2263347334633069,0.06676379472628756,0.033705618499318184,0.09758067899031286
m12_joint_hybrid_synergy,inv_w0.25_s0.15,btts,156,0.6681000507909108,0.6592616234604256,0.23756689940673473,0.23324959819567326,0.07725521289580753,0.037558440538183614,0.08116542238516555
m12_joint_hybrid_synergy,inv_w0.25_s0.25,1x2,1560,0.6122671821280515,0.6123176118070058,0.2112317654764578,0.21123299931682585,0.01742843953185281,0.013663985325952959,0.17561996651453216
m12_joint_hybrid_synergy,inv_w0.25_s0.25,ou_05,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
m12_joint_hybrid_synergy,inv_w0.25_s0.25,ou_15,116,0.5672828300804789,0.5785496986547277,0.189881773864026,0.19372443296377037,0.025590318800190883,0.03517861886821262,0.19206225324299248
m12_joint_hybrid_synergy,inv_w0.25_s0.25,ou_25,432,0.6861480904732845,0.6985069307120938,0.24653121586488083,0.25245546292115817,0.023563831374171597,0.06546870710964538,0.13646812261684726
m12_joint_hybrid_synergy,inv_w0.25_s0.25,ou_35,178,0.6649297878863629,0.6455359798910608,0.23564440044672563,0.2263347334633069,0.060883060370115774,0.033705618499318184,0.06899711378403572
m12_joint_hybrid_synergy,inv_w0.25_s0.25,btts,156,0.6660810621143369,0.6592616234604256,0.23656821448001603,0.23324959819567326,0.06595104499780588,0.037558440538183614,0.08988446510501702
m12_joint_hybrid_synergy,inv_w0.25_s0.35,1x2,1560,0.6114049480827196,0.6123176118070058,0.21085209913070596,0.21123299931682585,0.015880824168632297,0.013663985325952959,0.043440190681114155
m12_joint_hybrid_synergy,inv_w0.25_s0.35,ou_05,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
m12_joint_hybrid_synergy,inv_w0.25_s0.35,ou_15,116,0.5685415660053067,0.5785496986547277,0.19035243300334528,0.19372443296377037,0.05300864551929648,0.03517861886821262,0.19557542793662352
