model,form,scheme,spec,family,anchor,n_shifted,w_median,ret_side_median,ret_sup_median,ret_tot_median,rate_ratio_median,rate_ratio_p90
m12_joint_hybrid_synergy,std,A_pool,std_w0.40_s0.15,A,none,580,0.8401914505155152,0.7059217084732545,0.6866945682543686,0.6743761976555451,1.0,1.0
m12_joint_hybrid_synergy,std,B_full,std_w0.40_s0.15,B,none,580,0.8401914505155152,1.0,1.0,1.0,1.0012575154343688,1.0033284115356123
m12_joint_hybrid_synergy,std,B_anch,std_w0.40_s0.15,B,pool_mean,580,0.8401914505155152,1.0,1.0,1.0,1.0,1.000000000000004
m12_joint_hybrid_synergy,std,C_sqrt,std_w0.40_s0.15,C,none,580,0.8401914505155152,0.8401914505155157,0.8156532450563387,0.8149222686752171,1.000570687862839,1.0011337855225215
m12_joint_hybrid_synergy,std,D_sup,std_w0.40_s0.15,D,none,580,0.8401914505155152,0.8190645661586535,1.0,0.6651859941792931,1.000554624473937,1.001868709331338
m12_joint_hybrid_synergy,std,D_sup_anch,std_w0.40_s0.15,D,pool_mean,580,0.8401914505155152,0.8190645661586535,1.0,0.6651859941792931,1.0000000000000002,1.0000000000000042
m12_joint_hybrid_synergy,std,D_tot,std_w0.40_s0.15,D,none,580,0.8401914505155152,0.8487534517019282,0.6651859941792946,1.0,1.0006688883333625,1.0020703731466247
m12_joint_hybrid_synergy,inv,A_pool,inv_w0.25_s0.35,A,none,580,0.2914746325456702,0.08495746447266736,0.09419541544207582,0.09372911918104092,1.0,1.0
m12_joint_hybrid_synergy,inv,B_full,inv_w0.25_s0.35,B,none,580,0.2914746325456702,1.0,1.0,1.0,1.0037755855325208,1.0049604049505068
m12_joint_hybrid_synergy,inv,B_anch,inv_w0.25_s0.35,B,pool_mean,580,0.2914746325456702,1.0,1.0,1.0,0.9999999999999998,1.0000000000000038
m12_joint_hybrid_synergy,inv,C_sqrt,inv_w0.25_s0.35,C,none,580,0.2914746325456702,0.2914746325456702,0.3033603288228136,0.3026065883336244,1.0009038544476956,1.0011967799556643
m12_joint_hybrid_synergy,inv,D_sup,inv_w0.25_s0.35,D,none,580,0.2914746325456702,0.5109544868255522,1.0,0.0916058739645475,1.0017338468920478,1.0023226907950806
m12_joint_hybrid_synergy,inv,D_sup_anch,inv_w0.25_s0.35,D,pool_mean,580,0.2914746325456702,0.5109544868255522,1.0,0.0916058739645475,0.9999999999999999,1.0000000000000038
m12_joint_hybrid_synergy,inv,D_tot,inv_w0.25_s0.35,D,none,580,0.2914746325456702,0.59595194145687,0.09160587396454742,1.0,1.0020592532460053,1.0027343856494089
m05_joint_production_wealth,std,A_pool,std_w0.40_s0.15,A,none,580,0.8558302611004491,0.7324456153669736,0.717295482153651,0.7114335584427482,1.0,1.0
m05_joint_production_wealth,std,B_full,std_w0.40_s0.15,B,none,580,0.8558302611004491,1.0,1.0,1.0,1.0015506004666448,1.0044497299329178
m05_joint_production_wealth,std,B_anch,std_w0.40_s0.15,B,pool_mean,580,0.8558302611004491,1.0,1.0,1.0,1.0,1.000000000000004
m05_joint_production_wealth,std,C_sqrt,std_w0.40_s0.15,C,none,580,0.8558302611004491,0.8558302611004486,0.8359848889726421,0.8343396575554882,1.0006980924450992,1.001552171646051
m05_joint_production_wealth,std,D_sup,std_w0.40_s0.15,D,none,580,0.8558302611004491,0.8396407361828311,1.0,0.6996228854267866,1.0006658076953634,1.002535725975516
m05_joint_production_wealth,std,D_sup_anch,std_w0.40_s0.15,D,pool_mean,580,0.8558302611004491,0.8396407361828311,1.0,0.6996228854267866,0.9999999999999999,1.0000000000000042
m05_joint_production_wealth,std,D_tot,std_w0.40_s0.15,D,none,580,0.8558302611004491,0.8586082390701416,0.6996228854267859,1.0,1.0007658406669557,1.0027266055570845
m05_joint_production_wealth,inv,A_pool,inv_w0.25_s0.35,A,none,580,0.286916879720149,0.0823213106920476,0.08954966956542107,0.08913139287209323,1.0,1.0
m05_joint_production_wealth,inv,B_full,inv_w0.25_s0.35,B,none,580,0.286916879720149,1.0,1.0,1.0,1.0049937456345774,1.007254969264424
m05_joint_production_wealth,inv,B_anch,inv_w0.25_s0.35,B,pool_mean,580,0.286916879720149,1.0,1.0,1.0,0.9999999999999998,1.000000000000004
m05_joint_production_wealth,inv,C_sqrt,inv_w0.25_s0.35,C,none,580,0.286916879720149,0.2869168797201489,0.2971444469181387,0.29649635336290336,1.001195216013265,1.0017386433621303
m05_joint_production_wealth,inv,D_sup,inv_w0.25_s0.35,D,none,580,0.286916879720149,0.5190127224100751,1.0,0.08840501552553999,1.0023302168738168,1.003435464868119
m05_joint_production_wealth,inv,D_sup_anch,inv_w0.25_s0.35,D,pool_mean,580,0.286916879720149,0.5190127224100751,1.0,0.08840501552553999,1.0,1.000000000000004
m05_joint_production_wealth,inv,D_tot,inv_w0.25_s0.35,D,none,580,0.286916879720149,0.5805469084722055,0.08840501552553981,1.0,1.0026943185851453,1.0038611786707772
