model,container,trust,family,selection,n_bets,win_rate,mean_odds,p_model,p_market,stake_units,pnl_units,mean_payoff,flat_roi,kelly_roi,capital_share,efficiency,edge,calibration
m05_joint_production_wealth,inv,canonical_P1,1X2_draw,draw,185,0.23243243243243245,4.444526600486353,0.24089414422830147,0.23224327557327917,374.00985968843844,97.8526560830043,0.022501909702738812,2.250190970273881,26.16312205365884,9.250050535169919,1.9710050771025631,0.008650868655022292,-0.00846171179586902
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,1X2_away,away,374,0.25668449197860965,4.556252392681374,0.32594027587395563,0.2555004656126873,5426.077946738174,328.0778200306704,0.03061115418727832,3.061115418727832,6.046316017776536,28.298145476104196,0.9379328703104433,0.07043981026126833,-0.06925578389534598
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,1X2_home,home,293,0.3890784982935154,3.3274898125023338,0.3976814659820083,0.32994414021047863,4615.657549406236,482.0636001709035,0.14367092355341435,14.367092355341434,10.444093718194427,24.071631495727726,1.6201367527097408,0.06773732577152969,-0.008602967688492946
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,1X2_draw,draw,361,0.24376731301939059,4.132836243366692,0.25362091559698197,0.2473244573242616,2448.3823894802917,260.16961401037787,-0.005922491488684516,-0.5922491488684516,10.626183848087678,12.76883261146195,1.6483834268306186,0.006296458272720379,-0.00985360257759138
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,O/U 2.5_under_25,under_25,227,0.4889867841409692,2.2512051091156606,0.4936938564513877,0.44875251115073433,1846.1615301805045,358.06312112984386,0.07884852392343557,7.884852392343557,19.395005002343158,9.62812330863037,3.008644050038049,0.04494134530065336,-0.004707072310418503
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,O/U 3.5_under_35,under_35,121,0.6694214876033058,1.5411428811705885,0.7094428831190684,0.65119190721709,1613.3011315907063,-17.143800975817186,0.007421560596094597,0.7421560596094597,-1.0626535021960524,8.413707021286225,-0.1648437902567178,0.058250975901978475,-0.04002139551576267
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,BTTS_btts_yes,btts_yes,66,0.5909090909090909,1.8612456783052078,0.543993438938621,0.5405534192549177,560.3345661984357,-32.96820590632284,0.07771823236561053,7.771823236561053,-5.8836644917328815,2.922263414793918,-0.9127016034970689,0.0034400196837032215,0.046915651970469985
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,O/U 1.5_under_15,under_15,114,0.17543859649122806,5.004473828369926,0.24806683798355902,0.20728000411355887,547.8047028455386,-4.98717915888772,-0.16943087504303128,-16.94308750430313,-0.9103936371816668,2.856917524182609,-0.141224526591677,0.04078683387000015,-0.07262824149233096
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,O/U 0.5_over_05,over_05,33,0.9090909090909091,1.0844986642039731,0.9333584624889887,0.9206524822707904,546.8795519873054,-16.993519030228548,-0.016205127261924725,-1.6205127261924726,-3.107360472425017,2.852092666554207,-0.48202831582438255,0.012705980218198243,-0.024267553398079622
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,O/U 3.5_over_35,over_35,86,0.2558139534883721,3.7315903112496827,0.301178029062023,0.2720773512194873,453.843139053651,-8.163198355051712,-0.047630517898694,-4.7630517898694,-1.7986827722180683,2.366888072441417,-0.27902009924132765,0.029100677842535727,-0.04536407557365091
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,O/U 2.5_over_25,over_25,59,0.4745762711864407,2.1171647226586607,0.5152415219824824,0.47358987506449923,399.9002288929445,-43.01709284055158,-0.014816823256856194,-1.4816823256856193,-10.756956293732829,2.0855643734242073,-1.6686694613251534,0.041651646917983176,-0.04066525079604172
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,O/U 1.5_over_15,over_15,47,0.7021276595744681,1.370503849462643,0.7522411900143265,0.7293036463719393,357.32768741595515,-10.014337192837448,-0.04340172007441155,-4.340172007441155,-2.802564017710735,1.863539554793002,-0.4347468616645085,0.022937543642387204,-0.050113530439858445
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,BTTS_btts_no,btts_no,49,0.3877551020408163,2.3570480378732475,0.45811570642900457,0.42570718205201286,249.80363002039164,-26.25793304233261,-0.09049946913843948,-9.049946913843948,-10.51142973390305,1.3027788270209772,-1.6305822309651237,0.03240852437699171,-0.07036060438818825
m12_joint_hybrid_synergy,raw,flat_1.0_13dir,O/U 0.5_under_05,under_05,64,0.03125,17.93093047948344,0.07267033868627323,0.05956631769332327,109.20278612666836,-32.747295125864,-0.48794153137340945,-48.79415313734094,-29.987600396824305,0.5695156535792146,-4.651817078568638,0.013104020992949966,-0.041420338686273234
