model,container,trust,panel,n_bets,n_matched,n_unmatched,mean_clv_pct,median_clv_pct,stake_weighted_clv_pct,pct_positive,mean_fair_gain
m12_joint_hybrid_synergy,raw,flat_1.0,A,1239,1239,0,0.21842880579270316,0.11656623850213599,0.9229909400734895,50.52461662631154,0.0014963221855012437
m12_joint_hybrid_synergy,raw,canonical_P1,A,1014,1014,0,0.26584544455129805,0.06574889200170464,0.9877846269011656,50.4930966469428,0.0017363607157742102
m12_joint_hybrid_synergy,inv_t25,flat_1.0,A,1050,1050,0,0.5243967160517635,0.6686752018453035,1.0423625943169608,55.333333333333336,0.002387180546520143
m12_joint_hybrid_synergy,inv_t25,canonical_P1,A,885,885,0,0.5103868726181079,0.6581494386372455,1.0093310296205753,54.35028248587571,0.002382889158609618
m12_joint_hybrid_synergy,std_t25,flat_1.0,A,1186,1186,0,0.32530156837691004,0.4452763833347584,1.0006268594162606,52.44519392917369,0.0018729594586924172
m12_joint_hybrid_synergy,std_t25,canonical_P1,A,993,993,0,0.3542029456312103,0.42918454935623185,1.024651999220264,51.963746223564954,0.001986771944102381
m12_joint_hybrid_synergy,sta_t25,flat_1.0,A,1063,1063,0,0.50698947260326,0.6711409395973256,1.1578222144992927,54.93885230479774,0.002262109589480773
m12_joint_hybrid_synergy,sta_t25,canonical_P1,A,889,889,0,0.5004867962141335,0.6830264738991287,1.1332271620715078,54.105736782902135,0.0022502722084555772
m05_joint_production_wealth,raw,flat_1.0,A,1245,1245,0,0.32818577724411147,0.38026132693507186,0.8836354266137793,52.208835341365464,0.0018363844861614942
m05_joint_production_wealth,raw,canonical_P1,A,1010,1010,0,0.32690346952412613,0.31490529423779945,0.94049073729522,51.78217821782178,0.0019207645382640854
m05_joint_production_wealth,inv_t25,flat_1.0,A,1034,1034,0,0.5865306507340622,0.7119691902300662,1.0019691680303247,56.09284332688588,0.0026492512396318613
m05_joint_production_wealth,inv_t25,canonical_P1,A,854,854,0,0.5518550947825801,0.6620626464058921,0.9638356278615214,54.68384074941452,0.0026262249515342975
m05_joint_production_wealth,std_t25,flat_1.0,A,1182,1182,0,0.46748224738348637,0.6121502888592811,0.9722798157313208,53.63790186125212,0.0022982906452293428
m05_joint_production_wealth,std_t25,canonical_P1,A,982,982,0,0.47131787766074146,0.6321503982146259,0.9956384815777757,53.360488798370675,0.002396573322851904
m05_joint_production_wealth,sta_t25,flat_1.0,A,1064,1064,0,0.5534981984555863,0.6978949003454527,1.0911137498065708,55.545112781954884,0.002512786388749253
m05_joint_production_wealth,sta_t25,canonical_P1,A,883,883,0,0.49664701986695287,0.6581494386372455,1.0674597098025096,54.24688561721404,0.0023878525245468185
m12_joint_hybrid_synergy,raw,flat_1.0,B,1592,1226,366,0.2931729111503839,0.178572015175249,0.9901784026628769,50.97879282218597,0.0017806705526320777
m12_joint_hybrid_synergy,raw,canonical_P1,B,1127,1009,118,0.31416193944077686,0.1658674261280968,1.02867230697595,50.74331020812686,0.0018594658268927089
m12_joint_hybrid_synergy,inv_t25,flat_1.0,B,1318,1028,290,0.6017288284847649,0.7382586902037747,1.1073326824763314,55.93385214007782,0.0027111579680423265
m12_joint_hybrid_synergy,inv_t25,canonical_P1,B,975,871,104,0.5726440354105045,0.6993006993007089,1.05589796702215,54.99425947187141,0.002586606802391645
m12_joint_hybrid_synergy,std_t25,flat_1.0,B,1503,1168,335,0.40132902838116336,0.5127405295074161,1.0748713364463156,52.73972602739726,0.002126565124967677
m12_joint_hybrid_synergy,std_t25,canonical_P1,B,1103,983,120,0.3973399442350281,0.5009628199547533,1.0625782968495268,52.0854526958291,0.0020736997131802406
m12_joint_hybrid_synergy,sta_t25,flat_1.0,B,1323,1039,284,0.5593137034809498,0.7246376811594235,1.224515540490928,55.53416746871992,0.00248537036596565
m12_joint_hybrid_synergy,sta_t25,canonical_P1,B,980,874,106,0.5263524135123355,0.7500046875293043,1.1783170624946684,54.69107551487414,0.002346384135334259
m05_joint_production_wealth,raw,flat_1.0,B,1595,1221,374,0.38915478680732923,0.4608294930875667,0.9534645658361478,52.661752661752665,0.0020847479744139073
m05_joint_production_wealth,raw,canonical_P1,B,1113,997,116,0.3695746866594766,0.42918454935623185,0.9909224814626804,52.15646940822467,0.002064928997266939
m05_joint_production_wealth,inv_t25,flat_1.0,B,1313,1015,298,0.6715442008404636,0.7575757575757569,1.0734389522605796,56.55172413793103,0.0029789477997967527
m05_joint_production_wealth,inv_t25,canonical_P1,B,944,844,100,0.6256874615838457,0.7255901992744174,1.0266472256474521,55.21327014218009,0.0028569090139836
m05_joint_production_wealth,std_t25,flat_1.0,B,1497,1154,343,0.5383977881827655,0.6624417669744975,1.0519429141882939,54.07279029462738,0.00256197406363702
m05_joint_production_wealth,std_t25,canonical_P1,B,1078,964,114,0.5252815398350618,0.6624417669744975,1.0455481402756481,53.7344398340249,0.0025535639738455893
m05_joint_production_wealth,sta_t25,flat_1.0,B,1343,1038,305,0.668896271170487,0.7854038639730998,1.1661231928323335,56.64739884393064,0.0029189831704770864
m05_joint_production_wealth,sta_t25,canonical_P1,B,972,867,105,0.600502180707067,0.7663288510324939,1.127225579187617,55.47866205305652,0.0027432205349530296
