model,container,form,scheme,trust,panel,window,risk_lambda,kelly_fraction,n_bets,n_slates,total_return_pct,flat_roi_pct,max_drawdown_pct,sharpe_ann,calmar,win_rate,mean_exposure
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,23.0,0.5,1127,99,150.9837676912619,14.953153917004927,-16.363959598998605,1.576138110903862,9.226603547744116,0.32741792369121564,0.06914615727119948
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,18.0,0.5,1127,99,209.60423323264848,14.947678699902253,-20.416737807236967,1.5350443935642057,10.26629401874141,0.32741792369121564,0.08748324438418403
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,15.0,0.5,1127,99,268.88653119923885,14.933700655052352,-23.971842676125576,1.4955836158785285,11.216765220432247,0.32741792369121564,0.10392444503400007
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,12.0,0.5,1127,99,350.3471817575309,15.015685528566683,-30.29732409629151,1.4799737144451226,11.5636344861365,0.32741792369121564,0.12239947573565899
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,10.0,0.5,1127,99,358.54035900677775,14.829810199624418,-33.55100409955894,1.4499776052106728,10.686427087035858,0.32741792369121564,0.12657502307611904
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,8.0,0.5,1127,99,358.61521769827027,14.831060822279694,-33.55100409955896,1.450119671922721,10.688658277830331,0.32741792369121564,0.1265760506029663
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,23.0,0.6,1592,99,111.70250368646673,9.787065500851556,-23.44618631203682,1.2200695848572256,4.764207799079069,0.37248743718592964,0.08900712097281085
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,18.0,0.6,1592,99,147.7634038050586,9.783932809199591,-28.959442635720258,1.1703087297803374,5.102425680762193,0.37248743718592964,0.11212231221974113
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,15.0,0.6,1592,99,190.07717936194234,10.081894387805388,-32.60343016713999,1.1701764755219695,5.829974894896654,0.37248743718592964,0.13144159592343638
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,12.0,0.6,1592,99,265.33381289302696,10.718235792140334,-37.735751706420054,1.1817505747854802,7.031364181036977,0.37248743718592964,0.15604626763377746
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,10.0,0.6,1592,99,372.0763247146105,11.722976538037301,-41.60446791572948,1.2597592552444286,8.94318190700713,0.37248743718592964,0.17329650470125493
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,8.0,0.6,1592,99,465.3562095137753,12.190242376467483,-44.63933698606788,1.290115567609282,10.42480110443878,0.37248743718592964,0.18897702604108688
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,23.0,0.6,1127,99,150.98376769126256,14.95315391700495,-16.36395959899861,1.5761381109038664,9.226603547744153,0.32741792369121564,0.0691461572711995
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,18.0,0.6,1127,99,209.58951634064067,14.946830692067046,-20.416737807236927,1.534976568552786,10.26557319388945,0.32741792369121564,0.08748500323236151
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,15.0,0.6,1127,99,268.7056864573686,14.926341975453855,-23.97184267612561,1.4949951524478515,11.209221172012024,0.32741792369121564,0.1039425848228602
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,12.0,0.6,1127,99,360.7575638116158,14.849648729404716,-30.325256517461558,1.4268351107940147,11.89627410419062,0.32741792369121564,0.12755353028884628
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,10.0,0.6,1127,99,454.7092916671057,15.151475490998285,-36.30842410337596,1.4300209764546923,12.523520447278976,0.32741792369121564,0.1433498136784076
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,8.0,0.6,1127,99,471.38188275562305,15.064385084798946,-39.87098501854617,1.4055111997154666,11.82267963874877,0.32741792369121564,0.148256323942213
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,P,full,23.0,0.3,1503,99,63.34625156946312,9.628370785161056,-12.104950278769618,1.3962476310441436,5.233086473767972,0.3712574850299401,0.055348623145930295
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,O,evaluation,23.0,0.3,788,50,12.530572318634503,4.61366046880691,-11.260120268510141,0.6838770711508146,1.1128275737584514,0.36928934010152287,0.059957290066711515
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,18.0,0.3,1503,99,83.69505721469449,9.625762588009279,-15.271602100632506,1.3707837997455694,5.480437262782539,0.3712574850299401,0.06998151024268774
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,15.0,0.3,1503,99,103.32052015693219,9.623448138344639,-18.10623805337121,1.347753460235528,5.7063493726514265,0.3712574850299401,0.08317468022515509
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,12.0,0.3,1503,99,134.17374819074973,9.620121550206559,-22.215125148289502,1.3138994718805272,6.039747572661355,0.3712574850299401,0.10249672754367767
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,10.0,0.3,1503,99,165.9855744055795,9.61057687191991,-26.151558441668595,1.2789671165095633,6.347062442791414,0.3712574850299401,0.12118261610444186
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,8.0,0.3,1503,99,214.07347926360393,9.718483927333228,-32.0923729531541,1.2306098462867652,6.670540678811487,0.3712574850299401,0.14578814135085985
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,P,full,23.0,0.3,1103,99,72.85353708902431,13.616918959437049,-11.357966125858539,1.6062981209770704,6.414311883107274,0.329102447869447,0.043200668106963436
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,O,evaluation,23.0,0.3,540,50,24.62695933719752,10.883874805384536,-8.607005716439643,1.2691808746387363,2.861269081088128,0.32222222222222224,0.04429466958150429
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,18.0,0.3,1103,99,84.18179150822145,13.656501406440176,-14.025134055359484,1.6154512518640405,6.002209403200157,0.329102447869447,0.04837591905469454
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,15.0,0.3,1103,99,84.28085649973205,13.660396974438521,-14.029785956948182,1.6161211184882611,6.007280279140137,0.329102447869447,0.04840498236770874
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,12.0,0.3,1103,99,84.28085649973205,13.660396974438521,-14.029785956948182,1.6161211184882611,6.007280279140137,0.329102447869447,0.04840498236770874
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,10.0,0.3,1103,99,84.28085649973205,13.660396974438521,-14.029785956948182,1.6161211184882611,6.007280279140137,0.329102447869447,0.04840498236770874
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,8.0,0.3,1103,99,84.28085649973205,13.660396974438521,-14.029785956948182,1.6161211184882611,6.007280279140137,0.329102447869447,0.04840498236770874
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,23.0,0.4,1503,99,63.34625156946221,9.628370785160973,-12.104950278769543,1.3962476310441272,5.233086473767928,0.3712574850299401,0.05534862314593026
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,18.0,0.4,1503,99,83.69505721469346,9.625762588009204,-15.271602100632592,1.370783799745559,5.480437262782441,0.3712574850299401,0.06998151024268774
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,15.0,0.4,1503,99,103.32052015693188,9.623448138344614,-18.10623805337123,1.3477534602355252,5.706349372651403,0.3712574850299401,0.0831746802251551
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,12.0,0.4,1503,99,134.17374819074936,9.620121550206544,-22.215125148289548,1.313899471880525,6.039747572661326,0.3712574850299401,0.10249672754367761
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,10.0,0.4,1503,99,165.98557440558062,9.61057687191994,-26.15155844166866,1.27896711650957,6.347062442791442,0.3712574850299401,0.12118261610444186
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,8.0,0.4,1503,99,214.07347926360362,9.718483927333223,-32.092372953154076,1.230609846286766,6.670540678811482,0.3712574850299401,0.14578814135085985
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,23.0,0.4,1103,99,72.64828959678793,13.540551975507345,-11.387447126509482,1.5943213879191385,6.379681836472889,0.329102447869447,0.04338169076110737
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,18.0,0.4,1103,99,97.19836289431585,13.551476470906781,-14.37119895248507,1.5715349522988216,6.763413631366386,0.329102447869447,0.054822064114720924
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,15.0,0.4,1103,99,118.37676904272473,13.768014318177844,-17.26301711619472,1.5966571224913666,6.85724680952054,0.329102447869447,0.06262708313949134
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,12.0,0.4,1103,99,121.71671995265316,13.660396974438523,-18.559745745412474,1.5838692826713998,6.558102768338765,0.329102447869447,0.06453997649027832
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,10.0,0.4,1103,99,121.71671995265316,13.660396974438523,-18.559745745412474,1.5838692826713998,6.558102768338765,0.329102447869447,0.06453997649027832
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,8.0,0.4,1103,99,121.71671995265316,13.660396974438523,-18.559745745412474,1.5838692826713998,6.558102768338765,0.329102447869447,0.06453997649027832
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,23.0,0.5,1503,99,63.34625156946352,9.628370785161092,-12.10495027876967,1.3962476310441494,5.233086473767982,0.3712574850299401,0.055348623145930385
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,18.0,0.5,1503,99,83.69505721469415,9.625762588009277,-15.271602100632547,1.370783799745569,5.480437262782502,0.3712574850299401,0.0699815102426877
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,15.0,0.5,1503,99,103.32052015693121,9.623448138344552,-18.10623805337121,1.3477534602355141,5.706349372651372,0.3712574850299401,0.08317468022515509
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,12.0,0.5,1503,99,134.17374819075025,9.620121550206585,-22.215125148289516,1.313899471880532,6.039747572661374,0.3712574850299401,0.1024967275436777
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,10.0,0.5,1503,99,165.98557440558045,9.610576871919934,-26.151558441668655,1.2789671165095677,6.347062442791436,0.3712574850299401,0.12118261610444185
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,8.0,0.5,1503,99,214.0734792636042,9.718483927333232,-32.09237295315403,1.2306098462867674,6.670540678811509,0.3712574850299401,0.1457881413508598
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,23.0,0.5,1103,99,72.64838767350179,13.540303638893644,-11.387447126509505,1.594323119911043,6.37969044917709,0.329102447869447,0.04338252878537199
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,18.0,0.5,1103,99,97.13668311269647,13.538500068519383,-14.371198952485129,1.5707043299705319,6.759121729081566,0.329102447869447,0.05485165101917559
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,15.0,0.5,1103,99,121.26353204660228,13.540064408462023,-17.04477990948386,1.5492900671745349,7.114408792050768,0.329102447869447,0.06517622996891284
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,12.0,0.5,1103,99,158.4387660450475,13.778980061670953,-21.136651071941262,1.5667318988738084,7.495925702978259,0.329102447869447,0.07777576506362156
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,10.0,0.5,1103,99,164.319998931864,13.660396974438523,-22.999978573872806,1.5513783529218859,7.144354435117863,0.329102447869447,0.08067497061284787
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,8.0,0.5,1103,99,164.319998931864,13.660396974438523,-22.999978573872806,1.5513783529218859,7.144354435117863,0.329102447869447,0.08067497061284787
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,23.0,0.6,1503,99,63.34625156946312,9.628370785161056,-12.104950278769618,1.3962476310441436,5.233086473767972,0.3712574850299401,0.055348623145930295
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,18.0,0.6,1503,99,83.69505721469449,9.625762588009279,-15.271602100632506,1.3707837997455694,5.480437262782539,0.3712574850299401,0.06998151024268774
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,15.0,0.6,1503,99,103.32052015693219,9.623448138344639,-18.10623805337121,1.347753460235528,5.7063493726514265,0.3712574850299401,0.08317468022515509
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,12.0,0.6,1503,99,134.17374819074973,9.620121550206559,-22.215125148289502,1.3138994718805272,6.039747572661355,0.3712574850299401,0.10249672754367767
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,10.0,0.6,1503,99,165.9855744055795,9.61057687191991,-26.151558441668595,1.2789671165095633,6.347062442791414,0.3712574850299401,0.12118261610444186
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,flat_1.0,F,full,8.0,0.6,1503,99,214.07347926360393,9.718483927333228,-32.0923729531541,1.2306098462867652,6.670540678811487,0.3712574850299401,0.14578814135085985
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,23.0,0.6,1103,99,72.64838767350122,13.540303638893576,-11.387447126509551,1.5943231199110328,6.379690449177014,0.329102447869447,0.043382528785372
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,18.0,0.6,1103,99,97.13696141963621,13.538012047163136,-14.371198952485125,1.5707077374969982,6.759141094684998,0.329102447869447,0.05485373366451529
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,15.0,0.6,1103,99,121.26646239119063,13.536212014144017,-17.044779909483808,1.5493169842842092,7.114580712404348,0.329102447869447,0.06519576740549586
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,12.0,0.6,1103,99,160.2260496380532,13.539013587746318,-20.925622223423307,1.5179302250338418,7.656931197902567,0.329102447869447,0.08031479390780438
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,10.0,0.6,1103,99,201.68174886003817,13.76118429698339,-24.868415037519252,1.5328568332212449,8.109955884030352,0.329102447869447,0.09261332798395225
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,F,full,8.0,0.6,1103,99,212.26573620222857,13.660396974438521,-27.341755794930695,1.5186466542694208,7.763427403648443,0.329102447869447,0.09680996473541748
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,P,full,23.0,0.3,1495,99,64.36047572932202,9.828615222007844,-11.79950224516558,1.4085674250534448,5.4545076895672775,0.36789297658862874,0.05488879533050544
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,O,evaluation,23.0,0.3,785,50,12.715367640451113,4.722575000926553,-11.184686424153345,0.693531100145796,1.1368550854489994,0.3681528662420382,0.05926950928736629
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,18.0,0.3,1495,99,85.12070674675883,9.825784043240928,-14.899383693458123,1.3831064020126205,5.713035417977242,0.36789297658862874,0.06940167710436555
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,15.0,0.3,1495,99,105.1769140893454,9.823269253571027,-17.678632276708072,1.3600784523072589,5.949380723751913,0.36789297658862874,0.0824872102650392
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,12.0,0.3,1495,99,136.77006174215524,9.819650440784427,-21.714417067118646,1.3262277710847865,6.29858316340719,0.36789297658862874,0.10165257990549458
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,10.0,0.3,1495,99,169.67453217599254,9.813487696899717,-25.58862904174694,1.2923852557740303,6.630856694165778,0.36789297658862874,0.12024270389677526
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,8.0,0.3,1495,99,218.5003481341735,9.890987593751435,-31.44492784662986,1.2402371347008518,6.948667498933106,0.36789297658862874,0.14493166834539462
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,P,full,23.0,0.3,1100,99,73.3790240010624,13.737489864279894,-11.224815044338035,1.6087322834812776,6.53721452970184,0.33,0.04306611076387664
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,O,evaluation,23.0,0.3,540,50,24.382673494715633,10.843865759417364,-8.600580283125145,1.2572188641446838,2.8350033011790963,0.32222222222222224,0.04409856170904585
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,18.0,0.3,1100,99,84.6507474730143,13.759464081981683,-13.895218400499937,1.6157495683333813,6.092077507034265,0.33,0.04822624588910993
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,15.0,0.3,1100,99,84.72021802088196,13.759493145539542,-13.902753228559869,1.6159357206646816,6.093772695817157,0.33,0.04825698059521275
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,12.0,0.3,1100,99,84.72021802088196,13.759493145539542,-13.902753228559869,1.6159357206646816,6.093772695817157,0.33,0.04825698059521275
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,10.0,0.3,1100,99,84.72021802088196,13.759493145539542,-13.902753228559869,1.6159357206646816,6.093772695817157,0.33,0.04825698059521275
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,8.0,0.3,1100,99,84.72021802088196,13.759493145539542,-13.902753228559869,1.6159357206646816,6.093772695817157,0.33,0.04825698059521275
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,23.0,0.4,1495,99,64.36047572932182,9.828615222007821,-11.799502245165568,1.4085674250534388,5.454507689567267,0.36789297658862874,0.05488879533050542
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,18.0,0.4,1495,99,85.12070674675942,9.82578404324098,-14.899383693458073,1.3831064020126278,5.7130354179773,0.36789297658862874,0.06940167710436554
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,15.0,0.4,1495,99,105.1769140893457,9.823269253571034,-17.678632276708047,1.360078452307261,5.949380723751938,0.36789297658862874,0.08248721026503926
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,12.0,0.4,1495,99,136.77006174215384,9.819650440784377,-21.714417067118625,1.326227771084777,6.298583163407132,0.36789297658862874,0.10165257990549459
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,10.0,0.4,1495,99,169.67453217599382,9.813487696899745,-25.588629041746923,1.2923852557740358,6.630856694165833,0.36789297658862874,0.12024270389677526
m12_joint_hybrid_synergy,std_B_full,std,B_full,flat_1.0,F,full,8.0,0.4,1495,99,218.50034813417318,9.89098759375143,-31.444927846629827,1.2402371347008512,6.948667498933103,0.36789297658862874,0.14493166834539467
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,23.0,0.4,1100,99,73.13876901552393,13.655181203212925,-11.262280282916114,1.5958466342024635,6.494135039994431,0.33,0.04325007495451826
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,18.0,0.4,1100,99,97.89370141695888,13.666431840245599,-14.22057876569696,1.5730428634781728,6.883946358997649,0.33,0.054657176524051485
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,15.0,0.4,1100,99,119.30363624546145,13.889451415598263,-17.08003048517492,1.5989390733510214,6.984977945385654,0.33,0.06243111907390184
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,12.0,0.4,1100,99,122.38877973789037,13.759493145539546,-18.402260613950798,1.5835982643568565,6.650747009044483,0.33,0.06434264079361701
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,10.0,0.4,1100,99,122.38877973789037,13.759493145539546,-18.402260613950798,1.5835982643568565,6.650747009044483,0.33,0.06434264079361701
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,F,full,8.0,0.4,1100,99,122.38877973789037,13.759493145539546,-18.402260613950798,1.5835982643568565,6.650747009044483,0.33,0.06434264079361701
